Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,6.2e-05,16.046312,[385  27] ; [6 4],[381.73459716  30.26540284] ; [9.26540284 0.73459716],1
s1,1,0.022759,5.186802,[ 18 389] ; [2 8],[ 19.52038369 387.47961631] ; [0.47961631 9.52038369],0
p7,1,0.027922,4.832872,[271 127] ; [3 6],[267.94103194 130.05896806] ; [6.05896806 2.94103194],0
d3,1,0.032485,4.572692,[292 118] ; [4 6],[288.95238095 121.04761905] ; [7.04761905 2.95238095],0
r1,1,0.033131,4.538993,[347  62] ; [6 4],[344.575179  64.424821] ; [8.424821 1.575179],0
p1,1,0.041775,4.144297,[ 41 368] ; [3 7],[ 42.94988067 366.05011933] ; [1.05011933 8.94988067],0
b5,1,0.061736,3.490121,[251 161] ; [9 1],[253.83886256 158.16113744] ; [6.16113744 3.83886256],0
n3,1,0.067186,3.350455,[63 21] ; [3 4],[60.92307692 23.07692308] ; [5.07692308 1.92307692],0
v2,1,0.083773,2.990136,[224 166] ; [3 7],[221.325 168.675] ; [5.675 4.325],0
d4,1,0.161113,1.963751,[351  58] ; [7 3],[349.45584726  59.54415274] ; [8.54415274 1.45584726],0
v3,1,0.164551,1.931897,[166 230] ; [2 8],[163.86206897 232.13793103] ; [4.13793103 5.86206897],0
v4,1,0.233488,1.419484,[398  13] ; [9 1],[397.33254157  13.66745843] ; [9.66745843 0.33254157],0
d2,1,0.246392,1.343646,[211 199] ; [7 3],[212.80952381 197.19047619] ; [5.19047619 4.80952381],0
a3,1,0.263049,1.252638,[306 105] ; [9 1],[307.51781473 103.48218527] ; [7.48218527 2.51781473],0
r2,1,0.269896,1.217277,[394  14] ; [9 1],[393.35885167  14.64114833] ; [9.64114833 0.35885167],0
d5,1,0.276861,1.182435,[340  69] ; [7 3],[338.71837709  70.28162291] ; [8.28162291 1.71837709],0
v1,1,0.312651,1.019446,[222 174] ; [4 6],[220.43349754 175.56650246] ; [5.56650246 4.43349754],0
p4,1,0.34878,0.87789,[264 146] ; [5 5],[262.5952381 147.4047619] ; [6.4047619 3.5952381],0
a7,1,0.372605,0.79496,[299 112] ; [6 4],[297.75534442 113.24465558] ; [7.24465558 2.75534442],0
s5,1,0.383903,0.758165,[183 214] ; [6 4],[184.35626536 212.64373464] ; [4.64373464 5.35626536],0
p3,1,0.388349,0.744106,[221 190] ; [4 6],[219.65558195 191.34441805] ; [5.34441805 4.65558195],0
d1,1,0.396837,0.717889,[260 152] ; [5 5],[258.72037915 153.27962085] ; [6.27962085 3.72037915],0
u1,1,0.40099,0.705354,[ 86 326] ; [1 9],[ 84.93838863 327.06161137] ; [2.06161137 7.93838863],0
p9,1,0.443486,0.587246,[360  49] ; [8 2],[359.21718377  49.78281623] ; [8.78281623 1.21718377],0
p11,1,0.444635,0.584292,[329  83] ; [7 3],[328.03791469  83.96208531] ; [7.96208531 2.03791469],0
s7,1,0.472319,0.516546,[277 122] ; [8 2],[278.03178484 120.96821516] ; [6.96821516 3.03178484],0
p6,1,0.488629,0.479544,[166 240] ; [3 7],[164.9375 241.0625] ; [4.0625 5.9375],0
a1,1,0.490725,0.474936,[ 21 391] ; [1 9],[ 21.47867299 390.52132701] ; [0.52132701 9.47867299],0
n1,1,0.503476,0.447602,[37 47] ; [4 3],[37.84615385 46.15384615] ; [3.15384615 3.84615385],0
b4,1,0.53095,0.392574,[248 164] ; [7 3],[248.95734597 163.04265403] ; [6.04265403 3.95734597],0
b1,1,0.557902,0.34335,[168 244] ; [5 5],[168.90047393 243.09952607] ; [4.09952607 5.90047393],0
s2,1,0.582608,0.302038,[344  68] ; [9 1],[344.63507109  67.36492891] ; [8.36492891 1.63507109],0
p5,1,0.585992,0.296647,[ 57 352] ; [2 8],[ 57.59188544 351.40811456] ; [1.40811456 8.59188544],0
a2,1,0.602222,0.271658,[113 299] ; [2 8],[112.27488152 299.72511848] ; [2.72511848 7.27488152],0
b2,1,0.62605,0.237455,[ 94 156] ; [3 7],[ 93.26923077 156.73076923] ; [3.73076923 6.26923077],0
b3,1,0.62605,0.237455,[ 94 156] ; [3 7],[ 93.26923077 156.73076923] ; [3.73076923 6.26923077],0
a6,1,0.630438,0.231467,[275 134] ; [6 4],[274.29355609 134.70644391] ; [6.70644391 3.29355609],0
p2,1,0.6339,0.226809,[351  60] ; [8 2],[350.47268409  60.52731591] ; [8.52731591 1.47268409],0
s4,1,0.634432,0.226099,[ 96 312] ; [3 7],[ 96.63157895 311.36842105] ; [2.36842105 7.63157895],0
a5,1,0.646814,0.20994,[303 109] ; [8 2],[303.63033175 108.36966825] ; [7.36966825 2.63033175],0
n2,1,0.655075,0.199561,[66 18] ; [6 1],[66.46153846 17.53846154] ; [5.53846154 1.46153846],0
s8,1,0.668973,0.182806,[260 150] ; [7 3],[260.64285714 149.35714286] ; [6.35714286 3.64285714],0
a4,1,0.674018,0.176937,[192 219] ; [4 6],[191.34441805 219.65558195] ; [4.65558195 5.34441805],0
n6,1,0.691016,0.157988,[349  59] ; [9 1],[349.4354067  58.5645933] ; [8.5645933 1.4354067],0
p10,1,0.746193,0.104758,[342  66] ; [8 2],[341.62679426  66.37320574] ; [8.37320574 1.62679426],0
p8,1,0.793925,0.068235,[221 187] ; [5 5],[220.59330144 187.40669856] ; [5.40669856 4.59330144],0
p12,1,0.905841,0.013991,[ 46 365] ; [1 9],[ 45.88361045 365.11638955] ; [1.11638955 8.88361045],0
