Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,95.700107,[132  35] ; [ 73 171],[83.29683698 83.70316302] ; [121.70316302 122.29683698],1
p6,1,0.0,39.798551,[77 89] ; [ 43 202],[ 48.46715328 117.53284672] ; [ 71.53284672 173.46715328],1
p8,1,0.0,34.474996,[104  63] ; [ 80 163],[74.94634146 92.05365854] ; [109.05365854 133.94634146],1
p7,1,0.0,28.923796,[122  44] ; [112 128],[95.67487685 70.32512315] ; [138.32512315 101.67487685],1
p5,1,1e-06,24.716387,[ 25 142] ; [  5 241],[ 12.13075061 154.86924939] ; [ 17.86924939 228.13075061],1
p1,1,1.6e-05,18.638397,[ 21 146] ; [  5 240],[ 10.53883495 156.46116505] ; [ 15.46116505 229.53883495],1
s7,1,0.000103,15.076448,[85 73] ; [ 82 158],[66.29648241 91.70351759] ; [100.70351759 139.29648241],1
a5,1,0.000542,11.964061,[127  40] ; [148 100],[110.6626506  56.3373494] ; [164.3373494  83.6626506],1
s6,1,0.001311,10.327268,[114  49] ; [133 113],[98.43765281 64.56234719] ; [148.56234719  97.43765281],0
s5,1,0.001704,9.843333,[ 57 102] ; [ 52 189],[ 43.3275 115.6725] ; [ 65.6725 175.3275],0
s8,1,0.001719,9.82734,[72 95] ; [ 70 178],[ 57.14216867 109.85783133] ; [ 84.85783133 163.14216867],0
n4,1,0.001828,9.714871,[129  38] ; [155  92],[114.56038647  52.43961353] ; [169.43961353  77.56038647],0
s3,1,0.002855,8.897725,[103  64] ; [114 130],[88.17274939 78.82725061] ; [128.82725061 115.17274939],0
u1,1,0.005028,7.869497,[ 34 133] ; [ 26 222],[ 24.14457831 142.85542169] ; [ 35.85542169 212.14457831],0
p2,1,0.013098,6.15583,[139  28] ; [179  67],[128.58595642  38.41404358] ; [189.41404358  56.58595642],0
b5,1,0.015985,5.804485,[81 86] ; [150  98],[92.95662651 74.04337349] ; [138.04337349 109.95662651],0
a1,1,0.017711,5.624557,[ 11 156] ; [  5 243],[  6.43855422 160.56144578] ; [  9.56144578 238.43855422],0
