Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,6e-05,16.10306,[13 37] ; [33 17],[23. 27.] ; [23. 27.],1
d2,1,0.008461,6.933147,[12 40] ; [24 26],[18.35294118 33.64705882] ; [17.64705882 32.35294118],0
p2,1,0.029847,4.718084,[35 17] ; [42  7],[39.64356436 12.35643564] ; [37.35643564 11.64356436],0
p11,1,0.035965,4.398769,[33 19] ; [41  9],[37.7254902 14.2745098] ; [36.2745098 13.7254902],0
a5,1,0.036993,4.350735,[27 25] ; [36 14],[32.11764706 19.88235294] ; [30.88235294 19.11764706],0
a3,1,0.054098,3.709685,[29 23] ; [37 13],[33.64705882 18.35294118] ; [32.35294118 17.64705882],0
r1,1,0.086019,2.947335,[33 18] ; [40 10],[36.86138614 14.13861386] ; [36.13861386 13.86138614],0
v2,1,0.098811,2.724638,[19 28] ; [27 20],[23. 24.] ; [23. 24.],0
s5,1,0.119492,2.423961,[15 35] ; [ 8 40],[11.73469388 38.26530612] ; [11.26530612 36.73469388],0
r3,1,0.126632,2.33331,[44  8] ; [47  3],[46.39215686  5.60784314] ; [44.60784314  5.39215686],0
a2,1,0.138773,2.191512,[ 5 47] ; [10 40],[ 7.64705882 44.35294118] ; [ 7.35294118 42.64705882],0
p7,1,0.145761,2.116059,[25 23] ; [32 16],[28.5 19.5] ; [28.5 19.5],0
b2,1,0.15415,2.0307,[10 19] ; [ 5 23],[ 7.63157895 21.36842105] ; [ 7.36842105 20.63157895],0
b3,1,0.15415,2.0307,[10 19] ; [ 5 23],[ 7.63157895 21.36842105] ; [ 7.36842105 20.63157895],0
a4,1,0.161349,1.961538,[14 38] ; [20 30],[17.33333333 34.66666667] ; [16.66666667 33.33333333],0
d1,1,0.164339,1.933836,[23 29] ; [29 21],[26.50980392 25.49019608] ; [25.49019608 24.50980392],0
u2,1,0.18042,1.794158,[17  6] ; [12  1],[18.52777778  4.47222222] ; [10.47222222  2.52777778],0
r2,1,0.182467,1.777415,[43  9] ; [44  4],[45.24  6.76] ; [41.76  6.24],0
p4,1,0.196118,1.671047,[22 29] ; [28 22],[25.24752475 25.75247525] ; [24.75247525 25.24752475],0
n3,1,0.225041,1.471933,[13  4] ; [6 5],[11.53571429  5.46428571] ; [7.46428571 3.53571429],0
v4,1,0.286014,1.138288,[47  5] ; [46  2],[48.36  3.64] ; [44.64  3.36],0
d5,1,0.299127,1.078082,[37 15] ; [40 10],[39.25490196 12.74509804] ; [37.74509804 12.25490196],0
d3,1,0.311283,1.025223,[33 18] ; [37 13],[35.34653465 15.65346535] ; [34.65346535 15.34653465],0
a1,1,0.326896,0.961154,[ 3 49] ; [ 1 49],[ 2.03921569 49.96078431] ; [ 1.96078431 48.03921569],0
p3,1,0.331818,0.941792,[18 34] ; [22 28],[20.39215686 31.60784314] ; [19.60784314 30.39215686],0
v3,1,0.348658,0.878336,[12 38] ; [15 31],[14.0625 35.9375] ; [12.9375 33.0625],0
a8,1,0.370412,0.802283,[ 3 47] ; [ 5 40],[ 4.21052632 45.78947368] ; [ 3.78947368 41.21052632],0
b4,1,0.411489,0.674494,[27 25] ; [30 20],[29.05882353 22.94117647] ; [27.94117647 22.05882353],0
b1,1,0.428203,0.627692,[24 28] ; [27 23],[26. 26.] ; [25. 25.],0
s2,1,0.47198,0.517336,[26 26] ; [21 28],[24.1980198 27.8019802] ; [22.8019802 26.1980198],0
s7,1,0.481097,0.496375,[18 31] ; [21 27],[19.70103093 29.29896907] ; [19.29896907 28.70103093],0
a6,1,0.483756,0.490385,[33 19] ; [35 15],[34.66666667 17.33333333] ; [33.33333333 16.66666667],0
b5,1,0.504955,0.444508,[31 21] ; [33 17],[32.62745098 19.37254902] ; [31.37254902 18.62745098],0
s6,1,0.530446,0.393537,[28 24] ; [30 20],[29.56862745 22.43137255] ; [28.43137255 21.56862745],0
