Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a8,1,0.000535,11.990063,[3 3] ; [ 10 121],[0.56934307 5.43065693] ; [ 12.43065693 118.56934307],1
s5,1,0.003341,8.611076,[4 2] ; [ 25 115],[1.19178082 4.80821918] ; [ 27.80821918 112.19178082],0
v3,1,0.005259,7.788027,[5 1] ; [41 99],[1.89041096 4.10958904] ; [44.10958904 95.89041096],0
p1,1,0.007809,7.076819,[2 4] ; [  8 135],[0.40268456 5.59731544] ; [  9.59731544 133.40268456],0
s7,1,0.059436,3.55305,[4 2] ; [40 93],[1.89928058 4.10071942] ; [42.10071942 90.89928058],0
s3,1,0.074045,3.191004,[5 1] ; [66 77],[2.8590604 3.1409396] ; [68.1409396 74.8590604],0
p3,1,0.090122,2.872184,[4 2] ; [47 95],[2.06756757 3.93243243] ; [48.93243243 93.06756757],0
p4,1,0.102065,2.672976,[4 1] ; [62 82],[2.2147651 2.7852349] ; [63.7852349 80.2147651],0
a1,1,0.106098,2.6114,[1 5] ; [  5 139],[0.24 5.76] ; [  5.76 138.24],0
s2,1,0.120451,2.411449,[4 2] ; [50 91],[2.20408163 3.79591837] ; [51.79591837 89.20408163],0
d4,1,0.131226,2.277939,[3 3] ; [110  33],[4.55033557 1.44966443] ; [108.44966443  34.55033557],0
s8,1,0.1488,2.084507,[3 3] ; [ 34 108],[1.5 4.5] ; [ 35.5 106.5],0
a5,1,0.198396,1.654142,[2 4] ; [86 58],[3.52 2.48] ; [84.48 59.52],0
p11,1,0.268592,1.223926,[2 4] ; [81 63],[3.32 2.68] ; [79.68 64.32],0
s1,1,0.32349,0.974784,[1 5] ; [  9 133],[0.40540541 5.59459459] ; [  9.59459459 132.40540541],0
p6,1,0.343928,0.895733,[2 3] ; [ 31 110],[1.13013699 3.86986301] ; [ 31.86986301 109.13013699],0
a7,1,0.398446,0.713012,[3 3] ; [96 48],[3.96 2.04] ; [95.04 48.96],0
a4,1,0.405899,0.690782,[3 3] ; [48 95],[2.05369128 3.94630872] ; [48.94630872 94.05369128],0
p8,1,0.420544,0.648793,[3 3] ; [49 95],[2.08 3.92] ; [49.92 94.08],0
d1,1,0.483304,0.491398,[2 4] ; [69 75],[2.84 3.16] ; [68.16 75.84],0
p2,1,0.512667,0.428619,[3 3] ; [91 53],[3.76 2.24] ; [90.24 53.76],0
r2,1,0.528544,0.39719,[5 1] ; [131  13],[5.44 0.56] ; [130.56  13.44],0
v1,1,0.536533,0.382003,[3 3] ; [54 90],[2.28 3.72] ; [54.72 89.28],0
v2,1,0.55071,0.356046,[2 4] ; [64 76],[2.71232877 3.28767123] ; [63.28767123 76.71232877],0
a6,1,0.585135,0.298007,[3 3] ; [88 56],[3.64 2.36] ; [87.36 56.64],0
b1,1,0.591119,0.2886,[4 2] ; [80 64],[3.36 2.64] ; [80.64 63.36],0
p7,1,0.627144,0.235953,[3 2] ; [70 73],[2.46621622 2.53378378] ; [70.53378378 72.46621622],0
a3,1,0.637092,0.222565,[4 2] ; [82 62],[3.44 2.56] ; [82.56 61.44],0
b5,1,0.637092,0.222565,[4 2] ; [82 62],[3.44 2.56] ; [82.56 61.44],0
b2,1,0.651182,0.204413,[2 4] ; [21 63],[1.53333333 4.46666667] ; [21.46666667 62.53333333],0
b3,1,0.651182,0.204413,[2 4] ; [21 63],[1.53333333 4.46666667] ; [21.46666667 62.53333333],0
d5,1,0.675973,0.174694,[4 2] ; [107  37],[4.44 1.56] ; [106.56  37.44],0
d3,1,0.733701,0.115741,[4 2] ; [86 58],[3.6 2.4] ; [86.4 57.6],0
p10,1,0.742937,0.107562,[1 4] ; [ 38 105],[1.31756757 3.68243243] ; [ 37.68243243 105.31756757],0
b4,1,0.810052,0.057772,[4 2] ; [89 55],[3.72 2.28] ; [89.28 54.72],0
u1,1,0.84764,0.036914,[1 5] ; [ 20 124],[0.84 5.16] ; [ 20.16 123.84],0
u3,1,0.856348,0.03277,[1 1] ; [35 27],[1.125 0.875] ; [34.875 27.125],0
d2,1,0.946828,0.004448,[3 3] ; [70 74],[2.92 3.08] ; [70.08 73.92],0
u2,1,1.0,0.0,[1 1] ; [30 30],[1. 1.] ; [30. 30.],0
