Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.006141,7.50833,[52 35] ; [ 8 19],[45.78947368 41.21052632] ; [14.21052632 12.78947368],0
a6,1,0.014161,6.017943,[48 39] ; [22  5],[53.42105263 33.57894737] ; [16.57894737 10.42105263],0
u1,1,0.02397,5.096797,[10 77] ; [ 8 19],[13.73684211 73.26315789] ; [ 4.26315789 22.73684211],0
r1,1,0.025372,4.99832,[70 17] ; [16 11],[65.63157895 21.36842105] ; [20.36842105  6.63157895],0
v3,1,0.048142,3.905031,[23 62] ; [12 13],[27.04545455 57.95454545] ; [ 7.95454545 17.04545455],0
b1,1,0.049136,3.870706,[34 53] ; [ 5 22],[29.76315789 57.23684211] ; [ 9.23684211 17.76315789],0
d1,1,0.056278,3.643821,[43 44] ; [19  8],[47.31578947 39.68421053] ; [14.68421053 12.31578947],0
a8,1,0.065158,3.400975,[15 65] ; [ 1 25],[12.0754717 67.9245283] ; [ 3.9245283 22.0754717],0
p4,1,0.082856,3.00797,[58 29] ; [13 14],[54.18421053 32.81578947] ; [16.81578947 10.18421053],0
p11,1,0.101155,2.687238,[71 16] ; [18  9],[67.92105263 19.07894737] ; [21.07894737  5.92105263],0
d2,1,0.127846,2.318469,[37 50] ; [16 11],[40.44736842 46.55263158] ; [12.55263158 14.44736842],0
a5,1,0.147817,2.094635,[51 36] ; [20  7],[54.18421053 32.81578947] ; [16.81578947 10.18421053],0
s7,1,0.149207,2.080344,[39 44] ; [17 10],[42.25454545 40.74545455] ; [13.74545455 13.25454545],0
a7,1,0.181751,1.783245,[55 31] ; [21  6],[57.84070796 28.15929204] ; [18.15929204  8.84070796],0
s2,1,0.1837,1.76743,[44 43] ; [17  9],[46.96460177 40.03539823] ; [14.03539823 11.96460177],0
d3,1,0.184407,1.761743,[58 27] ; [22  5],[60.71428571 24.28571429] ; [19.28571429  7.71428571],0
u3,1,0.201224,1.633466,[15 17] ; [7 3],[16.76190476 15.23809524] ; [5.23809524 4.76190476],0
