Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.000547,11.946843,[ 9 46] ; [16 15],[15.98837209 39.01162791] ; [ 9.01162791 21.98837209],1
p6,1,0.001465,10.121603,[ 8 46] ; [14 16],[14.14285714 39.85714286] ; [ 7.85714286 22.14285714],0
p3,1,0.013188,6.143757,[15 39] ; [17 14],[20.32941176 33.67058824] ; [11.67058824 19.32941176],0
a5,1,0.047241,3.936792,[35 20] ; [26  5],[39.01162791 15.98837209] ; [21.98837209  9.01162791],0
b4,1,0.070232,3.277584,[28 27] ; [22  9],[31.97674419 23.02325581] ; [18.02325581 12.97674419],0
p12,1,0.108055,2.582434,[ 3 51] ; [ 5 26],[ 5.08235294 48.91764706] ; [ 2.91764706 28.08235294],0
a8,1,0.110727,2.54381,[ 8 44] ; [ 1 27],[ 5.85 46.15] ; [ 3.15 24.85],0
r2,1,0.138903,2.19007,[47  7] ; [30  1],[48.91764706  5.08235294] ; [28.08235294  2.91764706],0
u1,1,0.146836,2.104815,[ 6 49] ; [ 7 24],[ 8.31395349 46.68604651] ; [ 4.68604651 26.31395349],0
b5,1,0.168718,1.894298,[35 20] ; [15 16],[31.97674419 23.02325581] ; [18.02325581 12.97674419],0
s6,1,0.220738,1.499566,[33 21] ; [23  8],[35.57647059 18.42352941] ; [20.42352941 10.57647059],0
n4,1,0.226376,1.463489,[39 16] ; [18 13],[36.45348837 18.54651163] ; [20.54651163 10.45348837],0
s5,1,0.262749,1.254215,[14 38] ; [12 19],[16.28915663 35.71084337] ; [ 9.71084337 21.28915663],0
n5,1,0.300104,1.07373,[31 24] ; [21 10],[33.25581395 21.74418605] ; [18.74418605 12.25581395],0
b1,1,0.353151,0.862101,[27 28] ; [12 19],[24.94186047 30.05813953] ; [14.05813953 16.94186047],0
n3,1,0.383666,0.758924,[9 8] ; [7 3],[10.07407407  6.92592593] ; [5.92592593 4.07407407],0
v3,1,0.392803,0.730247,[25 29] ; [11 19],[23.14285714 30.85714286] ; [12.85714286 17.14285714],0
d2,1,0.403209,0.698734,[25 30] ; [17 14],[26.86046512 28.13953488] ; [15.13953488 15.86046512],0
s3,1,0.403209,0.698734,[30 25] ; [14 17],[28.13953488 26.86046512] ; [15.86046512 15.13953488],0
r4,1,0.411255,0.675169,[42 13] ; [26  5],[43.48837209 11.51162791] ; [24.51162791  6.48837209],0
s8,1,0.42302,0.64191,[20 35] ; [14 17],[21.74418605 33.25581395] ; [12.25581395 18.74418605],0
u2,1,0.430223,0.622222,[ 8 10] ; [6 4],[9. 9.] ; [5. 5.],0
d1,1,0.442628,0.589461,[29 26] ; [19 12],[30.69767442 24.30232558] ; [17.30232558 13.69767442],0
a4,1,0.45069,0.568916,[22 33] ; [15 16],[23.6627907 31.3372093] ; [13.3372093 17.6627907],0
s4,1,0.457523,0.551948,[15 40] ; [ 6 24],[13.58823529 41.41176471] ; [ 7.41176471 22.58823529],0
a7,1,0.539647,0.376194,[39 16] ; [20 11],[37.73255814 17.26744186] ; [21.26744186  9.73255814],0
a2,1,0.561876,0.336466,[ 8 47] ; [ 6 25],[ 8.95348837 46.04651163] ; [ 5.04651163 25.95348837],0
r1,1,0.581875,0.303212,[42 13] ; [22  9],[40.93023256 14.06976744] ; [23.06976744  7.93023256],0
p7,1,0.598976,0.276543,[22 32] ; [14 16],[23.14285714 30.85714286] ; [12.85714286 17.14285714],0
n6,1,0.632064,0.229272,[40 15] ; [24  7],[40.93023256 14.06976744] ; [23.06976744  7.93023256],0
s1,1,0.658974,0.194772,[ 3 52] ; [ 1 29],[ 2.58823529 52.41176471] ; [ 1.41176471 28.58823529],0
d4,1,0.725603,0.123187,[46  9] ; [25  6],[45.40697674  9.59302326] ; [25.59302326  5.40697674],0
