Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,57.455997,[ 3 71] ; [71 51],[27.93877551 46.06122449] ; [46.06122449 75.93877551],1
a5,1,0.0,33.565004,[27 47] ; [95 27],[46.06122449 27.93877551] ; [75.93877551 46.06122449],1
d4,1,0.0,31.953408,[32 41] ; [101  21],[49.78974359 23.21025641] ; [83.21025641 38.78974359],1
a4,1,7e-06,20.167591,[14 60] ; [62 59],[28.84102564 45.15897436] ; [47.15897436 73.84102564],1
a3,1,8e-06,19.975249,[34 39] ; [95 27],[48.29230769 24.70769231] ; [80.70769231 41.29230769],1
d2,1,4e-05,16.868936,[19 55] ; [67 53],[32.80412371 41.19587629] ; [53.19587629 66.80412371],1
r4,1,0.00011,14.956181,[41 33] ; [99 23],[52.85714286 21.14285714] ; [87.14285714 34.85714286],1
n6,1,0.000315,12.978166,[44 29] ; [101  20],[54.56185567 18.43814433] ; [90.43814433 30.56185567],1
v2,1,0.000324,12.924779,[17 50] ; [63 57],[28.6631016 38.3368984] ; [51.3368984 68.6631016],1
d3,1,0.000406,12.505438,[17 57] ; [59 63],[28.69387755 45.30612245] ; [47.30612245 74.69387755],1
r2,1,0.000425,12.416899,[52 21] ; [108  11],[60.83333333 12.16666667] ; [99.16666667 19.83333333],1
r1,1,0.000455,12.292822,[37 37] ; [91 31],[48.32653061 25.67346939] ; [79.67346939 42.32653061],1
p10,1,0.00122,10.459641,[37 36] ; [89 32],[47.41237113 25.58762887] ; [78.58762887 42.41237113],0
r3,1,0.001377,10.236617,[52 22] ; [108  14],[60.40816327 13.59183673] ; [99.59183673 22.40816327],0
s5,1,0.002667,9.022367,[11 62] ; [41 76],[19.97894737 53.02105263] ; [32.02105263 84.97894737],0
v4,1,0.009092,6.804652,[54 18] ; [108  13],[60.43523316 11.56476684] ; [101.56476684  19.43523316],0
n4,1,0.0099,6.652791,[44 30] ; [93 28],[51.98974359 22.01025641] ; [85.01025641 35.98974359],0
v3,1,0.012019,6.308067,[15 56] ; [45 71],[22.78074866 48.21925134] ; [37.21925134 78.78074866],0
s6,1,0.015288,5.883007,[29 45] ; [68 51],[37.19170984 36.80829016] ; [59.80829016 59.19170984],0
s7,1,0.01795,5.601018,[20 51] ; [52 62],[27.63243243 43.36756757] ; [44.36756757 69.63243243],0
a2,1,0.029667,4.728489,[ 2 72] ; [ 14 108],[ 6.04081633 67.95918367] ; [  9.95918367 112.04081633],0
p2,1,0.030105,4.703306,[42 32] ; [87 34],[48.95384615 25.04615385] ; [80.04615385 40.95384615],0
p3,1,0.040971,4.177207,[21 53] ; [52 69],[27.7025641 46.2974359] ; [45.2974359 75.7025641],0
s2,1,0.045163,4.012526,[22 51] ; [54 67],[28.59793814 44.40206186] ; [47.40206186 73.59793814],0
v1,1,0.053981,3.713289,[27 46] ; [61 58],[33.45833333 39.54166667] ; [54.54166667 64.45833333],0
s8,1,0.065006,3.404813,[19 55] ; [47 75],[24.91836735 49.08163265] ; [41.08163265 80.91836735],0
p4,1,0.070352,3.274792,[23 50] ; [54 67],[28.9742268 44.0257732] ; [48.0257732 72.9742268],0
p7,1,0.07806,3.10483,[27 46] ; [60 60],[32.90673575 40.09326425] ; [54.09326425 65.90673575],0
u1,1,0.0914,2.849549,[ 1 73] ; [  8 114],[ 3.39795918 70.60204082] ; [  5.60204082 116.39795918],0
p9,1,0.115225,2.48105,[45 27] ; [88 32],[49.875 22.125] ; [83.125 36.875],0
p1,1,0.120446,2.411506,[ 8 66] ; [  6 116],[ 5.28571429 68.71428571] ; [  8.71428571 113.28571429],0
p5,1,0.138275,2.197057,[ 3 70] ; [ 12 108],[ 5.67357513 67.32642487] ; [  9.32642487 110.67357513],0
p11,1,0.145703,2.11667,[46 28] ; [88 34],[50.59183673 23.40816327] ; [83.40816327 38.59183673],0
n5,1,0.198932,1.650199,[48 25] ; [90 31],[51.92783505 21.07216495] ; [86.07216495 34.92783505],0
n1,1,0.240681,1.376601,[ 9 20] ; [18 22],[11.34782609 17.65217391] ; [15.65217391 24.34782609],0
a8,1,0.299764,1.075244,[ 4 64] ; [ 12 104],[ 5.91304348 62.08695652] ; [ 10.08695652 105.91304348],0
s3,1,0.305709,1.049122,[32 40] ; [63 58],[35.44041451 36.55958549] ; [59.55958549 61.44041451],0
n3,1,0.445648,0.581698,[16 11] ; [28 13],[17.47058824  9.52941176] ; [26.52941176 14.47058824],0
a6,1,0.635425,0.224776,[32 42] ; [57 65],[33.60204082 40.39795918] ; [55.39795918 66.60204082],0
n2,1,0.643413,0.214307,[19 10] ; [29 12],[19.88571429  9.11428571] ; [28.11428571 12.88571429],0
u2,1,0.678918,0.171346,[19 21] ; [11 15],[18.18181818 21.81818182] ; [11.81818182 14.18181818],0
p8,1,0.701645,0.146766,[25 49] ; [38 84],[23.78571429 50.21428571] ; [39.21428571 82.78571429],0
s1,1,0.754581,0.097721,[ 5 68] ; [  7 115],[ 4.49230769 68.50769231] ; [  7.50769231 114.49230769],0
b2,1,0.758549,0.094486,[18 31] ; [30 46],[18.816 30.184] ; [29.184 46.816],0
b3,1,0.758549,0.094486,[18 31] ; [30 46],[18.816 30.184] ; [29.184 46.816],0
p12,1,0.770167,0.085356,[ 3 71] ; [  6 115],[ 3.41538462 70.58461538] ; [  5.58461538 115.41538462],0
s4,1,0.856516,0.032692,[12 62] ; [ 21 101],[12.45918367 61.54081633] ; [ 20.54081633 101.45918367],0
a1,1,0.880509,0.022597,[ 4 70] ; [  6 116],[ 3.7755102 70.2244898] ; [  6.2244898 115.7755102],0
b4,1,0.946979,0.004422,[41 33] ; [67 55],[40.7755102 33.2244898] ; [67.2244898 54.7755102],0
u3,1,0.969343,0.001477,[15 25] ; [10 17],[14.92537313 25.07462687] ; [10.07462687 16.92537313],0
b5,1,0.973579,0.001097,[35 39] ; [58 64],[35.1122449 38.8877551] ; [57.8877551 64.1122449],0
b1,1,0.973579,0.001097,[35 39] ; [58 64],[35.1122449 38.8877551] ; [57.8877551 64.1122449],0
