Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,4.9e-05,16.467292,[25  2] ; [93 89],[15.24401914 11.75598086] ; [102.75598086  79.24401914],1
u4,1,0.000178,14.054592,[ 3 24] ; [  1 182],[ 0.51428571 26.48571429] ; [  3.48571429 179.51428571],1
p3,1,0.000676,11.555203,[22  5] ; [85 98],[13.75714286 13.24285714] ; [93.24285714 89.75714286],1
p1,1,0.002185,9.387358,[ 6 21] ; [ 10 173],[ 2.05714286 24.94285714] ; [ 13.94285714 169.05714286],0
p12,1,0.00232,9.277046,[ 5 22] ; [  7 174],[ 1.55769231 25.44230769] ; [ 10.44230769 170.55769231],0
s5,1,0.00946,6.733866,[16 10] ; [ 62 115],[ 9.99014778 16.00985222] ; [ 68.00985222 108.99014778],0
n5,1,0.020135,5.400183,[26  1] ; [140  42],[21.44497608  5.55502392] ; [144.55502392  37.44497608],0
p8,1,0.022304,5.221945,[20  7] ; [91 89],[14.47826087 12.52173913] ; [96.52173913 83.47826087],0
n4,1,0.025652,4.979327,[26  1] ; [142  40],[21.70334928  5.29665072] ; [146.29665072  35.70334928],0
a1,1,0.029082,4.762746,[ 4 23] ; [  8 175],[ 1.54285714 25.45714286] ; [ 10.45714286 172.54285714],0
p6,1,0.036234,4.386037,[15 12] ; [ 62 117],[10.09223301 16.90776699] ; [ 66.90776699 112.09223301],0
v3,1,0.04855,3.890841,[15 12] ; [ 64 115],[10.35436893 16.64563107] ; [ 68.64563107 110.35436893],0
p7,1,0.056182,3.64664,[23  4] ; [122  60],[18.73205742  8.26794258] ; [126.26794258  55.73205742],0
p9,1,0.064957,3.406068,[26  1] ; [150  32],[22.73684211  4.26315789] ; [153.26315789  28.73684211],0
s6,1,0.070794,3.264512,[20  5] ; [110  69],[15.93137255  9.06862745] ; [114.06862745  64.93137255],0
n1,1,0.086489,2.938543,[4 2] ; [17 37],[2.1 3.9] ; [18.9 35.1],0
d1,1,0.087245,2.924491,[17 10] ; [ 83 100],[12.85714286 14.14285714] ; [87.14285714 95.85714286],0
d2,1,0.097648,2.743543,[17 10] ; [84 99],[12.98571429 14.01428571] ; [88.01428571 94.98571429],0
n6,1,0.144922,2.124906,[25  2] ; [147  34],[22.32692308  4.67307692] ; [149.67307692  31.32692308],0
s7,1,0.147378,2.099184,[18  9] ; [90 84],[14.50746269 12.49253731] ; [93.49253731 80.50746269],0
v1,1,0.165074,1.927123,[17  9] ; [91 88],[13.69756098 12.30243902] ; [94.30243902 84.69756098],0
p10,1,0.188426,1.729885,[24  3] ; [141  40],[21.41826923  5.58173077] ; [143.58173077  37.41826923],0
b5,1,0.238243,1.390959,[10 17] ; [90 93],[12.85714286 14.14285714] ; [87.14285714 95.85714286],0
b3,1,0.243816,1.358395,[11 10] ; [45 71],[ 8.58394161 12.41605839] ; [47.41605839 68.58394161],0
b2,1,0.243816,1.358395,[11 10] ; [45 71],[ 8.58394161 12.41605839] ; [47.41605839 68.58394161],0
n2,1,0.259796,1.269841,[3 3] ; [39 15],[4.2 1.8] ; [37.8 16.2],0
r4,1,0.260581,1.26567,[24  3] ; [146  37],[21.85714286  5.14285714] ; [148.14285714  34.85714286],0
s8,1,0.271491,1.209196,[15 12] ; [ 81 102],[12.34285714 14.65714286] ; [83.65714286 99.34285714],0
a2,1,0.299766,1.075233,[ 1 26] ; [ 18 165],[ 2.44285714 24.55714286] ; [ 16.55714286 166.44285714],0
n3,1,0.36131,0.833333,[3 3] ; [37 17],[4. 2.] ; [36. 18.],0
a3,1,0.364249,0.823191,[21  6] ; [126  56],[18.99043062  8.00956938] ; [128.00956938  53.99043062],0
d4,1,0.373473,0.792076,[22  5] ; [133  48],[20.12019231  6.87980769] ; [134.87980769  46.12019231],0
v4,1,0.406164,0.69,[24  3] ; [168  12],[25.04347826  1.95652174] ; [166.95652174  13.04347826],0
u3,1,0.415318,0.663525,[3 3] ; [19 38],[2.0952381 3.9047619] ; [19.9047619 37.0952381],0
r1,1,0.434028,0.612022,[21  6] ; [129  54],[19.28571429  7.71428571] ; [130.71428571  52.28571429],0
p11,1,0.434841,0.609859,[23  4] ; [144  39],[21.47142857  5.52857143] ; [145.52857143  37.47142857],0
a6,1,0.447671,0.576541,[13 14] ; [ 74 109],[11.18571429 15.81428571] ; [ 75.81428571 107.18571429],0
a4,1,0.498059,0.459071,[10 17] ; [ 80 102],[11.62679426 15.37320574] ; [ 78.37320574 103.62679426],0
d3,1,0.527325,0.399544,[14 13] ; [ 83 100],[12.47142857 14.52857143] ; [84.52857143 98.47142857],0
d5,1,0.56541,0.330424,[21  6] ; [132  50],[19.76555024  7.23444976] ; [133.23444976  48.76555024],0
u1,1,0.565695,0.329939,[ 1 26] ; [ 12 171],[ 1.67142857 25.32857143] ; [ 11.32857143 171.67142857],0
s3,1,0.588582,0.292564,[17 10] ; [104  77],[15.70673077 11.29326923] ; [105.29326923  75.70673077],0
s2,1,0.617081,0.249991,[14 13] ; [85 97],[12.78947368 14.21052632] ; [86.21052632 95.78947368],0
s4,1,0.626901,0.236286,[ 4 23] ; [ 34 148],[ 4.90909091 22.09090909] ; [ 33.09090909 148.90909091],0
s1,1,0.63276,0.228336,[ 1 26] ; [  4 178],[ 0.64593301 26.35406699] ; [  4.35406699 177.64593301],0
r2,1,0.639702,0.219132,[23  4] ; [159  21],[23.73913043  3.26086957] ; [158.26086957  21.73913043],0
r3,1,0.688184,0.161058,[25  2] ; [165  18],[24.42857143  2.57142857] ; [165.57142857  17.42857143],0
b4,1,0.691183,0.157808,[16 11] ; [101  82],[15.04285714 11.95714286] ; [101.95714286  81.04285714],0
v2,1,0.731869,0.117403,[14 13] ; [86 92],[13.17073171 13.82926829] ; [86.82926829 91.17073171],0
b1,1,0.785658,0.073958,[13 14] ; [ 83 100],[12.34285714 14.65714286] ; [83.65714286 99.34285714],0
a8,1,0.906075,0.013922,[ 3 23] ; [ 21 149],[ 3.18367347 22.81632653] ; [ 20.81632653 149.18367347],0
a5,1,0.909799,0.012835,[18  9] ; [124  59],[18.25714286  8.74285714] ; [123.74285714  59.25714286],0
u2,1,0.967391,0.001671,[3 3] ; [29 28],[3.04761905 2.95238095] ; [28.95238095 28.04761905],0
