Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.000179,14.041569,[13 14] ; [94 20],[20.4893617  6.5106383] ; [86.5106383 27.4893617],1
a3,1,0.001167,10.542169,[14 13] ; [93 21],[20.4893617  6.5106383] ; [86.5106383 27.4893617],0
a5,1,0.003382,8.589181,[12 15] ; [84 30],[18.38297872  8.61702128] ; [77.61702128 36.38297872],0
d3,1,0.009041,6.814713,[ 6 21] ; [57 57],[12.06382979 14.93617021] ; [50.93617021 63.06382979],0
s5,1,0.009155,6.792344,[ 5 21] ; [52 58],[10.89705882 15.10294118] ; [46.10294118 63.89705882],0
p9,1,0.009569,6.713514,[18  9] ; [97 14],[22.5  4.5] ; [92.5 18.5],0
d2,1,0.009906,6.651722,[ 7 20] ; [61 53],[13.0212766 13.9787234] ; [54.9787234 59.0212766],0
n6,1,0.01597,5.8062,[16 11] ; [90 21],[20.73913043  6.26086957] ; [85.26086957 25.73913043],0
s2,1,0.017056,5.690576,[10 17] ; [71 43],[15.5106383 11.4893617] ; [65.4893617 48.5106383],0
p7,1,0.020638,5.357142,[13 14] ; [78 31],[18.06617647  8.93382353] ; [72.93382353 36.06617647],0
a4,1,0.027104,4.884183,[ 7 19] ; [58 56],[12.07142857 13.92857143] ; [52.92857143 61.07142857],0
p3,1,0.028278,4.811023,[ 8 19] ; [59 52],[13.10869565 13.89130435] ; [53.89130435 57.10869565],0
s1,1,0.044468,4.038696,[ 3 23] ; [  3 110],[ 1.12230216 24.87769784] ; [  4.87769784 108.12230216],0
v2,1,0.069349,3.298373,[13 14] ; [73 36],[17.07352941  9.92647059] ; [68.92647059 40.07352941],0
r4,1,0.071794,3.241521,[19  8] ; [97 17],[22.21276596  4.78723404] ; [93.78723404 20.21276596],0
p10,1,0.092964,2.822288,[18  8] ; [92 18],[21.02941176  4.97058824] ; [88.97058824 21.02941176],0
b2,1,0.098054,2.736921,[ 7 13] ; [44 35],[10.3030303  9.6969697] ; [40.6969697 38.3030303],0
b3,1,0.098054,2.736921,[ 7 13] ; [44 35],[10.3030303  9.6969697] ; [40.6969697 38.3030303],0
s6,1,0.115406,2.47858,[14 12] ; [77 33],[17.39705882  8.60294118] ; [73.60294118 36.39705882],0
r3,1,0.130741,2.283689,[23  4] ; [107   7],[24.89361702  2.10638298] ; [105.10638298   8.89361702],0
r1,1,0.142181,2.15419,[18  9] ; [91 23],[20.87234043  6.12765957] ; [88.12765957 25.87234043],0
s8,1,0.160364,1.970794,[11 16] ; [63 50],[14.27142857 12.72857143] ; [59.72857143 53.27142857],0
p8,1,0.181993,1.781277,[10 17] ; [56 53],[13.10294118 13.89705882] ; [52.89705882 56.10294118],0
b4,1,0.187173,1.739734,[18  9] ; [60 54],[14.93617021 12.06382979] ; [63.06382979 50.93617021],0
v3,1,0.196135,1.670922,[10 17] ; [56 54],[13.00729927 13.99270073] ; [52.99270073 57.00729927],0
p1,1,0.269494,1.219322,[ 3 24] ; [  6 107],[ 1.73571429 25.26428571] ; [  7.26428571 105.73571429],0
p2,1,0.278291,1.175415,[19  8] ; [88 22],[21.08759124  5.91240876] ; [85.91240876 24.08759124],0
p6,1,0.303461,1.058922,[ 7 20] ; [39 68],[ 9.26865672 17.73134328] ; [36.73134328 70.26865672],0
u3,1,0.368714,0.807994,[6 7] ; [13  8],[7.26470588 5.73529412] ; [11.73529412  9.26470588],0
s7,1,0.392366,0.731598,[12 14] ; [61 49],[13.95588235 12.04411765] ; [59.04411765 50.95588235],0
a8,1,0.420932,0.647712,[ 4 20] ; [12 99],[ 2.84444444 21.15555556] ; [13.15555556 97.84444444],0
n5,1,0.470767,0.520175,[20  7] ; [90 22],[21.36690647  5.63309353] ; [88.63309353 23.36690647],0
n1,1,0.473289,0.514286,[8 4] ; [13 11],[7. 5.] ; [14. 10.],0
n4,1,0.526133,0.401855,[20  7] ; [90 23],[21.21428571  5.78571429] ; [88.78571429 24.21428571],0
s3,1,0.576572,0.311809,[15 12] ; [70 44],[16.27659574 10.72340426] ; [68.72340426 45.27659574],0
p5,1,0.643606,0.214057,[ 3 24] ; [16 94],[ 3.74452555 23.25547445] ; [15.25547445 94.74452555],0
a6,1,0.643735,0.213891,[11 16] ; [41 73],[ 9.95744681 17.04255319] ; [42.04255319 71.95744681],0
b5,1,0.675058,0.175743,[13 14] ; [60 54],[13.9787234 13.0212766] ; [59.0212766 54.9787234],0
b1,1,0.736072,0.11361,[14 13] ; [55 59],[13.21276596 13.78723404] ; [55.78723404 58.21276596],0
u1,1,0.737293,0.11252,[ 1 26] ; [  6 108],[ 1.34042553 25.65957447] ; [  5.65957447 108.34042553],0
p11,1,0.769577,0.085807,[22  5] ; [90 24],[21.44680851  5.55319149] ; [90.55319149 23.44680851],0
s4,1,0.817917,0.053003,[ 5 22] ; [19 95],[ 4.59574468 22.40425532] ; [19.40425532 94.59574468],0
a2,1,0.819277,0.052201,[ 2 25] ; [ 10 104],[ 2.29787234 24.70212766] ; [  9.70212766 104.29787234],0
r2,1,0.840273,0.04062,[24  2] ; [102  10],[23.73913043  2.26086957] ; [102.26086957   9.73913043],0
p4,1,0.852702,0.034474,[15 12] ; [60 52],[14.56834532 12.43165468] ; [60.43165468 51.56834532],0
u2,1,0.933708,0.006919,[6 7] ; [10 11],[6.11764706 6.88235294] ; [ 9.88235294 11.11764706],0
v4,1,0.985913,0.000312,[23  2] ; [105   9],[23.02158273  1.97841727] ; [104.97841727   9.02158273],0
