Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,6e-06,20.574583,[47  7] ; [3 9],[40.90909091 13.09090909] ; [9.09090909 2.90909091],1
n5,1,0.012453,6.245241,[42 12] ; [5 7],[38.45454545 15.54545455] ; [8.54545455 3.45454545],0
a5,1,0.014387,5.990039,[35 20] ; [3 9],[31.19402985 23.80597015] ; [6.80597015 5.19402985],0
s2,1,0.037072,4.347114,[32 23] ; [3 9],[28.73134328 26.26865672] ; [6.26865672 5.73134328],0
n6,1,0.050778,3.815574,[46  9] ; [7 5],[43.50746269 11.49253731] ; [9.49253731 2.50746269],0
d1,1,0.063621,3.440386,[30 25] ; [3 9],[27.08955224 27.91044776] ; [5.91044776 6.08955224],0
d5,1,0.083489,2.995643,[44 10] ; [7 5],[41.72727273 12.27272727] ; [9.27272727 2.72727273],0
v3,1,0.085686,2.953616,[23 30] ; [ 2 10],[20.38461538 32.61538462] ; [4.61538462 7.38461538],0
s6,1,0.098169,2.735043,[35 17] ; [5 7],[32.5 19.5] ; [7.5 4.5],0
v2,1,0.099235,2.717797,[31 21] ; [4 8],[28.4375 23.5625] ; [6.5625 5.4375],0
d3,1,0.117122,2.455385,[35 18] ; [5 7],[32.61538462 20.38461538] ; [7.38461538 4.61538462],0
b1,1,0.117783,2.446552,[23 32] ; [8 4],[25.44776119 29.55223881] ; [5.55223881 6.44776119],0
b4,1,0.125498,2.347324,[36 19] ; [5 7],[33.65671642 21.34328358] ; [7.34328358 4.65671642],0
r2,1,0.138311,2.196655,[48  5] ; [9 3],[46.47692308  6.52307692] ; [10.52307692  1.47692308],0
v1,1,0.143899,2.135756,[26 28] ; [3 9],[23.72727273 30.27272727] ; [5.27272727 6.72727273],0
d4,1,0.152253,2.049531,[43 12] ; [7 5],[41.04477612 13.95522388] ; [8.95522388 3.04477612],0
a3,1,0.159785,1.976256,[35 20] ; [5 7],[32.8358209 22.1641791] ; [7.1641791 4.8358209],0
n4,1,0.162287,1.952782,[39 16] ; [6 6],[36.94029851 18.05970149] ; [8.05970149 3.94029851],0
p3,1,0.245503,1.348714,[33 22] ; [5 7],[31.19402985 23.80597015] ; [6.80597015 5.19402985],0
b3,1,0.283962,1.148032,[16 19] ; [2 6],[14.65116279 20.34883721] ; [3.34883721 4.65116279],0
b2,1,0.283962,1.148032,[16 19] ; [2 6],[14.65116279 20.34883721] ; [3.34883721 4.65116279],0
p7,1,0.289264,1.123044,[36 17] ; [10  2],[37.50769231 15.49230769] ; [8.49230769 3.50769231],0
p4,1,0.323522,0.974653,[40 15] ; [7 5],[38.58208955 16.41791045] ; [8.41791045 3.58208955],0
a4,1,0.38821,0.744543,[21 34] ; [3 9],[19.70149254 35.29850746] ; [4.29850746 7.70149254],0
s1,1,0.42788,0.628571,[ 2 53] ; [ 1 10],[ 2.5 52.5] ; [ 0.5 10.5],0
p2,1,0.479618,0.499731,[46  9] ; [9 3],[45.14925373  9.85074627] ; [9.85074627 2.14925373],0
s8,1,0.487449,0.482152,[29 26] ; [5 7],[27.91044776 27.08955224] ; [6.08955224 5.91044776],0
s7,1,0.532909,0.388841,[29 23] ; [5 6],[28.06349206 23.93650794] ; [5.93650794 5.06349206],0
s5,1,0.552686,0.352526,[20 30] ; [3 7],[19.16666667 30.83333333] ; [3.83333333 6.16666667],0
s3,1,0.561761,0.336665,[28 27] ; [5 7],[27.08955224 27.91044776] ; [5.91044776 6.08955224],0
p11,1,0.588411,0.292832,[45 10] ; [9 3],[44.32835821 10.67164179] ; [9.67164179 2.32835821],0
s4,1,0.599737,0.275392,[13 42] ; [ 2 10],[12.31343284 42.68656716] ; [2.68656716 9.31343284],0
n3,1,0.612274,0.256877,[13  6] ; [4 1],[13.45833333  5.54166667] ; [3.54166667 1.45833333],0
u3,1,0.658387,0.195489,[10  9] ; [3 4],[9.5 9.5] ; [3.5 3.5],0
r3,1,0.67062,0.180878,[48  7] ; [11  1],[48.43283582  6.56716418] ; [10.56716418  1.43283582],0
u2,1,0.711011,0.137269,[13  7] ; [4 3],[12.59259259  7.40740741] ; [4.40740741 2.59259259],0
a7,1,0.7197,0.12878,[33 21] ; [8 4],[33.54545455 20.45454545] ; [7.45454545 4.54545455],0
n2,1,0.722283,0.126316,[13  6] ; [3 2],[12.66666667  6.33333333] ; [3.33333333 1.66666667],0
b5,1,0.730739,0.118434,[35 20] ; [7 5],[34.47761194 20.52238806] ; [7.52238806 4.47761194],0
a8,1,0.74847,0.102821,[ 6 46] ; [ 1 11],[ 5.6875 46.3125] ; [ 1.3125 10.6875],0
v4,1,0.791552,0.069852,[49  6] ; [11  1],[49.25373134  5.74626866] ; [10.74626866  1.25373134],0
d2,1,0.822409,0.050377,[21 34] ; [5 7],[21.34328358 33.65671642] ; [4.65671642 7.34328358],0
r4,1,0.869715,0.026903,[38 17] ; [8 4],[37.76119403 17.23880597] ; [8.23880597 3.76119403],0
u1,1,0.8992,0.016046,[ 4 51] ; [ 1 11],[ 4.10447761 50.89552239] ; [ 0.89552239 11.10447761],0
a6,1,0.915069,0.011373,[33 22] ; [7 5],[32.8358209 22.1641791] ; [7.1641791 4.8358209],0
n1,1,0.923708,0.009171,[ 9 10] ; [2 2],[9.08695652 9.91304348] ; [1.91304348 2.08695652],0
a2,1,0.933636,0.006934,[ 5 50] ; [ 1 11],[ 4.92537313 50.07462687] ; [ 1.07462687 10.92537313],0
p8,1,0.992307,9.3e-05,[32 23] ; [7 5],[32.01492537 22.98507463] ; [6.98507463 5.01492537],0
