Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000442,12.345779,[7 5] ; [ 3 30],[2.66666667 9.33333333] ; [ 7.33333333 25.66666667],1
p6,1,0.000651,11.623157,[6 6] ; [ 2 31],[2.13333333 9.86666667] ; [ 5.86666667 27.13333333],1
s3,1,0.001104,10.643973,[9 3] ; [ 7 25],[4.36363636 7.63636364] ; [11.63636364 20.36363636],0
s8,1,0.001423,10.175316,[7 5] ; [ 4 29],[2.93333333 9.06666667] ; [ 8.06666667 24.93333333],0
p8,1,0.008561,6.912226,[8 4] ; [ 8 25],[4.26666667 7.73333333] ; [11.73333333 21.26666667],0
s6,1,0.015937,5.809778,[8 4] ; [ 9 24],[4.53333333 7.46666667] ; [12.46666667 20.53333333],0
p2,1,0.015941,5.809375,[9 3] ; [11 21],[5.45454545 6.54545455] ; [14.54545455 17.45454545],0
s5,1,0.019016,5.5,[6 5] ; [ 6 27],[3. 8.] ; [ 9. 24.],0
p9,1,0.029674,4.72807,[10  2] ; [15 17],[6.81818182 5.18181818] ; [18.18181818 13.81818182],0
b1,1,0.03193,4.602273,[5 7] ; [25  8],[8. 4.] ; [22. 11.],0
p4,1,0.033335,4.52849,[8 4] ; [10 22],[4.90909091 7.09090909] ; [13.09090909 18.90909091],0
n4,1,0.036347,4.380751,[10  2] ; [16 17],[6.93333333 5.06666667] ; [19.06666667 13.93333333],0
b5,1,0.036347,4.380751,[10  2] ; [16 17],[6.93333333 5.06666667] ; [19.06666667 13.93333333],0
n6,1,0.045194,4.011396,[10  2] ; [16 16],[7.09090909 4.90909091] ; [18.90909091 13.09090909],0
p11,1,0.054244,3.705182,[7 5] ; [ 9 24],[4.26666667 7.73333333] ; [11.73333333 21.26666667],0
v1,1,0.054244,3.705182,[7 5] ; [ 9 24],[4.26666667 7.73333333] ; [11.73333333 21.26666667],0
s7,1,0.05705,3.621121,[6 5] ; [ 7 23],[3.48780488 7.51219512] ; [ 9.51219512 20.48780488],0
s4,1,0.058495,3.579545,[5 7] ; [ 5 28],[2.66666667 9.33333333] ; [ 7.33333333 25.66666667],0
n1,1,0.110149,2.552083,[3 1] ; [ 5 11],[1.6 2.4] ; [6.4 9.6],0
n3,1,0.110149,2.552083,[3 1] ; [ 5 11],[1.6 2.4] ; [6.4 9.6],0
p10,1,0.113436,2.505682,[9 3] ; [16 17],[6.66666667 5.33333333] ; [18.33333333 14.66666667],0
p3,1,0.149996,2.072293,[7 5] ; [11 21],[4.90909091 7.09090909] ; [13.09090909 18.90909091],0
a5,1,0.152661,2.045455,[10  2] ; [20 13],[8. 4.] ; [22. 11.],0
v4,1,0.152661,2.045455,[10  2] ; [20 13],[8. 4.] ; [22. 11.],0
r2,1,0.157787,1.995308,[9 2] ; [18 13],[7.07142857 3.92857143] ; [19.92857143 11.07142857],0
v2,1,0.170022,1.882748,[5 7] ; [ 7 26],[3.2 8.8] ; [ 8.8 24.2],0
s1,1,0.268913,1.222284,[ 2 10] ; [ 2 31],[ 1.06666667 10.93333333] ; [ 2.93333333 30.06666667],0
u1,1,0.268913,1.222284,[ 2 10] ; [ 2 31],[ 1.06666667 10.93333333] ; [ 2.93333333 30.06666667],0
a6,1,0.279642,1.168831,[8 4] ; [16 17],[6.4 5.6] ; [17.6 15.4],0
b4,1,0.307841,1.039916,[6 6] ; [22 11],[7.46666667 4.53333333] ; [20.53333333 12.46666667],0
p7,1,0.355168,0.854906,[5 6] ; [ 9 21],[3.75609756 7.24390244] ; [10.24390244 19.75609756],0
a7,1,0.365712,0.818182,[8 4] ; [17 16],[6.66666667 5.33333333] ; [18.33333333 14.66666667],0
