Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,32.301384,[88 14] ; [144 121],[64.47956403 37.52043597] ; [167.52043597  97.47956403],1
p12,1,1e-06,23.821854,[13 89] ; [  3 262],[ 4.44686649 97.55313351] ; [ 11.55313351 253.44686649],1
s2,1,1e-06,23.515194,[68 33] ; [103 161],[47.31780822 53.68219178] ; [123.68219178 140.31780822],1
s8,1,1.7e-05,18.499646,[56 45] ; [ 83 184],[38.14945652 62.85054348] ; [100.85054348 166.14945652],1
p5,1,5.5e-05,16.267678,[12 90] ; [  5 260],[ 4.72479564 97.27520436] ; [ 12.27520436 252.72479564],1
s7,1,6e-05,16.090685,[60 41] ; [ 92 163],[43.12359551 57.87640449] ; [108.87640449 146.12359551],1
s3,1,0.000145,14.433844,[69 28] ; [128 135],[53.08055556 43.91944444] ; [143.91944444 119.08055556],1
s4,1,0.000768,11.316747,[24 76] ; [ 27 236],[14.04958678 85.95041322] ; [ 36.95041322 226.04958678],1
n6,1,0.009689,6.69127,[89 12] ; [201  64],[80.0273224 20.9726776] ; [209.9726776  55.0273224],0
p7,1,0.018757,5.523993,[60 37] ; [123 134],[50.1440678 46.8559322] ; [132.8559322 124.1440678],0
b3,1,0.0226,5.198998,[27 35] ; [ 40 106],[19.97115385 42.02884615] ; [47.02884615 98.97115385],0
b2,1,0.0226,5.198998,[27 35] ; [ 40 106],[19.97115385 42.02884615] ; [47.02884615 98.97115385],0
p6,1,0.023732,5.114092,[32 69] ; [ 54 210],[23.79726027 77.20273973] ; [ 62.20273973 201.79726027],0
u2,1,0.025366,4.998757,[ 9 16] ; [55 35],[13.91304348 11.08695652] ; [50.08695652 39.91304348],0
d2,1,0.025499,4.989667,[54 46] ; [109 157],[44.53551913 55.46448087] ; [118.46448087 147.53551913],0
v1,1,0.03958,4.235791,[58 44] ; [118 145],[49.18356164 52.81643836] ; [126.81643836 136.18356164],0
p1,1,0.046668,3.957331,[ 9 92] ; [ 10 256],[ 5.22888283 95.77111717] ; [ 13.77111717 252.22888283],0
p10,1,0.057678,3.60293,[81 20] ; [185  78],[73.80769231 27.19230769] ; [192.19230769  70.80769231],0
a5,1,0.059465,3.552235,[79 23] ; [180  87],[71.59349593 30.40650407] ; [187.40650407  79.59349593],0
p4,1,0.063772,3.436476,[45 55] ; [ 91 173],[37.36263736 62.63736264] ; [ 98.63736264 165.36263736],0
b5,1,0.074239,3.186721,[55 47] ; [171  96],[62.47154472 39.52845528] ; [163.52845528 103.47154472],0
r2,1,0.090353,2.868065,[98  2] ; [248  17],[94.79452055  5.20547945] ; [251.20547945  13.79452055],0
r3,1,0.091539,2.847096,[98  2] ; [249  17],[94.80874317  5.19125683] ; [252.19125683  13.80874317],0
d5,1,0.094415,2.797438,[86 16] ; [203  63],[80.10326087 21.89673913] ; [208.89673913  57.10326087],0
p9,1,0.098943,2.7225,[81 18] ; [194  70],[75. 24.] ; [200.  64.],0
n3,1,0.13786,2.201681,[23  7] ; [48 30],[19.72222222 10.27777778] ; [51.27777778 26.72222222],0
a2,1,0.167508,1.905103,[27 75] ; [ 53 214],[22.11382114 79.88617886] ; [ 57.88617886 209.11382114],0
a4,1,0.171923,1.866096,[50 52] ; [109 156],[44.19073569 57.80926431] ; [114.80926431 150.19073569],0
p8,1,0.187455,1.737509,[43 57] ; [ 93 169],[37.56906077 62.43093923] ; [ 98.43093923 163.56906077],0
a3,1,0.189123,1.724435,[75 27] ; [176  89],[69.76021798 32.23978202] ; [181.23978202  83.76021798],0
a6,1,0.199609,1.645235,[63 39] ; [183  83],[68.18478261 33.81521739] ; [177.81521739  88.18478261],0
