Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,41.338449,[52  2] ; [32 45],[34.6259542 19.3740458] ; [49.3740458 27.6259542],1
d5,1,0.0,35.024638,[53  1] ; [39 39],[37.63636364 16.36363636] ; [54.36363636 23.63636364],1
d2,1,0.0,32.436287,[30 24] ; [ 8 71],[15.42857143 38.57142857] ; [22.57142857 56.42857143],1
a5,1,7.7e-05,15.639338,[40 14] ; [31 48],[28.82706767 25.17293233] ; [42.17293233 36.82706767],1
a4,1,0.000909,11.004484,[22 32] ; [12 67],[13.80451128 40.19548872] ; [20.19548872 58.80451128],1
a2,1,0.000971,10.881847,[12 42] ; [ 3 76],[ 6.09022556 47.90977444] ; [ 8.90977444 70.09022556],1
u1,1,0.002251,9.333022,[ 8 46] ; [ 1 78],[ 3.65413534 50.34586466] ; [ 5.34586466 73.65413534],0
a3,1,0.003668,8.441104,[39 15] ; [37 42],[30.85714286 23.14285714] ; [45.14285714 33.85714286],0
b5,1,0.03095,4.655727,[40 14] ; [44 35],[34.10526316 19.89473684] ; [49.89473684 29.10526316],0
a7,1,0.034696,4.460051,[42 12] ; [47 31],[36.40909091 17.59090909] ; [52.59090909 25.40909091],0
n5,1,0.043372,4.080846,[13 41] ; [32 46],[18.40909091 35.59090909] ; [26.59090909 51.40909091],0
a6,1,0.078239,3.101115,[35 19] ; [39 40],[30.04511278 23.95488722] ; [43.95488722 35.04511278],0
p10,1,0.080421,3.056369,[28 25] ; [53 25],[32.77099237 20.22900763] ; [48.22900763 29.77099237],0
r1,1,0.08741,2.92143,[38 16] ; [44 35],[33.29323308 20.70676692] ; [48.70676692 30.29323308],0
r4,1,0.112963,2.512265,[43 11] ; [53 26],[38.97744361 15.02255639] ; [57.02255639 21.97744361],0
r3,1,0.163468,1.941844,[48  6] ; [63 16],[45.06766917  8.93233083] ; [65.93233083 13.06766917],0
v2,1,0.179053,1.805464,[27 27] ; [29 47],[23.26153846 30.73846154] ; [32.73846154 43.26153846],0
n3,1,0.220025,1.504211,[11 12] ; [20 11],[13.2037037  9.7962963] ; [17.7962963 13.2037037],0
p9,1,0.22056,1.500722,[32 20] ; [56 22],[35.2 16.8] ; [52.8 25.2],0
s5,1,0.239893,1.381221,[12 42] ; [11 66],[ 9.48091603 44.51908397] ; [13.51908397 63.48091603],0
v4,1,0.243316,1.361279,[50  4] ; [68 11],[47.90977444  6.09022556] ; [70.09022556  8.90977444],0
r2,1,0.331125,0.944494,[46  8] ; [62 17],[43.84962406 10.15037594] ; [64.15037594 14.84962406],0
s1,1,0.338974,0.914307,[ 1 53] ; [ 4 75],[ 2.03007519 51.96992481] ; [ 2.96992481 76.03007519],0
p5,1,0.367064,0.813578,[ 2 51] ; [ 6 73],[ 3.21212121 49.78787879] ; [ 4.78787879 74.21212121],0
p7,1,0.414508,0.665835,[23 30] ; [40 39],[25.29545455 27.70454545] ; [37.70454545 41.29545455],0
b1,1,0.444529,0.584564,[21 33] ; [36 43],[23.14285714 30.85714286] ; [33.85714286 45.14285714],0
s6,1,0.448506,0.574424,[21 33] ; [25 52],[18.96183206 35.03816794] ; [27.03816794 49.96183206],0
n1,1,0.462029,0.540974,[ 4 19] ; [ 8 23],[ 5.11111111 17.88888889] ; [ 6.88888889 24.11111111],0
p4,1,0.481226,0.496083,[22 31] ; [28 51],[20.07575758 32.92424242] ; [29.92424242 49.07575758],0
s2,1,0.487944,0.481056,[ 9 44] ; [10 69],[ 7.62878788 45.37121212] ; [11.37121212 67.62878788],0
p8,1,0.490014,0.476495,[24 29] ; [31 48],[22.08333333 30.91666667] ; [32.91666667 46.08333333],0
p6,1,0.491415,0.473427,[10 42] ; [19 59],[11.6 40.4] ; [17.4 60.6],0
a1,1,0.518822,0.416234,[ 1 53] ; [ 3 76],[ 1.62406015 52.37593985] ; [ 2.37593985 76.62406015],0
u2,1,0.589882,0.290529,[7 8] ; [23 19],[7.89473684 7.10526316] ; [22.10526316 19.89473684],0
u3,1,0.611062,0.258632,[9 6] ; [22 20],[8.15789474 6.84210526] ; [22.84210526 19.15789474],0
b4,1,0.629167,0.233192,[31 23] ; [42 37],[29.63909774 24.36090226] ; [43.36090226 35.63909774],0
s7,1,0.661722,0.191438,[11 38] ; [15 63],[10.03149606 38.96850394] ; [15.96850394 62.03149606],0
v1,1,0.685793,0.163678,[21 33] ; [28 51],[19.89473684 34.10526316] ; [29.10526316 49.89473684],0
p11,1,0.685793,0.163678,[33 21] ; [51 28],[34.10526316 19.89473684] ; [49.89473684 29.10526316],0
s8,1,0.686239,0.163187,[ 9 45] ; [11 67],[ 8.18181818 45.81818182] ; [11.81818182 66.18181818],0
n2,1,0.688059,0.161195,[13  9] ; [20 11],[13.69811321  8.30188679] ; [19.30188679 11.69811321],0
p3,1,0.716651,0.131724,[17 36] ; [23 56],[16.06060606 36.93939394] ; [23.93939394 55.06060606],0
v3,1,0.766737,0.087999,[11 41] ; [18 59],[11.68992248 40.31007752] ; [17.31007752 59.68992248],0
p2,1,0.780701,0.07751,[35 18] ; [54 25],[35.73484848 17.26515152] ; [53.26515152 25.73484848],0
s4,1,0.798834,0.064952,[ 8 46] ; [13 66],[ 8.52631579 45.47368421] ; [12.47368421 66.52631579],0
p12,1,0.807468,0.059386,[ 1 52] ; [ 2 77],[ 1.20454545 51.79545455] ; [ 1.79545455 77.20454545],0
b3,1,0.824198,0.04935,[ 7 23] ; [ 9 26],[ 7.38461538 22.61538462] ; [ 8.61538462 26.38461538],0
b2,1,0.824198,0.04935,[ 7 23] ; [ 9 26],[ 7.38461538 22.61538462] ; [ 8.61538462 26.38461538],0
n6,1,0.919541,0.010203,[36 18] ; [52 27],[35.72932331 18.27067669] ; [52.27067669 26.72932331],0
