Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1e-06,23.473029,[ 9 46] ; [47 34],[22.64705882 32.35294118] ; [33.35294118 47.64705882],1
v1,1,9e-06,19.721114,[17 39] ; [57 26],[29.81294964 26.18705036] ; [44.18705036 38.81294964],1
r1,1,1.1e-05,19.269329,[32 24] ; [75  9],[42.8 13.2] ; [64.2 19.8],1
a5,1,0.000711,11.459211,[31 26] ; [68 16],[40.0212766 16.9787234] ; [58.9787234 25.0212766],1
a3,1,0.001021,10.789627,[26 30] ; [62 22],[35.2 20.8] ; [52.8 31.2],0
r4,1,0.001952,9.593995,[40 17] ; [76  8],[46.89361702 10.10638298] ; [69.10638298 14.89361702],0
p11,1,0.004031,8.269777,[41 16] ; [76  8],[47.29787234  9.70212766] ; [69.70212766 14.29787234],0
b5,1,0.013791,6.0647,[41 16] ; [43 41],[33.95744681 23.04255319] ; [50.04255319 33.95744681],0
p3,1,0.014677,5.954861,[25 31] ; [55 29],[32. 24.] ; [48. 36.],0
a4,1,0.015908,5.813056,[15 42] ; [39 45],[21.82978723 35.17021277] ; [32.17021277 51.82978723],0
p4,1,0.022759,5.186798,[29 28] ; [58 25],[35.42142857 21.57857143] ; [51.57857143 31.42142857],0
n3,1,0.032944,4.548704,[7 7] ; [13  2],[9.65517241 4.34482759] ; [10.34482759  4.65517241],0
r3,1,0.055257,3.674304,[48  9] ; [79  5],[51.34042553  5.65957447] ; [75.65957447  8.34042553],0
s1,1,0.059697,3.545771,[ 4 51] ; [ 1 83],[ 1.97841727 53.02158273] ; [ 3.02158273 80.97841727],0
d1,1,0.060053,3.535913,[29 28] ; [56 28],[34.36170213 22.63829787] ; [50.63829787 33.36170213],0
a6,1,0.061358,3.500284,[32 25] ; [60 24],[37.19148936 19.80851064] ; [54.80851064 29.19148936],0
n2,1,0.075475,3.159751,[8 6] ; [13  2],[10.13793103  3.86206897] ; [10.86206897  4.13793103],0
d4,1,0.087808,2.914102,[39 18] ; [68 16],[43.25531915 13.74468085] ; [63.74468085 20.25531915],0
s8,1,0.091617,2.845735,[11 46] ; [27 57],[15.36170213 41.63829787] ; [22.63829787 61.36170213],0
p7,1,0.105502,2.620334,[37 18] ; [66 17],[41.05072464 13.94927536] ; [61.94927536 21.05072464],0
n4,1,0.114831,2.486449,[38 19] ; [66 18],[42.04255319 14.95744681] ; [61.95744681 22.04255319],0
p5,1,0.123856,2.367865,[ 2 54] ; [ 9 75],[ 4.4 51.6] ; [ 6.6 77.4],0
s5,1,0.129153,2.302651,[ 5 52] ; [15 69],[ 8.08510638 48.91489362] ; [11.91489362 72.08510638],0
b2,1,0.220738,1.499566,[ 8 21] ; [23 33],[10.57647059 18.42352941] ; [20.42352941 35.57647059],0
b3,1,0.220738,1.499566,[ 8 21] ; [23 33],[10.57647059 18.42352941] ; [20.42352941 35.57647059],0
d5,1,0.28106,1.161956,[41 16] ; [67 17],[43.65957447 13.34042553] ; [64.34042553 19.65957447],0
b1,1,0.282555,1.154758,[18 39] ; [34 50],[21.0212766 35.9787234] ; [30.9787234 53.0212766],0
p9,1,0.286193,1.137443,[44 12] ; [71 12],[46.33093525  9.66906475] ; [68.66906475 14.33093525],0
d3,1,0.301175,1.068985,[36 21] ; [60 24],[38.80851064 18.19148936] ; [57.19148936 26.80851064],0
a8,1,0.311952,1.022394,[ 7 44] ; [ 6 68],[ 5.304 45.696] ; [ 7.696 66.304],0
s4,1,0.339108,0.9138,[ 5 52] ; [ 4 80],[ 3.63829787 53.36170213] ; [ 5.36170213 78.63829787],0
v4,1,0.342178,0.902256,[52  4] ; [81  3],[53.2  2.8] ; [79.8  4.2],0
p2,1,0.353555,0.860656,[47  9] ; [75  9],[48.8  7.2] ; [73.2 10.8],0
b4,1,0.382149,0.763776,[29 28] ; [49 35],[31.53191489 25.46808511] ; [46.46808511 37.53191489],0
d2,1,0.392597,0.730882,[25 32] ; [43 41],[27.4893617 29.5106383] ; [40.5106383 43.4893617],0
a2,1,0.403636,0.697467,[ 9 48] ; [18 66],[10.91489362 46.08510638] ; [16.08510638 67.91489362],0
a7,1,0.498099,0.458985,[43 14] ; [59 25],[41.23404255 15.76595745] ; [60.76595745 23.23404255],0
p10,1,0.498806,0.457476,[44 12] ; [69 14],[45.52517986 10.47482014] ; [67.47482014 15.52517986],0
u3,1,0.561125,0.33776,[13 18] ; [11 11],[14.03773585 16.96226415] ; [ 9.96226415 12.03773585],0
r2,1,0.57178,0.319714,[53  4] ; [74  8],[52.07913669  4.92086331] ; [74.92086331  7.07913669],0
n1,1,0.611179,0.258462,[4 9] ; [6 9],[4.64285714 8.35714286] ; [5.35714286 9.64285714],0
s2,1,0.676042,0.174616,[11 45] ; [14 69],[10.07194245 45.92805755] ; [14.92805755 68.07194245],0
s7,1,0.784513,0.074771,[15 39] ; [20 58],[14.31818182 39.68181818] ; [20.68181818 57.31818182],0
u1,1,0.80007,0.064139,[ 6 51] ; [10 74],[ 6.46808511 50.53191489] ; [ 9.53191489 74.46808511],0
n6,1,0.854721,0.033525,[46 10] ; [70 14],[46.4  9.6] ; [69.6 14.4],0
n5,1,0.872249,0.025857,[40 17] ; [60 24],[40.42553191 16.57446809] ; [59.57446809 24.42553191],0
p6,1,0.908147,0.013312,[21 36] ; [31 51],[21.32374101 35.67625899] ; [30.67625899 51.32374101],0
p1,1,0.915871,0.011159,[ 7 49] ; [10 74],[ 6.8 49.2] ; [10.2 73.8],0
s3,1,0.919153,0.010302,[13 42] ; [19 64],[12.75362319 42.24637681] ; [19.24637681 63.75362319],0
u2,1,0.983139,0.000447,[14 17] ; [10 12],[14.03773585 16.96226415] ; [ 9.96226415 12.03773585],0
