Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,44.314064,[ 2 69] ; [73 79],[23.87892377 47.12107623] ; [ 51.12107623 100.87892377],1
d4,1,1e-06,24.222562,[34 36] ; [123  29],[49.5045045 20.4954955] ; [107.4954955  44.5045045],1
d3,1,1.7e-05,18.445545,[27 44] ; [104  48],[41.70852018 29.29147982] ; [89.29147982 62.70852018],1
a7,1,0.000676,11.553584,[38 33] ; [115  36],[48.93243243 22.06756757] ; [104.06756757  46.93243243],1
a3,1,0.003978,8.293889,[23 47] ; [81 70],[32.94117647 37.05882353] ; [71.05882353 79.94117647],0
p2,1,0.012283,6.269487,[47 24] ; [123  28],[54.36936937 16.63063063] ; [115.63063063  35.36936937],0
a4,1,0.012749,6.203656,[ 7 63] ; [ 37 115],[13.87387387 56.12612613] ; [ 30.12612613 121.87387387],0
p3,1,0.028409,4.803094,[21 50] ; [68 83],[28.46396396 42.53603604] ; [60.53603604 90.46396396],0
p4,1,0.036744,4.362254,[27 42] ; [82 69],[34.18636364 34.81363636] ; [74.81363636 76.18636364],0
v2,1,0.071298,3.252886,[24 41] ; [73 72],[30.02380952 34.97619048] ; [66.97619048 78.02380952],0
r1,1,0.071345,3.251805,[48 23] ; [119  32],[53.40990991 17.59009009] ; [113.59009009  37.40990991],0
p10,1,0.085542,2.956337,[45 25] ; [111  36],[50.32258065 19.67741935] ; [105.67741935  41.32258065],0
s7,1,0.089322,2.886549,[20 48] ; [59 83],[25.58095238 42.41904762] ; [53.41904762 88.58095238],0
p8,1,0.10954,2.560847,[26 44] ; [73 77],[31.5 38.5] ; [67.5 82.5],0
v4,1,0.133727,2.248699,[69  1] ; [143   9],[66.84684685  3.15315315] ; [145.15315315   6.84684685],0
d2,1,0.146951,2.103623,[12 59] ; [ 39 113],[16.23766816 54.76233184] ; [ 34.76233184 117.23766816],0
v3,1,0.151624,2.055831,[19 50] ; [54 90],[23.64788732 45.35211268] ; [49.35211268 94.64788732],0
a6,1,0.159001,1.983698,[33 38] ; [86 66],[37.88789238 33.11210762] ; [81.11210762 70.88789238],0
s8,1,0.172177,1.863881,[20 51] ; [57 95],[24.51569507 46.48430493] ; [52.48430493 99.51569507],0
s2,1,0.174497,1.84388,[27 43] ; [73 78],[31.67420814 38.32579186] ; [68.32579186 82.67420814],0
b4,1,0.200586,1.638106,[37 34] ; [93 59],[41.39013453 29.60986547] ; [88.60986547 63.39013453],0
b1,1,0.247814,1.335588,[21 50] ; [57 95],[24.83408072 46.16591928] ; [53.16591928 98.83408072],0
v1,1,0.291759,1.111485,[28 42] ; [70 77],[31.61290323 38.38709677] ; [66.38709677 80.61290323],0
s6,1,0.32819,0.956027,[40 29] ; [96 52],[43.24423963 25.75576037] ; [92.75576037 55.24423963],0
b5,1,0.33414,0.932786,[41 30] ; [98 54],[44.25560538 26.74439462] ; [94.74439462 57.25560538],0
p11,1,0.348271,0.879746,[56 15] ; [111  41],[53.17040359 17.82959641] ; [113.82959641  38.17040359],0
s4,1,0.361187,0.833762,[10 60] ; [ 29 121],[12.40909091 57.59090909] ; [ 26.59090909 123.40909091],0
u3,1,0.381213,0.766786,[26 21] ; [45 26],[28.27966102 18.72033898] ; [42.72033898 28.27966102],0
n3,1,0.394542,0.724898,[12  5] ; [26  6],[13.18367347  3.81632653] ; [24.81632653  7.18367347],0
s1,1,0.399378,0.710199,[ 4 65] ; [  5 144],[ 2.84862385 66.15137615] ; [  6.15137615 142.84862385],0
p9,1,0.40708,0.687314,[52 18] ; [115  30],[54.37209302 15.62790698] ; [112.62790698  32.37209302],0
n4,1,0.408984,0.681752,[43 27] ; [102  50],[45.72072072 24.27927928] ; [99.27927928 52.72072072],0
p5,1,0.426236,0.633057,[ 9 61] ; [ 14 136],[ 7.31818182 62.68181818] ; [ 15.68181818 134.31818182],0
