Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1.5e-05,18.786842,[ 8 51] ; [30 29],[19. 40.] ; [19. 40.],1
v2,1,0.004957,7.89502,[12 41] ; [28 30],[19.0990991 33.9009009] ; [20.9009009 37.0990991],0
d4,1,0.007113,7.244182,[20 38] ; [35 24],[27.26495726 30.73504274] ; [27.73504274 31.26495726],0
r1,1,0.007695,7.103194,[30 29] ; [44 15],[37. 22.] ; [37. 22.],0
s6,1,0.012243,6.275334,[19 40] ; [32 26],[25.71794872 33.28205128] ; [25.28205128 32.71794872],0
r4,1,0.018069,5.589474,[34 25] ; [46 13],[40. 19.] ; [40. 19.],0
p10,1,0.020203,5.394235,[27 31] ; [40 19],[33.21367521 24.78632479] ; [33.78632479 25.21367521],0
r3,1,0.02492,5.029455,[42 17] ; [51  7],[46.8974359 12.1025641] ; [46.1025641 11.8974359],0
v1,1,0.0382,4.296105,[17 41] ; [27 29],[22.38596491 35.61403509] ; [21.61403509 34.38596491],0
a6,1,0.04284,4.101695,[24 35] ; [35 24],[29.5 29.5] ; [29.5 29.5],0
v4,1,0.044783,4.026799,[44 14] ; [53  6],[48.08547009  9.91452991] ; [48.91452991 10.08547009],0
d2,1,0.058629,3.575758,[15 44] ; [ 7 52],[11. 48.] ; [11. 48.],0
s2,1,0.072988,3.214506,[14 44] ; [23 35],[18.5 39.5] ; [18.5 39.5],0
v3,1,0.082685,3.011319,[12 45] ; [21 38],[16.21551724 40.78448276] ; [16.78448276 42.21551724],0
u3,1,0.087923,2.911993,[11 23] ; [17 15],[14.42424242 19.57575758] ; [13.57575758 18.42424242],0
p6,1,0.099857,2.707821,[ 7 50] ; [14 44],[10.40869565 46.59130435] ; [10.59130435 47.40869565],0
p9,1,0.102159,2.671506,[33 24] ; [42 16],[37.17391304 19.82608696] ; [37.82608696 20.17391304],0
p7,1,0.118211,2.440861,[19 40] ; [26 30],[23.08695652 35.91304348] ; [21.91304348 34.08695652],0
n2,1,0.135662,2.226486,[17  7] ; [17  2],[18.97674419  5.02325581] ; [15.02325581  3.97674419],0
b1,1,0.137969,2.200466,[30 29] ; [22 37],[26. 33.] ; [26. 33.],0
r2,1,0.156125,2.011364,[45 14] ; [51  8],[48. 11.] ; [48. 11.],0
p1,1,0.18611,1.748148,[ 7 52] ; [ 3 56],[ 5. 54.] ; [ 5. 54.],0
p2,1,0.190967,1.710145,[31 28] ; [38 21],[34.5 24.5] ; [34.5 24.5],0
s3,1,0.226692,1.4615,[23 35] ; [29 28],[26.22608696 31.77391304] ; [25.77391304 31.22608696],0
p11,1,0.237165,1.397368,[37 22] ; [43 16],[40. 19.] ; [40. 19.],0
a1,1,0.242363,1.366795,[ 5 54] ; [ 2 57],[ 3.5 55.5] ; [ 3.5 55.5],0
a5,1,0.257415,1.282609,[20 39] ; [26 33],[23. 36.] ; [23. 36.],0
b5,1,0.269225,1.22069,[26 33] ; [32 27],[29. 30.] ; [29. 30.],0
u2,1,0.284666,1.144679,[12 22] ; [15 16],[14.12307692 19.87692308] ; [12.87692308 18.12307692],0
p5,1,0.308967,1.035088,[ 1 58] ; [ 3 56],[ 2. 57.] ; [ 2. 57.],0
s7,1,0.371137,0.799855,[14 43] ; [18 38],[16.14159292 40.85840708] ; [15.85840708 40.14159292],0
n6,1,0.393203,0.729015,[37 21] ; [42 17],[39.16239316 18.83760684] ; [39.83760684 19.16239316],0
b3,1,0.401791,0.702959,[17 22] ; [ 9 18],[15.36363636 23.63636364] ; [10.63636364 16.36363636],0
b2,1,0.401791,0.702959,[17 22] ; [ 9 18],[15.36363636 23.63636364] ; [10.63636364 16.36363636],0
b4,1,0.460871,0.543779,[33 26] ; [29 30],[31. 28.] ; [31. 28.],0
n3,1,0.536249,0.382536,[13  9] ; [13  6],[13.95121951  8.04878049] ; [12.04878049  6.95121951],0
n1,1,0.554536,0.349253,[ 8 16] ; [ 8 11],[ 8.93023256 15.06976744] ; [ 7.06976744 11.93023256],0
a2,1,0.55866,0.342029,[ 1 58] ; [ 2 57],[ 1.5 57.5] ; [ 1.5 57.5],0
n5,1,0.561917,0.336395,[40 19] ; [37 22],[38.5 20.5] ; [38.5 20.5],0
n4,1,0.569639,0.323288,[35 24] ; [38 21],[36.5 22.5] ; [36.5 22.5],0
a8,1,0.607539,0.263774,[ 5 50] ; [ 7 51],[ 5.84070796 49.15929204] ; [ 6.15929204 51.84070796],0
s5,1,0.612264,0.256892,[11 47] ; [13 44],[12.10434783 45.89565217] ; [11.89565217 45.10434783],0
p3,1,0.636397,0.223485,[12 47] ; [10 49],[11. 48.] ; [11. 48.],0
a3,1,0.645906,0.211101,[25 33] ; [27 30],[26.22608696 31.77391304] ; [25.77391304 31.22608696],0
s1,1,0.696602,0.152031,[ 3 55] ; [ 4 54],[ 3.5 54.5] ; [ 3.5 54.5],0
s4,1,0.816236,0.054005,[11 48] ; [12 47],[11.5 47.5] ; [11.5 47.5],0
a4,1,0.822576,0.05028,[ 9 50] ; [ 8 50],[ 8.57264957 50.42735043] ; [ 8.42735043 49.57264957],0
p8,1,0.950853,0.003799,[18 41] ; [18 40],[18.15384615 40.84615385] ; [17.84615385 40.15384615],0
s8,1,0.964513,0.001979,[11 48] ; [11 47],[11.09401709 47.90598291] ; [10.90598291 47.09401709],0
u1,1,1.0,0.0,[ 2 57] ; [ 2 57],[ 2. 57.] ; [ 2. 57.],0
d1,1,1.0,0.0,[ 2 57] ; [ 2 57],[ 2. 57.] ; [ 2. 57.],0
