Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.029748,4.723783,[17  5] ; [33 32],[12.64367816  9.35632184] ; [37.35632184 27.64367816],0
r3,1,0.115263,2.480541,[ 7 14] ; [34 30],[10.12941176 10.87058824] ; [30.87058824 33.12941176],0
p9,1,0.119189,2.427947,[ 8 14] ; [34 27],[11.13253012 10.86746988] ; [30.86746988 30.13253012],0
p11,1,0.123162,2.376643,[ 7 15] ; [33 32],[10.11494253 11.88505747] ; [29.88505747 35.11494253],0
s4,1,0.145594,2.117811,[ 1 21] ; [11 54],[ 3.03448276 18.96551724] ; [ 8.96551724 56.03448276],0
a3,1,0.163717,1.939554,[14  7] ; [32 33],[11.23255814  9.76744186] ; [34.76744186 30.23255814],0
d2,1,0.164796,1.929661,[ 5 16] ; [26 38],[ 7.65882353 13.34117647] ; [23.34117647 40.65882353],0
s2,1,0.237119,1.397641,[ 1 21] ; [ 9 56],[ 2.52873563 19.47126437] ; [ 7.47126437 57.52873563],0
d4,1,0.237217,1.397056,[15  6] ; [37 28],[12.69767442  8.30232558] ; [39.30232558 25.69767442],0
a2,1,0.255215,1.294531,[ 4 18] ; [ 6 59],[ 2.52873563 19.47126437] ; [ 7.47126437 57.52873563],0
p10,1,0.261459,1.261014,[13  9] ; [28 34],[10.73809524 11.26190476] ; [30.26190476 31.73809524],0
p7,1,0.273993,1.196644,[ 4 16] ; [21 43],[ 5.95238095 14.04761905] ; [19.04761905 44.95238095],0
d5,1,0.292143,1.109718,[15  7] ; [36 29],[12.89655172  9.10344828] ; [38.10344828 26.89655172],0
p2,1,0.312951,1.018182,[13  8] ; [31 32],[11. 10.] ; [33. 30.],0
a6,1,0.423562,0.640412,[ 8 14] ; [30 35],[ 9.6091954 12.3908046] ; [28.3908046 36.6091954],0
a5,1,0.423722,0.63997,[13  9] ; [32 33],[11.37931034 10.62068966] ; [33.62068966 31.37931034],0
p12,1,0.430663,0.621034,[ 1 21] ; [ 1 62],[ 0.51764706 21.48235294] ; [ 1.48235294 61.51764706],0
u1,1,0.435618,0.607798,[ 2 20] ; [ 3 62],[ 1.26436782 20.73563218] ; [ 3.73563218 61.26436782],0
s1,1,0.435618,0.607798,[ 2 20] ; [ 3 62],[ 1.26436782 20.73563218] ; [ 3.73563218 61.26436782],0
s7,1,0.448343,0.574839,[ 5 16] ; [10 51],[ 3.84146341 17.15853659] ; [11.15853659 49.84146341],0
a4,1,0.467934,0.52685,[ 8 14] ; [18 46],[ 6.65116279 15.34883721] ; [19.34883721 44.65116279],0
n6,1,0.472341,0.516493,[14  7] ; [37 27],[12.6  8.4] ; [38.4 25.6],0
n5,1,0.491842,0.472494,[13  9] ; [43 21],[14.3255814  7.6744186] ; [41.6744186 22.3255814],0
n3,1,0.517413,0.419048,[6 8] ; [16 14],[7. 7.] ; [15. 15.],0
b2,1,0.524574,0.404892,[ 4 10] ; [13 21],[4.95833333 9.04166667] ; [12.04166667 21.95833333],0
b3,1,0.524574,0.404892,[ 4 10] ; [13 21],[4.95833333 9.04166667] ; [12.04166667 21.95833333],0
p8,1,0.530086,0.394226,[ 5 17] ; [19 45],[ 6.13953488 15.86046512] ; [17.86046512 46.13953488],0
n1,1,0.540089,0.375375,[5 9] ; [ 8 22],[4.13636364 9.86363636] ; [ 8.86363636 21.13636364],0
a1,1,0.557544,0.343975,[ 3 19] ; [ 6 59],[ 2.27586207 19.72413793] ; [ 6.72413793 58.27586207],0
s5,1,0.557544,0.343975,[ 3 19] ; [ 6 59],[ 2.27586207 19.72413793] ; [ 6.72413793 58.27586207],0
s8,1,0.557544,0.343975,[ 3 19] ; [ 6 59],[ 2.27586207 19.72413793] ; [ 6.72413793 58.27586207],0
r2,1,0.566691,0.328251,[10 11] ; [34 28],[11.13253012  9.86746988] ; [32.86746988 29.13253012],0
v3,1,0.580588,0.305285,[ 6 16] ; [14 51],[ 5.05747126 16.94252874] ; [14.94252874 50.05747126],0
p5,1,0.598186,0.277741,[ 2 19] ; [ 4 61],[ 1.46511628 19.53488372] ; [ 4.53488372 60.46511628],0
u3,1,0.604773,0.267857,[3 5] ; [ 9 23],[2.4 5.6] ; [ 9.6 22.4],0
p4,1,0.657713,0.196314,[ 8 13] ; [21 43],[ 7.16470588 13.83529412] ; [21.83529412 42.16470588],0
v4,1,0.668763,0.183052,[14  8] ; [38 27],[13.14942529  8.85057471] ; [38.85057471 26.14942529],0
a7,1,0.708635,0.139644,[11 10] ; [31 34],[10.25581395 10.74418605] ; [31.74418605 33.25581395],0
u2,1,0.73568,0.11396,[3 5] ; [10 22],[2.6 5.4] ; [10.4 21.6],0
n4,1,0.748105,0.103131,[12 10] ; [38 27],[12.64367816  9.35632184] ; [37.35632184 27.64367816],0
b5,1,0.754752,0.097581,[11 11] ; [35 30],[11.63218391 10.36781609] ; [34.36781609 30.63218391],0
d3,1,0.800141,0.064092,[11 11] ; [30 34],[10.48837209 11.51162791] ; [30.51162791 33.48837209],0
n2,1,0.813142,0.055873,[8 6] ; [16 14],[7.63636364 6.36363636] ; [16.36363636 13.63636364],0
p6,1,0.824344,0.049267,[ 4 18] ; [10 52],[ 3.66666667 18.33333333] ; [10.33333333 51.66666667],0
p3,1,0.853509,0.034093,[ 5 16] ; [14 50],[ 4.69411765 16.30588235] ; [14.30588235 49.69411765],0
s6,1,0.858028,0.032,[ 5 17] ; [16 49],[ 5.31034483 16.68965517] ; [15.68965517 49.31034483],0
v2,1,0.902953,0.014867,[ 8 14] ; [22 41],[ 7.76470588 14.23529412] ; [22.23529412 40.76470588],0
a8,1,0.929156,0.007904,[ 1 18] ; [ 3 60],[ 0.92682927 18.07317073] ; [ 3.07317073 59.92682927],0
d1,1,0.933948,0.006869,[ 8 14] ; [23 42],[ 7.83908046 14.16091954] ; [23.16091954 41.83908046],0
b1,1,0.945459,0.00468,[12 10] ; [36 29],[12.13793103  9.86206897] ; [35.86206897 29.13793103],0
p1,1,0.984344,0.000385,[ 2 20] ; [ 6 59],[ 2.02298851 19.97701149] ; [ 5.97701149 59.02298851],0
v1,1,0.995007,3.9e-05,[ 7 15] ; [20 43],[ 6.98823529 15.01176471] ; [20.01176471 42.98823529],0
