Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2.4e-05,17.829029,[36  4] ; [1 5],[32.17391304  7.82608696] ; [4.82608696 1.17391304],1
p2,1,0.000144,14.447702,[38  1] ; [3 3],[35.53333333  3.46666667] ; [5.46666667 0.53333333],1
s6,1,0.005604,7.673514,[33  4] ; [2 3],[30.83333333  6.16666667] ; [4.16666667 0.83333333],0
n6,1,0.029245,4.753125,[37  3] ; [3 2],[35.55555556  4.44444444] ; [4.44444444 0.55555556],0
p6,1,0.044951,4.020468,[23 15] ; [1 5],[20.72727273 17.27272727] ; [3.27272727 2.72727273],0
v4,1,0.057989,3.593984,[37  3] ; [4 2],[35.65217391  4.34782609] ; [5.34782609 0.65217391],0
p4,1,0.071897,3.239167,[33  7] ; [3 3],[31.30434783  8.69565217] ; [4.69565217 1.30434783],0
p9,1,0.073416,3.204942,[39  1] ; [4 1],[38.22222222  1.77777778] ; [4.77777778 0.22222222],0
p10,1,0.121611,2.39645,[35  4] ; [4 2],[33.8  5.2] ; [5.2 0.8],0
b1,1,0.138319,2.196561,[14 26] ; [4 2],[15.65217391 24.34782609] ; [2.34782609 3.65217391],0
s3,1,0.138319,2.196561,[26 14] ; [2 4],[24.34782609 15.65217391] ; [3.65217391 2.34782609],0
p3,1,0.152574,2.046324,[31  9] ; [3 3],[29.56521739 10.43478261] ; [4.43478261 1.56521739],0
b3,1,0.189854,1.718751,[14 13] ; [1 4],[12.65625 14.34375] ; [2.34375 2.65625],0
b2,1,0.189854,1.718751,[14 13] ; [1 4],[12.65625 14.34375] ; [2.34375 2.65625],0
n1,1,0.197703,1.659259,[4 5] ; [4 1],[5.14285714 3.85714286] ; [2.85714286 2.14285714],0
s7,1,0.210021,1.571278,[26 12] ; [2 3],[24.74418605 13.25581395] ; [3.25581395 1.74418605],0
a3,1,0.264022,1.247545,[29 11] ; [3 3],[27.82608696 12.17391304] ; [4.17391304 1.82608696],0
b4,1,0.269517,1.219202,[24 16] ; [5 1],[25.2173913 14.7826087] ; [3.7826087 2.2173913],0
s5,1,0.312951,1.018182,[20 16] ; [2 4],[18.85714286 17.14285714] ; [3.14285714 2.85714286],0
v2,1,0.317731,0.998264,[15 25] ; [1 5],[13.91304348 26.08695652] ; [2.08695652 3.91304348],0
a4,1,0.329801,0.949677,[12 28] ; [3 3],[13.04347826 26.95652174] ; [1.95652174 4.04347826],0
u3,1,0.347153,0.883838,[7 4] ; [1 2],[6.28571429 4.71428571] ; [1.71428571 1.28571429],0
n2,1,0.360387,0.836543,[5 4] ; [4 1],[5.78571429 3.21428571] ; [3.21428571 1.78571429],0
d4,1,0.361946,0.831131,[33  7] ; [4 2],[32.17391304  7.82608696] ; [4.82608696 1.17391304],0
v1,1,0.379621,0.77193,[20 18] ; [2 4],[19. 19.] ; [3. 3.],0
a5,1,0.431872,0.617783,[27 13] ; [5 1],[27.82608696 12.17391304] ; [4.17391304 1.82608696],0
b5,1,0.445996,0.580808,[20 20] ; [4 2],[20.86956522 19.13043478] ; [3.13043478 2.86956522],0
p7,1,0.497305,0.460684,[29 10] ; [3 2],[28.36363636 10.63636364] ; [3.63636364 1.36363636],0
u2,1,0.514828,0.424242,[6 5] ; [1 2],[5.5 5.5] ; [1.5 1.5],0
d2,1,0.515925,0.422032,[21 19] ; [4 2],[21.73913043 18.26086957] ; [3.26086957 2.73913043],0
d5,1,0.573074,0.317565,[29 11] ; [5 1],[29.56521739 10.43478261] ; [4.43478261 1.56521739],0
d1,1,0.590879,0.288974,[22 18] ; [4 2],[22.60869565 17.39130435] ; [3.39130435 2.60869565],0
s8,1,0.598071,0.277915,[21 19] ; [2 3],[20.44444444 19.55555556] ; [2.55555556 2.44444444],0
s1,1,0.624676,0.23935,[ 4 36] ; [1 5],[ 4.34782609 35.65217391] ; [0.65217391 5.34782609],0
r2,1,0.641838,0.216346,[35  4] ; [5 1],[34.66666667  4.33333333] ; [5.33333333 0.66666667],0
p8,1,0.648834,0.207373,[28 12] ; [3 2],[27.55555556 12.44444444] ; [3.44444444 1.55555556],0
p1,1,0.655421,0.199134,[10 30] ; [1 5],[ 9.56521739 30.43478261] ; [1.43478261 4.56521739],0
n4,1,0.777486,0.079861,[35  5] ; [5 1],[34.7826087  5.2173913] ; [5.2173913 0.7826087],0
n3,1,0.803017,0.062222,[6 3] ; [3 2],[5.78571429 3.21428571] ; [3.21428571 1.78571429],0
a2,1,0.847798,0.036837,[ 8 32] ; [1 5],[ 7.82608696 32.17391304] ; [1.17391304 4.82608696],0
p11,1,0.847798,0.036837,[32  8] ; [5 1],[32.17391304  7.82608696] ; [4.82608696 1.17391304],0
r1,1,0.868573,0.027381,[28 12] ; [4 2],[27.82608696 12.17391304] ; [4.17391304 1.82608696],0
a7,1,0.868573,0.027381,[28 12] ; [4 2],[27.82608696 12.17391304] ; [4.17391304 1.82608696],0
a6,1,0.936293,0.006389,[26 14] ; [4 2],[26.08695652 13.91304348] ; [3.91304348 2.08695652],0
d3,1,0.967611,0.001649,[27 13] ; [4 2],[26.95652174 13.04347826] ; [4.04347826 1.95652174],0
