Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,111.494818,[569   8] ; [33 15],[555.7664  21.2336] ; [46.2336  1.7664],1
r2,1,0.0,110.483873,[559  16] ; [30 19],[542.74839744  32.25160256] ; [46.25160256  2.74839744],1
r1,1,0.0,89.84175,[490  86] ; [16 36],[464.10191083 111.89808917] ; [41.89808917 10.10191083],1
r3,1,0.0,81.458116,[571   7] ; [38 12],[560.51273885  17.48726115] ; [48.48726115  1.51273885],1
s6,1,0.0012,10.489859,[402 165] ; [25 26],[391.76213592 175.23786408] ; [35.23786408 15.76213592],0
n6,1,0.002025,9.526979,[515  61] ; [39 13],[508.12738854  67.87261146] ; [45.87261146  6.12738854],0
d1,1,0.002348,9.255552,[358 220] ; [22 32],[347.53164557 230.46835443] ; [32.46835443 21.53164557],0
a7,1,0.002431,9.191475,[431 146] ; [30 24],[421.54833597 155.45166403] ; [39.45166403 14.54833597],0
a6,1,0.002592,9.074462,[412 164] ; [28 26],[402.28571429 173.71428571] ; [37.71428571 16.28571429],0
n4,1,0.002598,9.070395,[473 105] ; [35 19],[464.59493671 113.40506329] ; [43.40506329 10.59493671],0
d3,1,0.003402,8.578504,[410 167] ; [28 26],[400.51664025 176.48335975] ; [37.48335975 16.51664025],0
v3,1,0.00367,8.440112,[239 314] ; [12 41],[229.04785479 323.95214521] ; [21.95214521 31.04785479],0
v1,1,0.007196,7.223376,[328 231] ; [20 31],[318.90491803 240.09508197] ; [29.09508197 21.90491803],0
d4,1,0.009649,6.698532,[485  91] ; [38 16],[478.17142857  97.82857143] ; [44.82857143  9.17142857],0
a5,1,0.014817,5.938053,[449 129] ; [34 20],[441.73101266 136.26898734] ; [41.26898734 12.73101266],0
p3,1,0.015281,5.883798,[323 253] ; [21 33],[314.51428571 261.48571429] ; [29.48571429 24.51428571],0
a3,1,0.018353,5.562091,[428 149] ; [32 22],[420.63391442 156.36608558] ; [39.36608558 14.63391442],0
s5,1,0.027773,4.842111,[203 355] ; [11 41],[195.75737705 362.24262295] ; [18.24262295 33.75737705],0
v2,1,0.046327,3.969655,[332 218] ; [24 28],[325.24916944 224.75083056] ; [30.75083056 21.24916944],0
d5,1,0.053249,3.736087,[477  99] ; [39 15],[471.77142857 104.22857143] ; [44.22857143  9.77142857],0
n3,1,0.056992,3.622817,[74 22] ; [10  8],[70.73684211 25.26315789] ; [13.26315789  4.73684211],0
p8,1,0.058242,3.586759,[345 225] ; [25 28],[338.52327448 231.47672552] ; [31.47672552 21.52327448],0
p7,1,0.066877,3.358045,[394 169] ; [30 22],[388.1495935 174.8504065] ; [35.8504065 16.1495935],0
p4,1,0.076815,3.131034,[378 197] ; [29 25],[372.05882353 202.94117647] ; [34.94117647 19.05882353],0
s8,1,0.085439,2.958267,[277 298] ; [19 34],[271.01910828 303.98089172] ; [24.98089172 28.01910828],0
s3,1,0.110658,2.544792,[335 236] ; [23 26],[329.70645161 241.29354839] ; [28.29354839 20.70645161],0
p12,1,0.11368,2.502301,[ 61 515] ; [ 2 51],[ 57.69157393 518.30842607] ; [ 5.30842607 47.69157393],0
a2,1,0.118526,2.436691,[140 438] ; [ 8 46],[135.35443038 442.64556962] ; [12.64556962 41.35443038],0
s2,1,0.125009,2.353409,[306 267] ; [22 30],[300.7104 272.2896] ; [27.2896 24.7104],0
p6,1,0.12678,2.331491,[222 348] ; [15 38],[216.83788122 353.16211878] ; [20.16211878 32.83788122],0
d2,1,0.134964,2.234453,[274 301] ; [20 34],[268.75993641 306.24006359] ; [25.24006359 28.75993641],0
n1,1,0.168632,1.895065,[34 61] ; [10  9],[36.66666667 58.33333333] ; [ 7.33333333 11.66666667],0
a8,1,0.188032,1.732971,[ 77 453] ; [ 4 47],[ 73.88984509 456.11015491] ; [ 7.11015491 43.88984509],0
n5,1,0.288837,1.125036,[467 109] ; [39 13],[464.10191083 111.89808917] ; [41.89808917 10.10191083],0
b5,1,0.308384,1.037584,[341 237] ; [28 26],[337.47151899 240.52848101] ; [31.52848101 22.47151899],0
p2,1,0.310092,1.030285,[506  70] ; [44  9],[503.65659777  72.34340223] ; [46.34340223  6.65659777],0
