Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a1,1,0.001387,10.223399,[1 2] ; [ 2 99],[0.08653846 2.91346154] ; [ 2.91346154 98.08653846],0
s5,1,0.038655,4.275981,[2 1] ; [18 80],[0.59405941 2.40594059] ; [19.40594059 78.59405941],0
p1,1,0.093131,2.819399,[1 2] ; [ 7 93],[0.23300971 2.76699029] ; [ 7.76699029 92.23300971],0
s8,1,0.118774,2.433416,[2 1] ; [26 74],[0.81553398 2.18446602] ; [27.18446602 72.81553398],0
a8,1,0.126874,2.330338,[1 2] ; [ 7 81],[0.26373626 2.73626374] ; [ 7.73626374 80.26373626],0
v3,1,0.150584,2.06633,[2 1] ; [28 71],[0.88235294 2.11764706] ; [29.11764706 69.88235294],0
a4,1,0.208343,1.582904,[2 1] ; [32 68],[0.99029126 2.00970874] ; [33.00970874 66.99029126],0
a6,1,0.253713,1.30274,[1 2] ; [66 35],[1.93269231 1.06730769] ; [65.06730769 35.93269231],0
p3,1,0.259979,1.268871,[2 1] ; [35 65],[1.0776699 1.9223301] ; [35.9223301 64.0776699],0
b5,1,0.327169,0.960073,[1 2] ; [62 39],[1.81730769 1.18269231] ; [61.18269231 39.81730769],0
u1,1,0.344131,0.89498,[1 2] ; [14 87],[0.43269231 2.56730769] ; [14.56730769 86.43269231],0
p11,1,0.346484,0.886293,[1 2] ; [61 40],[1.78846154 1.21153846] ; [60.21153846 40.78846154],0
v1,1,0.346484,0.886293,[2 1] ; [40 61],[1.21153846 1.78846154] ; [40.78846154 60.21153846],0
v2,1,0.412639,0.671186,[2 1] ; [42 56],[1.30693069 1.69306931] ; [42.69306931 55.30693069],0
b1,1,0.469555,0.523024,[1 2] ; [55 46],[1.61538462 1.38461538] ; [54.38461538 46.61538462],0
d1,1,0.491196,0.473905,[2 1] ; [47 54],[1.41346154 1.58653846] ; [47.58653846 53.41346154],0
d2,1,0.640097,0.218615,[1 2] ; [47 53],[1.39805825 1.60194175] ; [46.60194175 53.39805825],0
b2,1,0.665947,0.18638,[1 2] ; [14 48],[0.69230769 2.30769231] ; [14.30769231 47.69230769],0
b3,1,0.665947,0.18638,[1 2] ; [14 48],[0.69230769 2.30769231] ; [14.30769231 47.69230769],0
a3,1,0.699764,0.148718,[2 1] ; [56 45],[1.67307692 1.32692308] ; [56.32692308 44.67307692],0
d5,1,0.735177,0.114411,[2 1] ; [76 25],[2.25 0.75] ; [75.75 25.25],0
p10,1,0.901295,0.015382,[1 2] ; [30 70],[0.90291262 2.09708738] ; [30.09708738 69.90291262],0
d4,1,0.910488,0.012639,[2 1] ; [69 30],[2.08823529 0.91176471] ; [68.91176471 30.08823529],0
a7,1,0.961106,0.002378,[2 1] ; [68 32],[2.03883495 0.96116505] ; [67.96116505 32.03883495],0
