Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.0,99.60482,[595 100] ; [12 33],[570.08783784 124.91216216] ; [36.91216216  8.08783784],1
r3,1,0.0,99.445613,[682  15] ; [29 14],[669.68513514  27.31486486] ; [41.31486486  1.68513514],1
v4,1,0.0,32.055522,[685  13] ; [36  7],[679.16059379  18.83940621] ; [41.83940621  1.16059379],1
s6,1,2.8e-05,17.525637,[482 197] ; [18 26],[469.57123098 209.42876902] ; [30.42876902 13.57123098],1
p7,1,2.8e-05,17.515762,[452 229] ; [15 28],[439.26381215 241.73618785] ; [27.73618785 15.26381215],1
a7,1,9.3e-05,15.272845,[519 176] ; [21 23],[507.84844384 187.15155616] ; [32.15155616 11.84844384],1
p9,1,0.000122,14.766724,[596  90] ; [29 15],[587.32876712  98.67123288] ; [37.67123288  6.32876712],1
n4,1,0.000248,13.427678,[572 124] ; [27 18],[562.62348178 133.37651822] ; [36.37651822  8.62348178],1
s8,1,0.000539,11.975678,[327 365] ; [ 9 35],[315.91304348 376.08695652] ; [20.08695652 23.91304348],1
p10,1,0.001352,10.270341,[582 107] ; [29 15],[574.32332879 114.67667121] ; [36.67667121  7.32332879],0
p8,1,0.001881,9.661842,[376 308] ; [14 31],[365.92592593 318.07407407] ; [24.07407407 20.92592593],0
v1,1,0.003916,8.322551,[383 299] ; [14 28],[373.96961326 308.03038674] ; [23.03038674 18.96961326],0
p4,1,0.003919,8.320912,[427 265] ; [18 27],[417.82903664 274.17096336] ; [27.17096336 17.82903664],0
p11,1,0.005092,7.846343,[569 129] ; [29 16],[561.78196501 136.21803499] ; [36.21803499  8.78196501],0
s2,1,0.012545,6.232116,[369 321] ; [15 29],[360.98092643 329.01907357] ; [23.01907357 20.98092643],0
a6,1,0.015606,5.846788,[477 219] ; [23 22],[469.63562753 226.36437247] ; [30.36437247 14.63562753],0
a5,1,0.023991,5.095303,[524 173] ; [27 18],[517.58355795 179.41644205] ; [33.41644205 11.58355795],0
n2,1,0.027496,4.859374,[106  32] ; [12 10],[101.775  36.225] ; [16.225  5.775],0
s5,1,0.032672,4.562872,[248 421] ; [ 9 34],[241.47893258 427.52106742] ; [15.52106742 27.47893258],0
p2,1,0.036097,4.392531,[585 109] ; [31 12],[580.05970149 113.94029851] ; [35.94029851  7.05970149],0
d3,1,0.042543,4.113453,[487 209] ; [25 20],[480.90688259 215.09311741] ; [31.09311741 13.90688259],0
p3,1,0.043038,4.093897,[362 333] ; [16 28],[355.49391069 339.50608931] ; [22.50608931 21.49391069],0
s3,1,0.043608,4.071665,[395 291] ; [18 25],[388.63923182 297.36076818] ; [24.36076818 18.63923182],0
