Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,55.925428,[51 93] ; [105  26],[81.68727273 62.31272727] ; [74.31272727 56.68727273],1
p6,1,0.0,37.984621,[ 25 120] ; [70 64],[49.37275986 95.62724014] ; [45.62724014 88.37275986],1
p4,1,0.0,33.99859,[58 87] ; [100  34],[82.11469534 62.88530466] ; [75.88530466 58.11469534],1
p3,1,0.0,27.412018,[ 43 102] ; [81 52],[64.67625899 80.32374101] ; [59.32374101 73.67625899],1
p2,1,0.0,26.206354,[96 48] ; [123  11],[113.43884892  30.56115108] ; [105.56115108  28.43884892],1
p10,1,2e-06,23.030233,[90 53] ; [117  16],[107.25  35.75] ; [99.75 33.25],1
p5,1,5.7e-05,16.216003,[  7 137] ; [ 28 106],[ 18.1294964 125.8705036] ; [ 16.8705036 117.1294964],1
a3,1,0.000138,14.52437,[126  19] ; [91 43],[112.77777778  32.22222222] ; [104.22222222  29.77777778],1
p11,1,0.000146,14.420546,[94 52] ; [113  21],[107.93571429  38.06428571] ; [99.06428571 34.93571429],1
s6,1,0.000172,14.120045,[78 66] ; [98 31],[92.83516484 51.16483516] ; [83.16483516 45.83516484],1
p9,1,0.000876,11.072942,[102  42] ; [116  17],[113.32851986  30.67148014] ; [104.67148014  28.32851986],1
n6,1,0.001255,10.406994,[108  37] ; [119  14],[118.39928058  26.60071942] ; [108.60071942  24.39928058],0
s8,1,0.002814,8.924162,[48 97] ; [68 66],[60.28673835 84.71326165] ; [55.71326165 78.28673835],0
r3,1,0.003584,8.483413,[120  25] ; [126   8],[127.84946237  17.15053763] ; [118.15053763  15.84946237],0
r4,1,0.00442,8.102697,[115  31] ; [122  12],[123.57857143  22.42142857] ; [113.42142857  20.57857143],0
a4,1,0.009632,6.701779,[91 53] ; [64 70],[80.28776978 63.71223022] ; [74.71223022 59.28776978],0
v1,1,0.011536,6.380801,[48 94] ; [64 67],[58.25641026 83.74358974] ; [53.74358974 77.25641026],0
v4,1,0.018178,5.578902,[127  18] ; [128   6],[132.52688172  12.47311828] ; [122.47311828  11.52688172],0
a7,1,0.022825,5.181802,[88 58] ; [98 36],[96.98571429 49.01428571] ; [89.01428571 44.98571429],0
s5,1,0.053504,3.728109,[ 38 104] ; [49 81],[45.41911765 96.58088235] ; [41.58088235 88.41911765],0
a2,1,0.053682,3.722552,[49 97] ; [ 31 103],[ 41.71428571 104.28571429] ; [38.28571429 95.71428571],0
r1,1,0.068064,3.329114,[103  42] ; [107  26],[109.5323741  35.4676259] ; [100.4676259  32.5323741],0
s7,1,0.079885,3.067235,[55 81] ; [66 63],[62.09811321 73.90188679] ; [58.90188679 70.09811321],0
p12,1,0.081753,3.029707,[  5 140] ; [ 11 121],[  8.37545126 136.62454874] ; [  7.62454874 124.37545126],0
d4,1,0.133145,2.255448,[113  32] ; [113  20],[117.87769784  27.12230216] ; [108.12230216  24.87769784],0
d1,1,0.134362,2.241364,[82 64] ; [87 47],[88.12142857 57.87857143] ; [80.87857143 53.12142857],0
d3,1,0.1447,2.127249,[92 53] ; [96 38],[97.70609319 47.29390681] ; [90.29390681 43.70609319],0
b2,1,0.149341,2.078973,[42 51] ; [29 55],[37.30508475 55.69491525] ; [33.69491525 50.30508475],0
b3,1,0.149341,2.078973,[42 51] ; [29 55],[37.30508475 55.69491525] ; [33.69491525 50.30508475],0
s2,1,0.189016,1.725271,[60 85] ; [65 67],[65.433213 79.566787] ; [59.566787 72.433213],0
u1,1,0.21977,1.505871,[ 30 116] ; [ 20 114],[ 26.07142857 119.92857143] ; [ 23.92857143 110.07142857],0
a6,1,0.223895,1.47923,[106  39] ; [89 45],[101.34408602  43.65591398] ; [93.65591398 40.34408602],0
n5,1,0.227032,1.459361,[105  41] ; [104  29],[109.36917563  36.63082437] ; [99.63082437 33.36917563],0
a1,1,0.284658,1.144717,[ 11 135] ; [  6 128],[  8.86428571 137.13571429] ; [  8.13571429 125.86428571],0
u3,1,0.374535,0.788563,[10 10] ; [26 16],[11.61290323  8.38709677] ; [24.38709677 17.61290323],0
b5,1,0.387931,0.745417,[87 59] ; [73 61],[83.42857143 62.57142857] ; [76.57142857 57.42857143],0
b4,1,0.449732,0.571327,[85 61] ; [72 62],[81.86428571 64.13571429] ; [75.13571429 58.86428571],0
d2,1,0.470175,0.521564,[83 60] ; [72 62],[80.01805054 62.98194946] ; [74.98194946 59.01805054],0
s4,1,0.503689,0.447154,[ 28 116] ; [ 30 102],[ 30.26086957 113.73913043] ; [ 27.73913043 104.26086957],0
n2,1,0.504421,0.445623,[40 18] ; [16 10],[38.66666667 19.33333333] ; [17.33333333  8.66666667],0
p1,1,0.532961,0.388743,[ 12 133] ; [ 14 120],[ 13.5125448 131.4874552] ; [ 12.4874552 121.5125448],0
d5,1,0.548184,0.360581,[117  28] ; [111  22],[118.92086331  26.07913669] ; [109.07913669  23.92086331],0
