Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p12,1,4.8e-05,16.511494,[5 5] ; [ 3 55],[1.17647059 8.82352941] ; [ 6.82352941 51.17647059],1
d2,1,0.03008,4.704729,[9 1] ; [31 27],[5.88235294 4.11764706] ; [34.11764706 23.88235294],0
s1,1,0.039934,4.22069,[2 8] ; [ 2 56],[0.58823529 9.41176471] ; [ 3.41176471 54.58823529],0
p1,1,0.044675,4.03087,[4 6] ; [ 8 50],[1.76470588 8.23529412] ; [10.23529412 47.76470588],0
d3,1,0.048256,3.901031,[6 4] ; [49  8],[8.20895522 1.79104478] ; [46.79104478 10.20895522],0
v3,1,0.079789,3.069196,[5 5] ; [13 43],[2.72727273 7.27272727] ; [15.27272727 40.72727273],0
a3,1,0.101831,2.676625,[9 1] ; [37 21],[6.76470588 3.23529412] ; [39.23529412 18.76470588],0
n4,1,0.101831,2.676625,[9 1] ; [37 21],[6.76470588 3.23529412] ; [39.23529412 18.76470588],0
b5,1,0.125147,2.351699,[4 6] ; [38 20],[6.17647059 3.82352941] ; [35.82352941 22.17647059],0
n5,1,0.144636,2.127931,[9 1] ; [39 19],[7.05882353 2.94117647] ; [40.94117647 17.05882353],0
v1,1,0.154818,2.024122,[7 3] ; [26 31],[4.92537313 5.07462687] ; [28.07462687 28.92537313],0
s8,1,0.167888,1.901704,[8 2] ; [33 25],[6.02941176 3.97058824] ; [34.97058824 23.02941176],0
p3,1,0.170978,1.874351,[9 1] ; [40 18],[7.20588235 2.79411765] ; [41.79411765 16.20588235],0
n6,1,0.264341,1.245878,[9 1] ; [42 15],[7.6119403 2.3880597] ; [43.3880597 13.6119403],0
d4,1,0.274117,1.196027,[8 2] ; [53  5],[8.97058824 1.02941176] ; [52.02941176  5.97058824],0
p8,1,0.274784,1.192706,[9 1] ; [43 15],[7.64705882 2.35294118] ; [44.35294118 13.64705882],0
d5,1,0.279711,1.168493,[7 3] ; [48  9],[8.20895522 1.79104478] ; [46.79104478 10.20895522],0
s5,1,0.292881,1.106332,[6 1] ; [35 18],[4.78333333 2.21666667] ; [36.21666667 16.78333333],0
a8,1,0.317011,1.001237,[1 8] ; [ 2 54],[0.41538462 8.58461538] ; [ 2.58461538 53.41538462],0
a6,1,0.31709,1.000913,[8 2] ; [37 21],[6.61764706 3.38235294] ; [38.38235294 19.61764706],0
v2,1,0.370084,0.803384,[6 4] ; [25 31],[4.6969697 5.3030303] ; [26.3030303 29.6969697],0
b1,1,0.381245,0.766682,[3 7] ; [26 32],[4.26470588 5.73529412] ; [24.73529412 33.26470588],0
a2,1,0.615531,0.252199,[2 8] ; [16 42],[2.64705882 7.35294118] ; [15.35294118 42.64705882],0
d1,1,0.615531,0.252199,[8 2] ; [42 16],[7.35294118 2.64705882] ; [42.64705882 15.35294118],0
s2,1,0.692566,0.156322,[7 3] ; [44 14],[7.5 2.5] ; [43.5 14.5],0
a5,1,0.692566,0.156322,[8 2] ; [43 15],[7.5 2.5] ; [43.5 14.5],0
u1,1,0.692566,0.156322,[3 7] ; [14 44],[2.5 7.5] ; [14.5 43.5],0
p11,1,0.692566,0.156322,[8 2] ; [43 15],[7.5 2.5] ; [43.5 14.5],0
p2,1,0.743743,0.106864,[9 1] ; [50  8],[8.67647059 1.32352941] ; [50.32352941  7.67647059],0
a4,1,0.761657,0.091994,[5 5] ; [32 26],[5.44117647 4.55882353] ; [31.55882353 26.44117647],0
s7,1,0.833489,0.044196,[7 3] ; [41 15],[7.27272727 2.72727273] ; [40.72727273 15.27272727],0
b3,1,0.868355,0.027473,[3 5] ; [11 21],[2.8 5.2] ; [11.2 20.8],0
b2,1,0.868355,0.027473,[3 5] ; [11 21],[2.8 5.2] ; [11.2 20.8],0
b4,1,0.901046,0.01546,[6 4] ; [36 22],[6.17647059 3.82352941] ; [35.82352941 22.17647059],0
a7,1,0.920917,0.009856,[7 3] ; [39 18],[6.86567164 3.13432836] ; [39.13432836 17.86567164],0
s3,1,0.964742,0.001954,[7 3] ; [41 17],[7.05882353 2.94117647] ; [40.94117647 17.05882353],0
