Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,7e-06,20.31746,[ 2 10] ; [40  8],[8.4 3.6] ; [33.6 14.4],1
p11,1,0.00319,8.695231,[6 6] ; [43  6],[9.63934426 2.36065574] ; [39.36065574  9.63934426],0
p8,1,0.008327,6.961868,[7 5] ; [44  5],[10.03278689  1.96721311] ; [40.96721311  8.03278689],0
v2,1,0.027836,4.83817,[3 9] ; [29 19],[6.4 5.6] ; [25.6 22.4],0
p4,1,0.038152,4.298246,[10  2] ; [47  1],[11.4  0.6] ; [45.6  2.4],0
s7,1,0.046753,3.954248,[8 4] ; [43  5],[10.2  1.8] ; [40.8  7.2],0
s5,1,0.057879,3.597136,[5 6] ; [33 11],[7.6 3.4] ; [30.4 13.6],0
s1,1,0.100988,2.689869,[3 9] ; [ 4 45],[ 1.37704918 10.62295082] ; [ 5.62295082 43.37704918],0
r4,1,0.114454,2.491616,[10  2] ; [47  2],[11.21311475  0.78688525] ; [45.78688525  3.21311475],0
n4,1,0.114454,2.491616,[10  2] ; [47  2],[11.21311475  0.78688525] ; [45.78688525  3.21311475],0
n5,1,0.114454,2.491616,[10  2] ; [47  2],[11.21311475  0.78688525] ; [45.78688525  3.21311475],0
n3,1,0.121335,2.4,[2 3] ; [8 2],[3.33333333 1.66666667] ; [6.66666667 3.33333333],0
n2,1,0.170904,1.875,[3 2] ; [9 1],[4. 1.] ; [8. 2.],0
p10,1,0.183775,1.766827,[9 3] ; [43  5],[10.4  1.6] ; [41.6  6.4],0
u1,1,0.184088,1.764311,[4 8] ; [ 8 41],[2.36065574 9.63934426] ; [ 9.63934426 39.36065574],0
p12,1,0.184427,1.761581,[ 2 10] ; [18 31],[3.93442623 8.06557377] ; [16.06557377 32.93442623],0
d1,1,0.226819,1.460701,[10  2] ; [32 17],[8.26229508 3.73770492] ; [33.73770492 15.26229508],0
v3,1,0.241051,1.374434,[5 7] ; [29 19],[6.8 5.2] ; [27.2 20.8],0
n1,1,0.263552,1.25,[4 1] ; [5 5],[3. 2.] ; [6. 4.],0
d3,1,0.31599,1.005472,[10  2] ; [33 15],[8.6 3.4] ; [34.4 13.6],0
s8,1,0.359823,0.838509,[8 4] ; [38 10],[9.2 2.8] ; [36.8 11.2],0
s2,1,0.368904,0.807353,[9 3] ; [42  7],[10.03278689  1.96721311] ; [40.96721311  8.03278689],0
p2,1,0.375337,0.78592,[10  2] ; [45  4],[10.81967213  1.18032787] ; [44.18032787  4.81967213],0
d5,1,0.386476,0.75,[11  1] ; [39  9],[10.  2.] ; [40.  8.],0
p3,1,0.386476,0.75,[9 3] ; [41  7],[10.  2.] ; [40.  8.],0
b1,1,0.399188,0.710769,[6 6] ; [18 31],[4.72131148 7.27868852] ; [19.27868852 29.72131148],0
s4,1,0.40008,0.708087,[ 1 11] ; [ 9 40],[ 1.96721311 10.03278689] ; [ 8.03278689 40.96721311],0
b2,1,0.408084,0.684376,[3 6] ; [18 19],[4.10869565 4.89130435] ; [16.89130435 20.10869565],0
b3,1,0.408084,0.684376,[3 6] ; [18 19],[4.10869565 4.89130435] ; [16.89130435 20.10869565],0
a3,1,0.4326,0.615834,[8 4] ; [38 11],[9.04918033 2.95081967] ; [36.95081967 12.04918033],0
d2,1,0.434464,0.61086,[8 4] ; [26 22],[6.8 5.2] ; [27.2 20.8],0
a7,1,0.52144,0.411044,[9 3] ; [32 17],[8.06557377 3.93442623] ; [32.93442623 16.06557377],0
p1,1,0.555864,0.346917,[5 7] ; [16 33],[4.13114754 7.86885246] ; [16.86885246 32.13114754],0
u3,1,0.633553,0.227273,[2 2] ; [7 4],[2.4 1.6] ; [6.6 4.4],0
r1,1,0.684233,0.165399,[10  2] ; [43  6],[10.42622951  1.57377049] ; [42.57377049  6.42622951],0
v1,1,0.774499,0.082079,[9 3] ; [34 14],[8.6 3.4] ; [34.4 13.6],0
p9,1,0.781549,0.076896,[11  1] ; [46  3],[11.21311475  0.78688525] ; [45.78688525  3.21311475],0
a6,1,0.795809,0.066964,[6 6] ; [26 22],[6.4 5.6] ; [25.6 22.4],0
a5,1,0.855246,0.03328,[8 4] ; [34 15],[8.26229508 3.73770492] ; [33.73770492 15.26229508],0
d4,1,0.856544,0.03268,[10  2] ; [41  7],[10.2  1.8] ; [40.8  7.2],0
u2,1,0.875996,0.024351,[2 2] ; [5 6],[1.86666667 2.13333333] ; [5.13333333 5.86666667],0
a4,1,0.940422,0.005586,[5 7] ; [21 28],[5.1147541 6.8852459] ; [20.8852459 28.1147541],0
b4,1,0.949472,0.004016,[6 6] ; [25 24],[6.09836066 5.90163934] ; [24.90163934 24.09836066],0
b5,1,0.957189,0.002882,[5 7] ; [20 29],[4.91803279 7.08196721] ; [20.08196721 28.91803279],0
a2,1,0.977244,0.000814,[ 2 10] ; [ 8 41],[ 1.96721311 10.03278689] ; [ 8.03278689 40.96721311],0
