Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,25.912758,[11 19] ; [83 16],[21.86046512  8.13953488] ; [72.13953488 26.86046512],1
v4,1,1e-06,24.800726,[14 16] ; [88 11],[23.72093023  6.27906977] ; [78.27906977 20.72093023],1
r3,1,2e-06,23.010004,[14 16] ; [87 12],[23.48837209  6.51162791] ; [77.51162791 21.48837209],1
p11,1,2.6e-05,17.717437,[ 8 22] ; [69 30],[17.90697674 12.09302326] ; [59.09302326 39.90697674],1
p10,1,3.6e-05,17.094632,[ 7 22] ; [66 32],[16.66929134 12.33070866] ; [56.33070866 41.66929134],1
s6,1,0.000904,11.015137,[ 8 22] ; [60 38],[15.9375 14.0625] ; [52.0625 45.9375],1
s8,1,0.001495,10.084258,[ 4 26] ; [45 54],[11.39534884 18.60465116] ; [37.60465116 61.39534884],0
p4,1,0.003384,8.587782,[ 2 28] ; [33 64],[ 8.26771654 21.73228346] ; [26.73228346 70.26771654],0
n3,1,0.013456,6.108173,[7 9] ; [21  5],[10.66666667  5.33333333] ; [17.33333333  8.66666667],0
u1,1,0.014143,6.020155,[ 1 29] ; [23 76],[ 5.58139535 24.41860465] ; [18.41860465 80.58139535],0
b5,1,0.015227,5.890024,[10 20] ; [58 41],[15.81395349 14.18604651] ; [52.18604651 46.81395349],0
p9,1,0.030902,4.658372,[13 16] ; [65 32],[17.95238095 11.04761905] ; [60.04761905 36.95238095],0
p8,1,0.035532,4.419404,[ 2 28] ; [24 75],[ 6.04651163 23.95348837] ; [19.95348837 79.04651163],0
v2,1,0.046675,3.957069,[ 9 20] ; [49 45],[13.67479675 15.32520325] ; [44.32520325 49.67479675],0
p6,1,0.060208,3.531634,[ 2 27] ; [22 76],[ 5.48031496 23.51968504] ; [18.51968504 79.48031496],0
a1,1,0.065962,3.380757,[ 6 24] ; [ 8 91],[ 3.25581395 26.74418605] ; [10.74418605 88.25581395],0
d4,1,0.071054,3.258492,[17 12] ; [75 24],[20.84375  8.15625] ; [71.15625 27.84375],0
b4,1,0.076086,3.146578,[13 17] ; [61 38],[17.20930233 12.79069767] ; [56.79069767 42.20930233],0
s5,1,0.079402,3.077093,[ 3 25] ; [25 69],[ 6.42622951 21.57377049] ; [21.57377049 72.42622951],0
a8,1,0.086925,2.930417,[ 7 23] ; [10 82],[ 4.18032787 25.81967213] ; [12.81967213 79.18032787],0
n5,1,0.092986,2.821913,[21  9] ; [83 16],[24.18604651  5.81395349] ; [79.81395349 19.18604651],0
d1,1,0.111369,2.534689,[12 18] ; [56 43],[15.81395349 14.18604651] ; [52.18604651 46.81395349],0
s7,1,0.138694,2.192387,[ 8 20] ; [42 53],[11.38211382 16.61788618] ; [38.61788618 56.38211382],0
a6,1,0.142078,2.155304,[15 14] ; [66 33],[18.3515625 10.6484375] ; [62.6484375 36.3515625],0
p3,1,0.155295,2.019453,[ 7 23] ; [37 62],[10.23255814 19.76744186] ; [33.76744186 65.23255814],0
d5,1,0.177794,1.815968,[16 13] ; [68 31],[19.03125  9.96875] ; [64.96875 34.03125],0
r1,1,0.183616,1.768112,[18 12] ; [72 27],[20.93023256  9.06976744] ; [69.06976744 29.93023256],0
s2,1,0.194082,1.686355,[ 9 21] ; [42 55],[12.04724409 17.95275591] ; [38.95275591 58.04724409],0
p7,1,0.194227,1.685262,[ 6 22] ; [33 63],[ 8.80645161 19.19354839] ; [30.19354839 65.80645161],0
u3,1,0.202431,1.624751,[3 7] ; [20 18],[4.79166667 5.20833333] ; [18.20833333 19.79166667],0
a7,1,0.221215,1.496474,[16 14] ; [65 34],[18.8372093 11.1627907] ; [62.1627907 36.8372093],0
r2,1,0.239128,1.385728,[24  5] ; [87  9],[25.752  3.248] ; [85.248 10.752],0
v3,1,0.240239,1.379194,[ 8 20] ; [38 55],[10.6446281 17.3553719] ; [35.3553719 57.6446281],0
