Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,3.4e-05,17.175506,[17 62] ; [66 65],[31.22380952 47.77619048] ; [51.77619048 79.22380952],1
r3,1,0.000315,12.980745,[67 12] ; [133   3],[73.48837209  5.51162791] ; [126.51162791   9.48837209],1
d3,1,0.003017,8.797442,[41 39] ; [97 39],[51.11111111 28.88888889] ; [86.88888889 49.11111111],0
p11,1,0.008041,7.024225,[57 23] ; [117  19],[64.44444444 15.55555556] ; [109.55555556  26.44444444],0
p3,1,0.018696,5.529773,[29 50] ; [71 62],[37.26415094 41.73584906] ; [62.73584906 70.26415094],0
d1,1,0.031555,4.622502,[38 42] ; [85 51],[45.55555556 34.44444444] ; [77.44444444 58.55555556],0
d5,1,0.073379,3.205763,[59 21] ; [114  22],[64.07407407 15.92592593] ; [108.92592593  27.07407407],0
d4,1,0.083638,2.992744,[60 20] ; [115  21],[64.81481481 15.18518519] ; [110.18518519  25.81481481],0
p6,1,0.0861,2.945818,[19 60] ; [46 84],[24.56937799 54.43062201] ; [40.43062201 89.56937799],0
p7,1,0.089083,2.890859,[43 36] ; [88 45],[48.81603774 30.18396226] ; [82.18396226 50.81603774],0
p9,1,0.089116,2.890274,[62 17] ; [117  17],[66.38967136 12.61032864] ; [112.61032864  21.38967136],0
p10,1,0.101001,2.689668,[58 21] ; [111  23],[62.68075117 16.31924883] ; [106.31924883  27.68075117],0
b1,1,0.157648,1.996639,[36 44] ; [48 88],[31.11111111 48.88888889] ; [52.88888889 83.11111111],0
p8,1,0.177795,1.815961,[37 42] ; [75 58],[41.73584906 37.26415094] ; [70.26415094 62.73584906],0
s4,1,0.183317,1.770523,[13 65] ; [ 14 121],[ 9.88732394 68.11267606] ; [ 17.11267606 117.88732394],0
r4,1,0.201204,1.633613,[67 13] ; [122  14],[70. 10.] ; [119.  17.],0
p12,1,0.201844,1.628984,[ 3 77] ; [ 11 123],[ 5.23364486 74.76635514] ; [  8.76635514 125.23364486],0
s5,1,0.20363,1.616148,[24 51] ; [ 32 102],[20.09569378 54.90430622] ; [35.90430622 98.09569378],0
r1,1,0.22823,1.451856,[59 20] ; [111  25],[62.46511628 16.53488372] ; [107.53488372  28.46511628],0
p2,1,0.247863,1.335308,[63 16] ; [115  19],[66.01877934 12.98122066] ; [111.98122066  22.01877934],0
n3,1,0.268621,1.223776,[14  2] ; [19  7],[12.57142857  3.42857143] ; [20.42857143  5.57142857],0
p5,1,0.315851,1.006049,[ 5 74] ; [ 14 121],[ 7.01401869 71.98598131] ; [ 11.98598131 123.01401869],0
n6,1,0.324338,0.971372,[62 18] ; [112  23],[64.74418605 15.25581395] ; [109.25581395  25.74418605],0
s2,1,0.340659,0.907949,[27 51] ; [38 96],[23.91509434 54.08490566] ; [41.08490566 92.91509434],0
v4,1,0.345491,0.889949,[74  6] ; [129   6],[75.53488372  4.46511628] ; [127.46511628   7.53488372],0
a6,1,0.382593,0.762353,[47 33] ; [88 48],[50. 30.] ; [85. 51.],0
a1,1,0.384719,0.755568,[ 5 75] ; [  5 131],[ 3.7037037 76.2962963] ; [  6.2962963 129.7037037],0
