Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,8.2e-05,15.501732,[ 3 13] ; [23  6],[9.24444444 6.75555556] ; [16.75555556 12.24444444],1
p11,1,0.000203,13.8,[ 2 14] ; [21  9],[8. 8.] ; [15. 15.],1
p10,1,0.000934,10.954483,[ 3 12] ; [21  8],[8.18181818 6.81818182] ; [15.81818182 13.18181818],1
s6,1,0.001696,9.852997,[ 1 15] ; [15 13],[ 5.81818182 10.18181818] ; [10.18181818 17.81818182],0
p2,1,0.01123,6.428571,[ 3 12] ; [18 12],[7. 8.] ; [14. 16.],0
d4,1,0.011568,6.375865,[ 5 11] ; [21  9],[9.04347826 6.95652174] ; [16.95652174 13.04347826],0
s2,1,0.021421,5.292173,[ 1 15] ; [11 18],[ 4.26666667 11.73333333] ; [ 7.73333333 21.26666667],0
p9,1,0.023706,5.116031,[ 5 10] ; [20  9],[8.52272727 6.47727273] ; [16.47727273 12.52272727],0
s8,1,0.025248,5.006822,[ 1 15] ; [11 19],[ 4.17391304 11.82608696] ; [ 7.82608696 22.17391304],0
r4,1,0.025248,5.006822,[ 1 15] ; [11 19],[ 4.17391304 11.82608696] ; [ 7.82608696 22.17391304],0
n3,1,0.029549,4.73534,[2 7] ; [6 2],[4.23529412 4.76470588] ; [3.76470588 4.23529412],0
d5,1,0.032992,4.546199,[ 6 10] ; [21  9],[9.39130435 6.60869565] ; [17.60869565 12.39130435],0
p4,1,0.061724,3.490433,[ 3 13] ; [14 16],[ 5.91304348 10.08695652] ; [11.08695652 18.91304348],0
p6,1,0.067504,3.342691,[ 1 14] ; [ 9 20],[ 3.40909091 11.59090909] ; [ 6.59090909 22.40909091],0
s7,1,0.068516,3.318227,[ 1 15] ; [ 8 19],[ 3.34883721 12.65116279] ; [ 5.65116279 21.34883721],0
b4,1,0.082307,3.01875,[7 9] ; [21  9],[9.73913043 6.26086957] ; [18.26086957 11.73913043],0
b2,1,0.135199,2.231772,[5 6] ; [ 4 16],[3.19354839 7.80645161] ; [ 5.80645161 14.19354839],0
b3,1,0.135199,2.231772,[5 6] ; [ 4 16],[3.19354839 7.80645161] ; [ 5.80645161 14.19354839],0
p8,1,0.168041,1.900338,[ 1 14] ; [ 7 23],[ 2.66666667 12.33333333] ; [ 5.33333333 24.66666667],0
v3,1,0.185079,1.756364,[ 2 14] ; [ 9 21],[ 3.82608696 12.17391304] ; [ 7.17391304 22.82608696],0
p3,1,0.208458,1.582106,[ 3 13] ; [11 19],[ 4.86956522 11.13043478] ; [ 9.13043478 20.86956522],0
v1,1,0.208458,1.582106,[ 3 13] ; [11 19],[ 4.86956522 11.13043478] ; [ 9.13043478 20.86956522],0
b5,1,0.215613,1.533333,[ 6 10] ; [17 13],[8. 8.] ; [15. 15.],0
a6,1,0.221784,1.492788,[11  5] ; [15 15],[9.04347826 6.95652174] ; [16.95652174 13.04347826],0
s3,1,0.268334,1.225242,[ 5 11] ; [14 15],[6.75555556 9.24444444] ; [12.24444444 16.75555556],0
p7,1,0.308987,1.035,[ 4 12] ; [12 18],[ 5.56521739 10.43478261] ; [10.43478261 19.56521739],0
