Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,70.049771,[ 41 207] ; [54 30],[ 70.96385542 177.03614458] ; [24.03614458 59.96385542],1
s2,1,3e-05,17.406728,[ 27 230] ; [26 64],[ 39.25360231 217.74639769] ; [13.74639769 76.25360231],1
p6,1,7.8e-05,15.603561,[ 71 186] ; [45 44],[ 86.16184971 170.83815029] ; [29.83815029 59.16184971],1
s6,1,7.8e-05,15.603217,[100 155] ; [57 33],[116.04347826 138.95652174] ; [40.95652174 49.04347826],1
v3,1,0.000189,13.939443,[ 78 177] ; [46 41],[ 92.45614035 162.54385965] ; [31.54385965 55.45614035],1
p3,1,0.001758,9.78679,[106 153] ; [54 36],[118.73925501 140.26074499] ; [41.26074499 48.73925501],0
n4,1,0.003336,8.613714,[185  75] ; [78 12],[195.37142857  64.62857143] ; [67.62857143 22.37142857],0
s5,1,0.00365,8.44997,[ 51 205] ; [31 57],[ 61.02325581 194.97674419] ; [20.97674419 67.02325581],0
d2,1,0.004265,8.167315,[101 156] ; [51 39],[112.57636888 144.42363112] ; [39.42363112 50.57636888],0
r1,1,0.00573,7.633374,[180  79] ; [76 14],[189.98280802  69.01719198] ; [66.01719198 23.98280802],0
a6,1,0.008226,6.983584,[184  76] ; [50 40],[173.82857143  86.17142857] ; [60.17142857 29.82857143],0
a5,1,0.008542,6.916239,[176  84] ; [74 16],[185.71428571  74.28571429] ; [64.28571429 25.71428571],0
a3,1,0.008707,6.881877,[159 100] ; [69 21],[169.2034384  89.7965616] ; [58.7965616 31.2034384],0
u1,1,0.008711,6.881056,[ 31 229] ; [21 69],[ 38.62857143 221.37142857] ; [13.37142857 76.62857143],0
p7,1,0.019036,5.4982,[139 117] ; [61 28],[148.4057971 107.5942029] ; [51.5942029 37.4057971],0
p4,1,0.034292,4.480099,[133 125] ; [58 32],[141.60344828 116.39655172] ; [49.39655172 40.60344828],0
p9,1,0.048928,3.877824,[199  56] ; [78 11],[205.33430233  49.66569767] ; [71.66569767 17.33430233],0
v2,1,0.057529,3.607232,[129 125] ; [55 33],[136.65497076 117.34502924] ; [47.34502924 40.65497076],0
v1,1,0.060442,3.525221,[120 136] ; [52 37],[127.62898551 128.37101449] ; [44.37101449 44.62898551],0
p10,1,0.070278,3.276524,[196  61] ; [76 13],[202.03468208  54.96531792] ; [69.96531792 19.03468208],0
b2,1,0.076001,3.148419,[48 97] ; [29 34],[53.67788462 91.32211538] ; [23.32211538 39.67788462],0
b3,1,0.076001,3.148419,[48 97] ; [29 34],[53.67788462 91.32211538] ; [23.32211538 39.67788462],0
r4,1,0.076263,3.142801,[217  43] ; [82  8],[222.11428571  37.88571429] ; [76.88571429 13.11428571],0
a4,1,0.078842,3.088623,[102 157] ; [45 45],[109.09169054 149.90830946] ; [37.90830946 52.09169054],0
d1,1,0.090774,2.860591,[135 125] ; [56 34],[141.88571429 118.11428571] ; [49.11428571 40.88571429],0
u2,1,0.092617,2.828283,[46 53] ; [14  7],[49.5 49.5] ; [10.5 10.5],0
r3,1,0.100385,2.699412,[236  22] ; [87  3],[239.46551724  18.53448276] ; [83.53448276  6.46551724],0
n2,1,0.137581,2.204804,[49 18] ; [13 10],[46.15555556 20.84444444] ; [15.84444444  7.15555556],0
a2,1,0.13801,2.200006,[ 45 215] ; [22 68],[ 49.77142857 210.22857143] ; [17.22857143 72.77142857],0
b4,1,0.168545,1.895833,[143 117] ; [57 33],[148.57142857 111.42857143] ; [51.42857143 38.57142857],0
p12,1,0.246954,1.340456,[ 12 247] ; [ 7 82],[ 14.1408046 244.8591954] ; [ 4.8591954 84.1408046],0
n5,1,0.255211,1.294551,[191  68] ; [71 18],[194.99425287  64.00574713] ; [67.00574713 21.99425287],0
p8,1,0.264278,1.24621,[124 133] ; [48 39],[128.5 128.5] ; [43.5 43.5],0
d4,1,0.274693,1.193159,[205  54] ; [76 14],[208.53581662  50.46418338] ; [72.46418338 17.53581662],0
a8,1,0.313592,1.015487,[ 25 207] ; [12 68],[ 27.51282051 204.48717949] ; [ 9.48717949 70.51282051],0
d5,1,0.35604,0.851811,[201  58] ; [74 16],[204.08309456  54.91690544] ; [70.91690544 19.08309456],0
p5,1,0.421284,0.646731,[ 24 235] ; [11 79],[ 25.97421203 233.02578797] ; [ 9.02578797 80.97421203],0
d3,1,0.46354,0.537333,[175  84] ; [57 33],[172.17191977  86.82808023] ; [59.82808023 30.17191977],0
u3,1,0.497466,0.460338,[49 51] ; [12  9],[50.41322314 49.58677686] ; [10.58677686 10.41322314],0
r2,1,0.526708,0.400739,[230  26] ; [82  7],[231.51304348  24.48695652] ; [80.48695652  8.51304348],0
p11,1,0.609384,0.261072,[206  54] ; [69 21],[204.28571429  55.71428571] ; [70.71428571 19.28571429],0
s1,1,0.66368,0.189084,[  4 254] ; [ 2 87],[  4.4610951 253.5389049] ; [ 1.5389049 87.4610951],0
a1,1,0.72064,0.127881,[ 12 248] ; [ 5 85],[ 12.62857143 247.37142857] ; [ 4.37142857 85.62857143],0
n3,1,0.761347,0.092241,[45 22] ; [14  8],[44.41573034 22.58426966] ; [14.58426966  7.41573034],0
a7,1,0.821727,0.050771,[181  77] ; [62 28],[180.15517241  77.84482759] ; [62.84482759 27.15517241],0
s4,1,0.872154,0.025896,[ 30 226] ; [11 78],[ 30.42318841 225.57681159] ; [10.57681159 78.42318841],0
b1,1,0.876896,0.023996,[ 89 171] ; [30 60],[ 88.4 171.6] ; [30.6 59.4],0
n1,1,0.881105,0.022371,[19 47] ; [ 7 16],[19.28089888 46.71910112] ; [ 6.71910112 16.28089888],0
p1,1,0.883468,0.021484,[ 19 241] ; [ 7 83],[ 19.31428571 240.68571429] ; [ 6.68571429 83.31428571],0
p2,1,0.905333,0.014144,[203  56] ; [70 20],[202.59885387  56.40114613] ; [70.40114613 19.59885387],0
v4,1,0.94,0.005666,[245  15] ; [85  5],[245.14285714  14.85714286] ; [84.85714286  5.14285714],0
b5,1,0.942772,0.005153,[160 100] ; [55 35],[159.71428571 100.28571429] ; [55.28571429 34.71428571],0
