Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,74.103596,[14 38] ; [122  14],[37.61702128 14.38297872] ; [98.38297872 37.61702128],1
s5,1,1e-06,23.940855,[11 42] ; [81 53],[26.07486631 26.92513369] ; [65.92513369 68.07486631],1
s6,1,3.8e-05,16.992027,[36 17] ; [123  11],[45.06417112  7.93582888] ; [113.93582888  20.06417112],1
n4,1,0.001334,10.294818,[41 12] ; [130   9],[47.203125  5.796875] ; [123.796875  15.203125],0
s8,1,0.002362,9.244669,[31 21] ; [111  26],[39.06878307 12.93121693] ; [102.93121693  34.06878307],0
n5,1,0.003674,8.438154,[40 13] ; [126  12],[46.06282723  6.93717277] ; [119.93717277  18.06282723],0
a4,1,0.010567,6.536726,[18 34] ; [77 62],[25.86387435 26.13612565] ; [69.13612565 69.86387435],0
n2,1,0.010714,6.512213,[5 5] ; [24  3],[7.83783784 2.16216216] ; [21.16216216  5.83783784],0
r2,1,0.022024,5.243867,[47  5] ; [136   3],[49.82198953  2.17801047] ; [133.17801047   5.82198953],0
s4,1,0.045555,3.997966,[ 4 49] ; [ 27 112],[ 8.55729167 44.44270833] ; [ 22.44270833 116.55729167],0
a5,1,0.067616,3.339966,[38 15] ; [116  23],[42.51041667 10.48958333] ; [111.48958333  27.51041667],0
b1,1,0.083448,2.996431,[16 37] ; [61 78],[21.25520833 31.74479167] ; [55.74479167 83.25520833],0
a6,1,0.116057,2.469747,[40 13] ; [87 50],[35.42631579 17.57368421] ; [91.57368421 45.42631579],0
v2,1,0.12136,2.399684,[38 15] ; [113  25],[41.90052356 11.09947644] ; [109.09947644  28.90052356],0
n1,1,0.121447,2.398563,[2 8] ; [13 14],[4.05405405 5.94594595] ; [10.94594595 16.05405405],0
a1,1,0.125964,2.341557,[ 2 51] ; [ 15 124],[ 4.69270833 48.30729167] ; [ 12.30729167 126.69270833],0
d3,1,0.129407,2.299602,[44  9] ; [100  38],[39.95811518 13.04188482] ; [104.04188482  33.95811518],0
n6,1,0.131951,2.2694,[47  6] ; [129   7],[49.35449735  3.64550265] ; [126.64550265   9.35449735],0
p3,1,0.137881,2.201448,[38 15] ; [83 55],[33.57591623 19.42408377] ; [87.42408377 50.57591623],0
r1,1,0.139976,2.178227,[42 11] ; [121  17],[45.23036649  7.76963351] ; [117.76963351  20.23036649],0
u1,1,0.161919,1.956215,[ 9 44] ; [ 37 102],[12.69791667 40.30208333] ; [ 33.30208333 105.69791667],0
p2,1,0.17697,1.822891,[42 11] ; [121  18],[44.99479167  8.00520833] ; [118.00520833  20.99479167],0
