Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,5.5e-05,16.280488,[7 5] ; [ 1 28],[2.34146341 9.65853659] ; [ 5.65853659 23.34146341],1
p7,1,0.000172,14.114774,[9 3] ; [ 4 24],[3.9 8.1] ; [ 9.1 18.9],1
p9,1,0.00047,12.229312,[10  2] ; [ 6 20],[5.05263158 6.94736842] ; [10.94736842 15.05263158],1
p3,1,0.001436,10.15873,[7 5] ; [ 3 25],[3. 9.] ; [ 7. 21.],0
d3,1,0.004732,7.979079,[8 4] ; [ 6 23],[4.09756098 7.90243902] ; [ 9.90243902 19.09756098],0
p2,1,0.005775,7.619048,[10  2] ; [10 18],[6. 6.] ; [14. 14.],0
p10,1,0.006488,7.409573,[9 3] ; [ 8 20],[5.1 6.9] ; [11.9 16.1],0
p6,1,0.009102,6.802721,[4 8] ; [ 1 27],[ 1.5 10.5] ; [ 3.5 24.5],0
p11,1,0.010101,6.617035,[8 4] ; [ 7 22],[4.3902439 7.6097561] ; [10.6097561 18.3902439],0
n6,1,0.023789,5.109917,[10  2] ; [13 16],[6.73170732 5.26829268] ; [16.26829268 12.73170732],0
s6,1,0.060549,3.522295,[6 6] ; [ 6 23],[3.51219512 8.48780488] ; [ 8.48780488 20.51219512],0
u2,1,0.074982,3.170437,[3 1] ; [ 4 11],[1.47368421 2.52631579] ; [5.52631579 9.47368421],0
s8,1,0.107009,2.597845,[3 9] ; [ 2 27],[ 1.46341463 10.53658537] ; [ 3.53658537 25.46341463],0
r4,1,0.107009,2.597845,[3 9] ; [ 2 27],[ 1.46341463 10.53658537] ; [ 3.53658537 25.46341463],0
a4,1,0.111017,2.539683,[5 7] ; [ 5 23],[3. 9.] ; [ 7. 21.],0
b5,1,0.158414,1.989302,[7 5] ; [10 19],[4.97560976 7.02439024] ; [12.02439024 16.97560976],0
v2,1,0.197149,1.663371,[3 8] ; [ 3 25],[1.69230769 9.30769231] ; [ 4.30769231 23.69230769],0
b4,1,0.203057,1.620252,[8 4] ; [13 16],[6.14634146 5.85365854] ; [14.85365854 14.14634146],0
a5,1,0.23102,1.434567,[7 5] ; [11 18],[5.26829268 6.73170732] ; [12.73170732 16.26829268],0
s7,1,0.23531,1.408471,[3 8] ; [ 3 23],[1.78378378 9.21621622] ; [ 4.21621622 21.78378378],0
s2,1,0.257363,1.282886,[4 8] ; [ 5 24],[2.63414634 9.36585366] ; [ 6.36585366 22.63414634],0
b2,1,0.280077,1.166717,[2 6] ; [ 9 10],[3.25925926 4.74074074] ; [ 7.74074074 11.25925926],0
b3,1,0.280077,1.166717,[2 6] ; [ 9 10],[3.25925926 4.74074074] ; [ 7.74074074 11.25925926],0
a3,1,0.282612,1.154485,[8 4] ; [14 15],[6.43902439 5.56097561] ; [15.56097561 13.43902439],0
d4,1,0.321917,0.981143,[7 5] ; [12 17],[5.56097561 6.43902439] ; [13.43902439 15.56097561],0
s5,1,0.385549,0.752934,[3 9] ; [ 4 25],[2.04878049 9.95121951] ; [ 4.95121951 24.04878049],0
n5,1,0.391016,0.73578,[8 4] ; [23  6],[9.07317073 2.92682927] ; [21.92682927  7.07317073],0
n2,1,0.474895,0.510563,[3 2] ; [ 8 11],[2.29166667 2.70833333] ; [ 8.70833333 10.29166667],0
v3,1,0.478812,0.501567,[3 8] ; [ 5 24],[2.2 8.8] ; [ 5.8 23.2],0
p12,1,0.508805,0.436524,[ 1 11] ; [ 1 28],[ 0.58536585 11.41463415] ; [ 1.41463415 27.58536585],0
n4,1,0.513616,0.426694,[7 5] ; [20  9],[7.90243902 4.09756098] ; [19.09756098  9.90243902],0
r1,1,0.513616,0.426694,[5 7] ; [ 9 20],[4.09756098 7.90243902] ; [ 9.90243902 19.09756098],0
v1,1,0.54542,0.365587,[4 8] ; [ 7 22],[3.2195122 8.7804878] ; [ 7.7804878 21.2195122],0
v4,1,0.557741,0.34363,[7 5] ; [14 15],[6.14634146 5.85365854] ; [14.85365854 14.14634146],0
u3,1,0.569653,0.323264,[1 3] ; [ 2 13],[0.63157895 3.36842105] ; [ 2.36842105 12.63157895],0
p1,1,0.573541,0.316794,[ 2 10] ; [ 3 26],[ 1.46341463 10.53658537] ; [ 3.53658537 25.46341463],0
d5,1,0.612797,0.256122,[6 6] ; [12 17],[5.26829268 6.73170732] ; [12.73170732 16.26829268],0
a6,1,0.663911,0.188808,[5 7] ; [10 19],[4.3902439 7.6097561] ; [10.6097561 18.3902439],0
r2,1,0.72158,0.126984,[7 5] ; [18 10],[7.5 4.5] ; [17.5 10.5],0
d2,1,0.72158,0.126984,[4 8] ; [11 17],[4.5 7.5] ; [10.5 17.5],0
n1,1,0.722283,0.126316,[2 3] ; [ 6 13],[1.66666667 3.33333333] ; [ 6.33333333 12.66666667],0
d1,1,0.761595,0.092044,[3 9] ; [ 6 23],[2.63414634 9.36585366] ; [ 6.36585366 22.63414634],0
s4,1,0.767419,0.08747,[ 2 10] ; [ 6 23],[2.34146341 9.65853659] ; [ 5.65853659 23.34146341],0
n3,1,0.859234,0.031453,[2 3] ; [ 8 10],[2.17391304 2.82608696] ; [ 7.82608696 10.17391304],0
s3,1,0.883708,0.021395,[3 8] ; [ 7 21],[2.82051282 8.17948718] ; [ 7.17948718 20.82051282],0
b1,1,0.986442,0.000289,[7 5] ; [17 12],[7.02439024 4.97560976] ; [16.97560976 12.02439024],0
