Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4.5e-05,16.628299,[29  3] ; [1 5],[25.26315789  6.73684211] ; [4.73684211 1.26315789],1
p10,1,0.003617,8.4669,[24  7] ; [1 5],[20.94594595 10.05405405] ; [4.05405405 1.94594595],0
r3,1,0.003623,8.463636,[30  2] ; [3 3],[27.78947368  4.21052632] ; [5.21052632 0.78947368],0
s1,1,0.004289,8.157157,[ 2 29] ; [3 3],[ 4.18918919 26.81081081] ; [0.81081081 5.18918919],0
r2,1,0.004965,7.891973,[31  1] ; [3 2],[29.40540541  2.59459459] ; [4.59459459 0.40540541],0
p9,1,0.009823,6.666667,[25  5] ; [2 4],[22.5  7.5] ; [4.5 1.5],0
n6,1,0.029673,4.728111,[28  4] ; [3 3],[26.10526316  5.89473684] ; [4.89473684 1.10526316],0
s6,1,0.038301,4.291626,[26  4] ; [3 3],[24.16666667  5.83333333] ; [4.83333333 1.16666667],0
r1,1,0.043915,4.059829,[24  8] ; [2 4],[21.89473684 10.10526316] ; [4.10526316 1.89473684],0
b1,1,0.054522,3.696644,[13 19] ; [5 1],[15.15789474 16.84210526] ; [2.84210526 3.15789474],0
s5,1,0.05899,3.565564,[16 11] ; [1 5],[13.90909091 13.09090909] ; [3.09090909 2.90909091],0
n2,1,0.067113,3.352259,[10  3] ; [2 4],[8.21052632 4.78947368] ; [3.78947368 2.21052632],0
d3,1,0.098868,2.72371,[22 10] ; [2 4],[20.21052632 11.78947368] ; [3.78947368 2.21052632],0
p1,1,0.111126,2.538131,[ 3 29] ; [2 4],[ 4.21052632 27.78947368] ; [0.78947368 5.21052632],0
s2,1,0.126279,2.337662,[20 10] ; [2 4],[18.33333333 11.66666667] ; [3.66666667 2.33333333],0
d4,1,0.151095,2.061161,[25  7] ; [3 3],[23.57894737  8.42105263] ; [4.42105263 1.57894737],0
s8,1,0.169038,1.891454,[15 17] ; [1 5],[13.47368421 18.52631579] ; [2.52631579 3.47368421],0
v2,1,0.173617,1.851429,[19 11] ; [2 4],[17.5 12.5] ; [3.5 2.5],0
b5,1,0.184219,1.763258,[20 12] ; [2 4],[18.52631579 13.47368421] ; [3.47368421 2.52631579],0
b2,1,0.205903,1.6,[ 4 16] ; [2 2],[ 5. 15.] ; [1. 3.],0
b3,1,0.205903,1.6,[ 4 16] ; [2 2],[ 5. 15.] ; [1. 3.],0
d5,1,0.215311,1.535354,[24  8] ; [3 3],[22.73684211  9.26315789] ; [4.26315789 1.73684211],0
a4,1,0.239087,1.385971,[13 19] ; [4 2],[14.31578947 17.68421053] ; [2.68421053 3.31578947],0
p11,1,0.302225,1.064352,[18 14] ; [2 4],[16.84210526 15.15789474] ; [3.15789474 2.84210526],0
b4,1,0.302225,1.064352,[18 14] ; [2 4],[16.84210526 15.15789474] ; [3.15789474 2.84210526],0
d2,1,0.373597,0.791667,[15 17] ; [4 2],[16. 16.] ; [3. 3.],0
p3,1,0.374333,0.789231,[10 22] ; [3 3],[10.94736842 21.05263158] ; [2.05263158 3.94736842],0
a5,1,0.466551,0.530134,[21 11] ; [3 3],[20.21052632 11.78947368] ; [3.78947368 2.21052632],0
v1,1,0.635327,0.224905,[14 18] ; [2 4],[13.47368421 18.52631579] ; [2.52631579 3.47368421],0
n4,1,0.635327,0.224905,[18 14] ; [4 2],[18.52631579 13.47368421] ; [3.47368421 2.52631579],0
n1,1,0.635848,0.224213,[5 8] ; [3 3],[5.47368421 7.52631579] ; [2.52631579 3.47368421],0
p6,1,0.659505,0.194125,[ 8 24] ; [1 5],[ 7.57894737 24.42105263] ; [1.42105263 4.57894737],0
s3,1,0.715128,0.133209,[18 13] ; [3 3],[17.59459459 13.40540541] ; [3.40540541 2.59459459],0
v3,1,0.780826,0.077419,[ 8 23] ; [1 4],[ 7.75 23.25] ; [1.25 3.75],0
s7,1,0.840867,0.040315,[13 16] ; [2 3],[12.79411765 16.20588235] ; [2.20588235 2.79411765],0
a3,1,0.84605,0.037698,[20 12] ; [4 2],[20.21052632 11.78947368] ; [3.78947368 2.21052632],0
n5,1,0.88812,0.019792,[15 17] ; [3 3],[15.15789474 16.84210526] ; [2.84210526 3.15789474],0
n3,1,0.911008,0.012492,[9 4] ; [4 2],[8.89473684 4.10526316] ; [4.10526316 1.89473684],0
p7,1,0.919753,0.01015,[10 22] ; [2 4],[10.10526316 21.89473684] ; [1.89473684 4.10526316],0
p4,1,0.919753,0.01015,[10 22] ; [2 4],[10.10526316 21.89473684] ; [1.89473684 4.10526316],0
p8,1,0.948801,0.004123,[ 5 27] ; [1 5],[ 5.05263158 26.94736842] ; [0.94736842 5.05263158],0
d1,1,1.0,0.0,[16 16] ; [3 3],[16. 16.] ; [3. 3.],0
