Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,4e-06,21.049034,[60 46] ; [173 351],[39.2031746 66.7968254] ; [193.7968254 330.2031746],1
s2,1,5e-06,20.964408,[83 31] ; [265 273],[60.84662577 53.15337423] ; [287.15337423 250.84662577],1
s6,1,5.4e-05,16.301408,[96 15] ; [358 174],[78.37325039 32.62674961] ; [375.62674961 156.37325039],1
b3,1,0.000952,10.918492,[13 49] ; [146 191],[24.70676692 37.29323308] ; [134.29323308 202.70676692],1
b2,1,0.000952,10.918492,[13 49] ; [146 191],[24.70676692 37.29323308] ; [134.29323308 202.70676692],1
s3,1,0.001295,10.3493,[82 33] ; [293 240],[66.55092593 48.44907407] ; [308.44907407 224.55092593],0
n4,1,0.001819,9.723895,[83 33] ; [453  87],[94.7804878 21.2195122] ; [441.2195122  98.7804878],0
a8,1,0.002015,9.535737,[  6 106] ; [ 82 406],[16.42666667 95.57333333] ; [ 71.57333333 416.42666667],0
p2,1,0.007481,7.153787,[93 23] ; [479  58],[101.61102603  14.38897397] ; [470.38897397  66.61102603],0
v3,1,0.01034,6.575368,[35 79] ; [228 293],[47.21574803 66.78425197] ; [215.78425197 305.21574803],0
v2,1,0.041434,4.158166,[56 56] ; [315 206],[65.64296998 46.35703002] ; [305.35703002 215.64296998],0
p10,1,0.067506,3.342645,[112   4] ; [492  45],[107.29555896   8.70444104] ; [496.70444104  40.29555896],0
s1,1,0.078501,3.095661,[  6 109] ; [ 12 522],[  3.18952234 111.81047766] ; [ 14.81047766 519.18952234],0
s7,1,0.08218,3.021252,[69 45] ; [266 250],[60.61904762 53.38095238] ; [274.38095238 241.61904762],0
d3,1,0.091424,2.849122,[88 27] ; [371 170],[80.46493902 34.53506098] ; [378.53506098 162.46493902],0
u2,1,0.113315,2.507367,[14 21] ; [78 64],[18.1920904 16.8079096] ; [73.8079096 68.1920904],0
n5,1,0.141754,2.158816,[89 27] ; [445  94],[94.57099237 21.42900763] ; [439.42900763  99.57099237],0
p11,1,0.142683,2.148788,[93 23] ; [463  78],[98.1674277 17.8325723] ; [457.8325723  83.1674277],0
v1,1,0.164315,1.93406,[59 57] ; [303 220],[65.71517997 50.28482003] ; [296.28482003 226.71517997],0
u4,1,0.197075,1.663921,[  1 115] ; [ 16 525],[  3.00152207 112.99847793] ; [ 13.99847793 527.00152207],0
n1,1,0.202929,1.621169,[ 7 20] ; [43 67],[ 9.8540146 17.1459854] ; [40.1459854 69.8540146],0
p5,1,0.249988,1.323373,[ 12 104] ; [ 77 458],[ 15.85867896 100.14132104] ; [ 73.14132104 461.85867896],0
s8,1,0.283092,1.152186,[62 54] ; [258 280],[56.75840979 59.24159021] ; [263.24159021 274.75840979],0
a1,1,0.290898,1.115462,[  3 113] ; [ 26 515],[  5.12024353 110.87975647] ; [ 23.87975647 517.12024353],0
a3,1,0.343503,0.897313,[81 35] ; [398 139],[85.09035222 30.90964778] ; [393.90964778 143.09035222],0
n3,1,0.349999,0.873459,[22  5] ; [80 30],[20.10218978  6.89781022] ; [81.89781022 28.10218978],0
d4,1,0.384859,0.755123,[93 23] ; [451  89],[96.19512195 19.80487805] ; [447.80487805  92.19512195],0
p7,1,0.405943,0.690651,[79 34] ; [349 181],[75.21617418 37.78382582] ; [352.78382582 177.21617418],0
a7,1,0.459406,0.547341,[80 35] ; [394 146],[83.22137405 31.77862595] ; [390.77862595 149.22137405],0
a5,1,0.540818,0.374025,[91 25] ; [410 131],[88.456621 27.543379] ; [412.543379 128.456621],0
d5,1,0.541901,0.372028,[92 23] ; [445  95],[94.28244275 20.71755725] ; [442.71755725  97.28244275],0
a2,1,0.563837,0.333104,[26 90] ; [135 406],[28.4261796 87.5738204] ; [132.5738204 408.4261796],0
p3,1,0.59381,0.284434,[60 56] ; [294 246],[62.59756098 53.40243902] ; [291.40243902 248.59756098],0
r3,1,0.594102,0.283984,[110   5] ; [521  18],[110.95565749   4.04434251] ; [520.04434251  18.95565749],0
a4,1,0.601517,0.272713,[52 64] ; [256 283],[54.54656489 61.45343511] ; [253.45343511 285.54656489],0
n2,1,0.610103,0.260025,[21  6] ; [81 30],[19.95652174  7.04347826] ; [82.04347826 28.95652174],0
u3,1,0.674631,0.176233,[20 15] ; [75 66],[18.89204545 16.10795455] ; [76.10795455 64.89204545],0
p12,1,0.683683,0.166009,[ 10 106] ; [ 53 485],[ 11.17431193 104.82568807] ; [ 51.82568807 486.17431193],0
r4,1,0.700883,0.147555,[108   8] ; [498  43],[106.99543379   9.00456621] ; [499.00456621  41.99543379],0
d1,1,0.717331,0.131064,[72 44] ; [326 215],[70.27092846 45.72907154] ; [327.72907154 213.27092846],0
u1,1,0.73645,0.113271,[23 93] ; [100 441],[21.71689498 94.28310502] ; [101.28310502 439.71689498],0
b4,1,0.764251,0.089942,[66 50] ; [316 225],[67.44596651 48.55403349] ; [314.55403349 226.44596651],0
b5,1,0.783755,0.075312,[70 46] ; [319 222],[68.68188737 47.31811263] ; [320.31811263 220.68188737],0
p6,1,0.786801,0.073152,[48 67] ; [216 319],[46.70769231 68.29230769] ; [217.29230769 317.70769231],0
r2,1,0.812136,0.056488,[110   5] ; [508  26],[109.50693374   5.49306626] ; [508.49306626  25.50693374],0
a6,1,0.818861,0.052446,[78 38] ; [369 171],[79.04268293 36.95731707] ; [367.95731707 172.04268293],0
b1,1,0.854943,0.033421,[38 78] ; [182 359],[38.84322679 77.15677321] ; [181.15677321 359.84322679],0
r1,1,0.87372,0.02526,[92 24] ; [431 108],[92.62290076 23.37709924] ; [430.37709924 108.62290076],0
v4,1,0.888768,0.019562,[112   4] ; [518  20],[111.74311927   4.25688073] ; [518.25688073  19.74311927],0
d2,1,0.894755,0.017501,[57 59] ; [269 271],[57.64634146 58.35365854] ; [268.35365854 271.64634146],0
p8,1,0.906395,0.013827,[64 50] ; [303 231],[64.56481481 49.43518519] ; [302.43518519 231.56481481],0
p1,1,0.949358,0.004034,[ 11 105] ; [ 50 488],[ 10.81957187 105.18042813] ; [ 50.18042813 487.81957187],0
p4,1,0.9746,0.001014,[74 42] ; [343 196],[73.85038168 42.14961832] ; [343.14961832 195.85038168],0
