Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,0.001379,10.233998,[18  5] ; [31 46],[11.27 11.73] ; [37.73 39.27],0
p3,1,0.002033,9.519641,[11 12] ; [13 65],[ 5.46534653 17.53465347] ; [18.53465347 59.46534653],0
s7,1,0.009109,6.801262,[ 8 15] ; [ 8 63],[ 3.91489362 19.08510638] ; [12.08510638 58.91489362],0
p2,1,0.014003,6.037791,[16  7] ; [32 47],[10.82352941 12.17647059] ; [37.17647059 41.82352941],0
p7,1,0.023268,5.148402,[12 11] ; [21 57],[ 7.51485149 15.48514851] ; [25.48514851 52.51485149],0
s8,1,0.028729,4.783805,[ 5 18] ; [ 5 74],[ 2.25490196 20.74509804] ; [ 7.74509804 71.25490196],0
v4,1,0.05462,3.693663,[20  3] ; [51 26],[16.33  6.67] ; [54.67 22.33],0
d2,1,0.068805,3.311311,[ 6 17] ; [37 41],[ 9.79207921 13.20792079] ; [33.20792079 44.79207921],0
b4,1,0.097213,2.750688,[ 8 15] ; [43 36],[11.5 11.5] ; [39.5 39.5],0
p6,1,0.111151,2.537782,[ 7 16] ; [12 65],[ 4.37 18.63] ; [14.63 62.37],0
p8,1,0.116379,2.46539,[ 8 14] ; [16 63],[ 5.22772277 16.77227723] ; [18.77227723 60.22772277],0
n4,1,0.123711,2.369695,[10 13] ; [48 30],[13.20792079  9.79207921] ; [44.79207921 33.20792079],0
r4,1,0.161682,1.958422,[14  9] ; [35 44],[11.04901961 11.95098039] ; [37.95098039 41.04901961],0
v2,1,0.189468,1.72175,[ 8 15] ; [16 59],[ 5.63265306 17.36734694] ; [18.36734694 56.63265306],0
r3,1,0.193725,1.689057,[17  6] ; [46 32],[14.34653465  8.65346535] ; [48.65346535 29.34653465],0
u3,1,0.252023,1.312055,[5 6] ; [ 8 22],[3.48780488 7.51219512] ; [ 9.51219512 20.48780488],0
d1,1,0.277953,1.177071,[ 7 16] ; [34 45],[ 9.24509804 13.75490196] ; [31.75490196 47.24509804],0
s2,1,0.279171,1.171123,[ 5 18] ; [10 69],[ 3.38235294 19.61764706] ; [11.61764706 67.38235294],0
a7,1,0.285924,1.138716,[16  7] ; [44 33],[13.8  9.2] ; [46.2 30.8],0
d5,1,0.301788,1.066277,[12 11] ; [50 28],[14.11881188  8.88118812] ; [47.88118812 30.11881188],0
b5,1,0.327044,0.960568,[16  7] ; [46 33],[13.98039216  9.01960784] ; [48.01960784 30.98039216],0
a1,1,0.389843,0.739432,[ 1 22] ; [ 8 71],[ 2.02941176 20.97058824] ; [ 6.97058824 72.02941176],0
a4,1,0.418027,0.655855,[ 7 16] ; [31 47],[ 8.65346535 14.34653465] ; [29.34653465 48.65346535],0
b3,1,0.422852,0.642375,[4 9] ; [19 25],[5.24561404 7.75438596] ; [17.75438596 26.24561404],0
b2,1,0.422852,0.642375,[4 9] ; [19 25],[5.24561404 7.75438596] ; [17.75438596 26.24561404],0
a3,1,0.439369,0.597929,[12 10] ; [49 28],[13.55555556  8.44444444] ; [47.44444444 29.55555556],0
s3,1,0.464074,0.536052,[ 8 15] ; [21 57],[ 6.6039604 16.3960396] ; [22.3960396 55.6039604],0
n3,1,0.497727,0.459779,[3 2] ; [14 18],[2.2972973 2.7027027] ; [14.7027027 17.2972973],0
d3,1,0.519045,0.41579,[14  9] ; [41 36],[12.65 10.35] ; [42.35 34.65],0
u1,1,0.552735,0.35244,[ 3 20] ; [ 7 72],[ 2.25490196 20.74509804] ; [ 7.74509804 71.25490196],0
n5,1,0.562155,0.335987,[12 11] ; [46 32],[13.20792079  9.79207921] ; [44.79207921 33.20792079],0
u2,1,0.574103,0.315865,[3 8] ; [11 19],[3.75609756 7.24390244] ; [10.24390244 19.75609756],0
n2,1,0.632585,0.228571,[3 2] ; [17 18],[2.5 2.5] ; [17.5 17.5],0
r2,1,0.632661,0.22847,[16  6] ; [59 17],[16.83673469  5.16326531] ; [58.16326531 17.83673469],0
s5,1,0.641927,0.216231,[ 1 20] ; [ 6 72],[ 1.48484848 19.51515152] ; [ 5.51515152 72.48484848],0
a2,1,0.663169,0.189696,[ 5 18] ; [14 65],[ 4.28431373 18.71568627] ; [14.71568627 64.28431373],0
d4,1,0.691141,0.157853,[14  9] ; [51 27],[14.8019802  8.1980198] ; [50.1980198 27.8019802],0
a6,1,0.71526,0.13308,[13 10] ; [48 31],[13.75490196  9.24509804] ; [47.24509804 31.75490196],0
p10,1,0.801807,0.063006,[ 8 15] ; [29 48],[ 8.51 14.49] ; [28.49 48.51],0
b1,1,0.81271,0.056136,[11 12] ; [40 39],[11.5 11.5] ; [39.5 39.5],0
a5,1,0.848476,0.036505,[12 11] ; [43 36],[12.40196078 10.59803922] ; [42.59803922 36.40196078],0
v3,1,0.888984,0.019485,[ 5 17] ; [16 59],[ 4.7628866 17.2371134] ; [16.2371134 58.7628866],0
r1,1,0.897878,0.016472,[11 12] ; [38 39],[11.27 11.73] ; [37.73 39.27],0
n1,1,0.939633,0.005735,[2 3] ; [13 21],[1.92307692 3.07692308] ; [13.07692308 20.92307692],0
s4,1,0.961111,0.002377,[ 3 20] ; [10 69],[ 2.93137255 20.06862745] ; [10.06862745 68.93137255],0
v1,1,0.965713,0.001848,[ 6 17] ; [20 58],[ 5.92079208 17.07920792] ; [20.07920792 57.92079208],0
s1,1,0.967113,0.0017,[ 2 21] ; [ 7 71],[ 2.04950495 20.95049505] ; [ 6.95049505 71.04950495],0
p9,1,0.984148,0.000395,[10 13] ; [32 42],[ 9.95876289 13.04123711] ; [32.04123711 41.95876289],0
