Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.004691,7.994947,[ 1 27] ; [12 26],[ 5.51515152 22.48484848] ; [ 7.48484848 30.51515152],0
p2,1,0.005616,7.669701,[12 16] ; [29  9],[17.39393939 10.60606061] ; [23.60606061 14.39393939],0
u2,1,0.009344,6.755844,[ 4 10] ; [16  6],[7.77777778 6.22222222] ; [12.22222222  9.77777778],0
r3,1,0.021339,5.298874,[14 13] ; [30  8],[18.27692308  8.72307692] ; [25.72307692 12.27692308],0
d3,1,0.022589,5.199808,[ 9 19] ; [23 15],[13.57575758 14.42424242] ; [18.42424242 19.57575758],0
u3,1,0.027449,4.862338,[ 1 13] ; [ 9 13],[ 3.88888889 10.11111111] ; [ 6.11111111 15.88888889],0
d5,1,0.032584,4.567481,[11 17] ; [25 13],[15.27272727 12.72727273] ; [20.72727273 17.27272727],0
p8,1,0.07822,3.101504,[ 6 22] ; [16 22],[ 9.33333333 18.66666667] ; [12.66666667 25.33333333],0
p7,1,0.097415,2.74736,[ 9 19] ; [20 18],[12.3030303 15.6969697] ; [16.6969697 21.3030303],0
b4,1,0.097415,2.74736,[19  9] ; [18 20],[15.6969697 12.3030303] ; [21.3030303 16.6969697],0
s5,1,0.111116,2.538277,[ 1 27] ; [ 6 32],[ 2.96969697 25.03030303] ; [ 4.03030303 33.96969697],0
s4,1,0.11524,2.480843,[ 3 25] ; [10 28],[ 5.51515152 22.48484848] ; [ 7.48484848 30.51515152],0
p9,1,0.139547,2.182952,[12 14] ; [24 13],[14.85714286 11.14285714] ; [21.14285714 15.85714286],0
p4,1,0.146858,2.104592,[ 9 19] ; [19 19],[11.87878788 16.12121212] ; [16.12121212 21.87878788],0
s7,1,0.15402,2.031977,[ 4 21] ; [11 23],[ 6.3559322 18.6440678] ; [ 8.6440678 25.3559322],0
p1,1,0.173795,1.849897,[ 3 25] ; [ 1 37],[ 1.6969697 26.3030303] ; [ 2.3030303 35.6969697],0
s6,1,0.180885,1.790339,[ 8 20] ; [17 21],[10.60606061 17.39393939] ; [14.39393939 23.60606061],0
b1,1,0.19725,1.662618,[14 14] ; [25 13],[16.54545455 11.45454545] ; [22.45454545 15.54545455],0
p11,1,0.19725,1.662618,[14 14] ; [25 13],[16.54545455 11.45454545] ; [22.45454545 15.54545455],0
a8,1,0.206576,1.595264,[ 5 21] ; [ 3 33],[ 3.35483871 22.64516129] ; [ 4.64516129 31.35483871],0
p10,1,0.220407,1.50172,[11 15] ; [22 16],[13.40625 12.59375] ; [19.59375 18.40625],0
n4,1,0.247804,1.335641,[18 10] ; [19 19],[15.6969697 12.3030303] ; [21.3030303 16.6969697],0
a5,1,0.255626,1.292293,[15 13] ; [15 23],[12.72727273 15.27272727] ; [17.27272727 20.72727273],0
p3,1,0.271187,1.210731,[ 5 23] ; [11 26],[ 6.89230769 21.10769231] ; [ 9.10769231 27.89230769],0
a4,1,0.308552,1.036863,[ 9 19] ; [ 8 30],[ 7.21212121 20.78787879] ; [ 9.78787879 28.21212121],0
n1,1,0.318388,0.995556,[4 6] ; [ 4 14],[2.85714286 7.14285714] ; [ 5.14285714 12.85714286],0
a7,1,0.319137,0.992481,[12 16] ; [21 17],[14. 14.] ; [19. 19.],0
v2,1,0.368963,0.807153,[ 8 19] ; [15 22],[ 9.703125 17.296875] ; [13.296875 23.703125],0
p12,1,0.384528,0.756176,[ 2 26] ; [ 1 37],[ 1.27272727 26.72727273] ; [ 1.72727273 36.27272727],0
a6,1,0.387609,0.746429,[11 17] ; [19 19],[12.72727273 15.27272727] ; [17.27272727 20.72727273],0
s1,1,0.408157,0.684161,[ 3 25] ; [ 2 36],[ 2.12121212 25.87878788] ; [ 2.87878788 35.12121212],0
a3,1,0.437299,0.60336,[14 13] ; [16 22],[12.46153846 14.53846154] ; [17.53846154 20.46153846],0
n5,1,0.461235,0.542896,[18 10] ; [21 17],[16.54545455 11.45454545] ; [22.45454545 15.54545455],0
r1,1,0.481157,0.496241,[ 8 20] ; [14 24],[ 9.33333333 18.66666667] ; [12.66666667 25.33333333],0
s8,1,0.489975,0.476582,[ 6 22] ; [11 27],[ 7.21212121 20.78787879] ; [ 9.78787879 28.21212121],0
p6,1,0.490819,0.474731,[ 4 23] ; [ 8 29],[ 5.0625 21.9375] ; [ 6.9375 30.0625],0
b5,1,0.513187,0.427562,[17 11] ; [20 18],[15.6969697 12.3030303] ; [21.3030303 16.6969697],0
d4,1,0.516075,0.421729,[17 11] ; [26 12],[18.24242424  9.75757576] ; [24.75757576 13.24242424],0
n3,1,0.56917,0.324074,[5 5] ; [11  7],[5.71428571 4.28571429] ; [10.28571429  7.71428571],0
b2,1,0.583411,0.300752,[ 4 15] ; [ 6 15],[ 4.75 14.25] ; [ 5.25 15.75],0
b3,1,0.583411,0.300752,[ 4 15] ; [ 6 15],[ 4.75 14.25] ; [ 5.25 15.75],0
n6,1,0.629114,0.233265,[14 13] ; [22 16],[14.95384615 12.04615385] ; [21.04615385 16.95384615],0
d1,1,0.647033,0.209662,[ 6 22] ; [10 28],[ 6.78787879 21.21212121] ; [ 9.21212121 28.78787879],0
d2,1,0.653629,0.201356,[ 8 20] ; [ 9 29],[ 7.21212121 20.78787879] ; [ 9.78787879 28.21212121],0
s3,1,0.688867,0.160314,[ 7 19] ; [12 26],[ 7.71875 18.28125] ; [11.28125 26.71875],0
v1,1,0.780106,0.077942,[ 9 19] ; [11 27],[ 8.48484848 19.51515152] ; [11.51515152 26.48484848],0
a1,1,0.909168,0.013016,[ 2 26] ; [ 3 35],[ 2.12121212 25.87878788] ; [ 2.87878788 35.12121212],0
v3,1,0.953188,0.003446,[ 5 23] ; [ 7 31],[ 5.09090909 22.90909091] ; [ 6.90909091 31.09090909],0
n2,1,0.954001,0.003327,[6 4] ; [11  7],[6.07142857 3.92857143] ; [10.92857143  7.07142857],0
s2,1,0.971884,0.001242,[ 7 20] ; [10 28],[ 7.06153846 19.93846154] ; [ 9.93846154 28.06153846],0
