Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,1.2e-05,19.137663,[59 22] ; [ 9 23],[48.74336283 32.25663717] ; [19.25663717 12.74336283],1
a4,1,7.9e-05,15.57523,[40 41] ; [ 3 29],[30.82300885 50.17699115] ; [12.17699115 19.82300885],1
r1,1,0.001346,10.278687,[66 14] ; [17 15],[59.28571429 20.71428571] ; [23.71428571  8.28571429],0
d2,1,0.003767,8.392849,[42 39] ; [ 7 25],[35.12389381 45.87610619] ; [13.87610619 18.12389381],0
r2,1,0.005132,7.832168,[75  5] ; [24  8],[70.71428571  9.28571429] ; [28.28571429  3.71428571],0
r4,1,0.005154,7.824685,[73  8] ; [22 10],[68.09734513 12.90265487] ; [26.90265487  5.09734513],0
p9,1,0.006576,7.385179,[63 18] ; [16 15],[57.13392857 23.86607143] ; [21.86607143  9.13392857],0
d1,1,0.009877,6.657016,[52 29] ; [12 20],[45.87610619 35.12389381] ; [18.12389381 13.87610619],0
v2,1,0.011655,6.362639,[44 33] ; [ 9 21],[38.14018692 38.85981308] ; [14.85981308 15.14018692],0
s6,1,0.021731,5.267193,[56 24] ; [15 17],[50.71428571 29.28571429] ; [20.28571429 11.71428571],0
d4,1,0.029583,4.733335,[70 11] ; [22 10],[65.94690265 15.05309735] ; [26.05309735  5.94690265],0
p10,1,0.067999,3.330674,[59 22] ; [17 14],[54.96428571 26.03571429] ; [21.03571429  9.96428571],0
d5,1,0.071179,3.255626,[66 15] ; [21 11],[62.36283186 18.63716814] ; [24.63716814  7.36283186],0
b3,1,0.101294,2.685046,[17 36] ; [ 2 15],[14.38571429 38.61428571] ; [ 4.61428571 12.38571429],0
b2,1,0.101294,2.685046,[17 36] ; [ 2 15],[14.38571429 38.61428571] ; [ 4.61428571 12.38571429],0
p6,1,0.110351,2.549193,[36 45] ; [ 9 23],[32.25663717 48.74336283] ; [12.74336283 19.25663717],0
v1,1,0.116744,2.460467,[34 45] ; [ 8 22],[30.44036697 48.55963303] ; [11.55963303 18.44036697],0
d3,1,0.14183,2.157986,[66 15] ; [22 10],[63.07964602 17.92035398] ; [24.92035398  7.07964602],0
s2,1,0.151233,2.05977,[42 38] ; [12 20],[38.57142857 41.42857143] ; [15.42857143 16.57142857],0
n4,1,0.160892,1.965825,[37 44] ; [10 22],[33.69026549 47.30973451] ; [13.30973451 18.69026549],0
p3,1,0.164826,1.929379,[52 29] ; [16 16],[48.74336283 32.25663717] ; [19.25663717 12.74336283],0
s8,1,0.171858,1.866663,[34 47] ; [ 9 23],[30.82300885 50.17699115] ; [12.17699115 19.82300885],0
a6,1,0.179573,1.801151,[54 27] ; [17 15],[50.89380531 30.10619469] ; [20.10619469 11.89380531],0
a7,1,0.182669,1.775772,[63 18] ; [21 11],[60.21238938 20.78761062] ; [23.78761062  8.21238938],0
u3,1,0.205724,1.601266,[17  4] ; [14  8],[15.13953488  5.86046512] ; [15.86046512  6.13953488],0
r3,1,0.225759,1.467382,[78  3] ; [29  3],[76.69911504  4.30088496] ; [30.30088496  1.69911504],0
s7,1,0.239928,1.381019,[33 45] ; [ 9 21],[30.33333333 47.66666667] ; [11.66666667 18.33333333],0
p7,1,0.26179,1.259267,[57 24] ; [19 13],[54.47787611 26.52212389] ; [21.52212389 10.47787611],0
p11,1,0.26179,1.259267,[57 24] ; [19 13],[54.47787611 26.52212389] ; [21.52212389 10.47787611],0
b5,1,0.292133,1.109766,[47 34] ; [22 10],[49.46017699 31.53982301] ; [19.53982301 12.46017699],0
v4,1,0.30292,1.061295,[74  7] ; [31  1],[75.26548673  5.73451327] ; [29.73451327  2.26548673],0
u2,1,0.352972,0.862745,[12 10] ; [15  7],[13.5  8.5] ; [13.5  8.5],0
b4,1,0.362819,0.828113,[53 28] ; [18 14],[50.89380531 30.10619469] ; [20.10619469 11.89380531],0
p2,1,0.36678,0.814545,[66 14] ; [24  8],[64.28571429 15.71428571] ; [25.71428571  6.28571429],0
p8,1,0.371137,0.799855,[43 38] ; [14 18],[40.85840708 40.14159292] ; [16.14159292 15.85840708],0
a1,1,0.394864,0.723912,[ 6 75] ; [ 1 31],[ 5.01769912 75.98230088] ; [ 1.98230088 30.01769912],0
p5,1,0.394864,0.723912,[ 6 75] ; [ 1 31],[ 5.01769912 75.98230088] ; [ 1.98230088 30.01769912],0
v3,1,0.431783,0.618022,[22 56] ; [ 6 23],[20.41121495 57.58878505] ; [ 7.58878505 21.41121495],0
s5,1,0.504039,0.446423,[26 52] ; [ 8 22],[24.55555556 53.44444444] ; [ 9.44444444 20.55555556],0
s1,1,0.515046,0.423802,[ 5 76] ; [ 1 31],[ 4.30088496 76.69911504] ; [ 1.69911504 30.30088496],0
s4,1,0.611258,0.258347,[16 65] ; [ 5 27],[15.05309735 65.94690265] ; [ 5.94690265 26.05309735],0
n2,1,0.616311,0.251087,[14  9] ; [7 3],[14.63636364  8.36363636] ; [6.36363636 3.63636364],0
p1,1,0.62607,0.237428,[10 69] ; [ 3 29],[ 9.25225225 69.74774775] ; [ 3.74774775 28.25225225],0
s3,1,0.697308,0.151287,[42 38] ; [15 16],[41.08108108 38.91891892] ; [15.91891892 15.08108108],0
n3,1,0.721948,0.126634,[18  5] ; [8 3],[17.58823529  5.41176471] ; [8.41176471 2.58823529],0
n6,1,0.756454,0.096187,[50 30] ; [21 11],[50.71428571 29.28571429] ; [20.28571429 11.71428571],0
a8,1,0.793302,0.068657,[ 6 68] ; [ 3 28],[ 6.34285714 67.65714286] ; [ 2.65714286 28.34285714],0
b1,1,0.895609,0.017216,[34 47] ; [13 19],[33.69026549 47.30973451] ; [13.30973451 18.69026549],0
n1,1,0.941553,0.005375,[ 6 17] ; [3 8],[ 6.08823529 16.91176471] ; [2.91176471 8.08823529],0
