Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,65.572818,[ 6 33] ; [105  19],[26.55828221 12.44171779] ; [84.44171779 39.55828221],1
r3,1,0.0,31.412259,[17 22] ; [108  16],[29.90797546  9.09202454] ; [95.09202454 28.90797546],1
r2,1,0.0,28.969989,[20 16] ; [114   9],[30.33962264  5.66037736] ; [103.66037736  19.33962264],1
r1,1,2e-06,22.65013,[13 26] ; [93 31],[25.36196319 13.63803681] ; [80.63803681 43.36196319],1
p10,1,5.5e-05,16.274477,[ 9 29] ; [74 47],[19.83647799 18.16352201] ; [63.16352201 57.83647799],1
n6,1,0.00012,14.790041,[15 23] ; [91 33],[24.86419753 13.13580247] ; [81.13580247 42.86419753],1
p9,1,0.000368,12.686018,[10 27] ; [72 47],[19.44871795 17.55128205] ; [62.55128205 56.44871795],1
p1,1,0.003701,8.425065,[ 7 32] ; [  5 119],[ 2.87116564 36.12883436] ; [  9.12883436 114.87116564],0
s6,1,0.004137,8.222573,[ 9 30] ; [60 62],[16.71428571 22.28571429] ; [52.28571429 69.71428571],0
s2,1,0.004506,8.0679,[ 6 33] ; [49 73],[13.32298137 25.67701863] ; [41.67701863 80.32298137],0
u3,1,0.004586,8.035766,[ 3 13] ; [27 18],[7.86885246 8.13114754] ; [22.13114754 22.86885246],0
s8,1,0.006943,7.287607,[ 4 35] ; [40 84],[10.52760736 28.47239264] ; [33.47239264 90.52760736],0
p11,1,0.007004,7.271938,[13 26] ; [72 52],[20.33742331 18.66257669] ; [64.66257669 59.33742331],0
n2,1,0.009896,6.653571,[ 9 12] ; [36 12],[13.69565217  7.30434783] ; [31.30434783 16.69565217],0
b5,1,0.026004,4.955726,[16 23] ; [76 48],[22.01226994 16.98773006] ; [69.98773006 54.01226994],0
v2,1,0.038457,4.284684,[10 28] ; [53 64],[15.44516129 22.55483871] ; [47.55483871 69.44516129],0
u2,1,0.042498,4.11526,[ 4 12] ; [24 20],[7.46666667 8.53333333] ; [20.53333333 23.46666667],0
a7,1,0.051409,3.794906,[18 21] ; [79 45],[23.20858896 15.79141104] ; [73.79141104 50.20858896],0
a6,1,0.056155,3.647468,[17 22] ; [75 48],[22.14814815 16.85185185] ; [69.85185185 53.14814815],0
s3,1,0.064338,3.421873,[11 27] ; [56 66],[15.9125 22.0875] ; [51.0875 70.9125],0
u1,1,0.079492,3.075267,[ 2 37] ; [ 20 104],[ 5.26380368 33.73619632] ; [ 16.73619632 107.26380368],0
d3,1,0.083257,3.000152,[16 23] ; [70 53],[20.7037037 18.2962963] ; [65.2962963 57.7037037],0
s1,1,0.085462,2.95784,[ 6 33] ; [  8 115],[ 3.37037037 35.62962963] ; [ 10.62962963 112.37037037],0
a2,1,0.091028,2.856094,[ 4 35] ; [28 96],[ 7.65644172 31.34355828] ; [24.34355828 99.65644172],0
d5,1,0.096707,2.75903,[22 17] ; [87 36],[26.24074074 12.75925926] ; [82.75925926 40.24074074],0
n3,1,0.099825,2.708333,[ 9 11] ; [30 15],[12.  8.] ; [27. 18.],0
a8,1,0.105811,2.615694,[ 6 33] ; [  8 109],[ 3.5 35.5] ; [ 10.5 106.5],0
v1,1,0.113675,2.502367,[ 8 30] ; [42 79],[11.94968553 26.05031447] ; [38.05031447 82.94968553],0
s5,1,0.117645,2.4484,[ 4 35] ; [25 91],[ 7.29677419 31.70322581] ; [21.70322581 94.29677419],0
p4,1,0.132648,2.261235,[ 6 33] ; [33 88],[ 9.50625 29.49375] ; [29.49375 91.50625],0
a1,1,0.180215,1.795852,[ 6 33] ; [ 10 114],[ 3.82822086 35.17177914] ; [ 12.17177914 111.82822086],0
a5,1,0.196444,1.668619,[21 18] ; [81 43],[24.40490798 14.59509202] ; [77.59509202 46.40490798],0
s7,1,0.218286,1.515603,[ 8 28] ; [38 77],[10.96688742 25.03311258] ; [35.03311258 79.96688742],0
n1,1,0.227752,1.454844,[12  9] ; [19 27],[ 9.71641791 11.28358209] ; [21.28358209 24.71641791],0
a4,1,0.251828,1.313132,[13 25] ; [55 68],[16.04968944 21.95031056] ; [51.95031056 71.04968944],0
d2,1,0.272446,1.204391,[21 17] ; [55 67],[18.05 19.95] ; [57.95 64.05],0
p3,1,0.272779,1.202719,[ 7 32] ; [33 91],[ 9.57055215 29.42944785] ; [30.42944785 93.57055215],0
v3,1,0.277615,1.178727,[10 29] ; [40 74],[12.74509804 26.25490196] ; [37.25490196 76.74509804],0
d4,1,0.319907,0.989327,[26 13] ; [92 31],[28.40740741 10.59259259] ; [89.59259259 33.40740741],0
s4,1,0.332424,0.939431,[ 5 34] ; [24 98],[ 7.02484472 31.97515528] ; [ 21.97515528 100.02484472],0
p7,1,0.35273,0.863611,[ 7 32] ; [30 89],[ 9.13291139 29.86708861] ; [27.86708861 91.13291139],0
b4,1,0.362543,0.829064,[24 15] ; [66 58],[21.53374233 17.46625767] ; [68.46625767 55.53374233],0
n4,1,0.418752,0.653814,[27 12] ; [77 47],[24.88343558 14.11656442] ; [79.11656442 44.88343558],0
p5,1,0.43273,0.615484,[ 1 37] ; [  7 113],[ 1.92405063 36.07594937] ; [  6.07594937 113.92405063],0
p8,1,0.578872,0.308062,[ 5 33] ; [ 21 103],[ 6.09876543 31.90123457] ; [ 19.90123457 104.09876543],0
d1,1,0.600687,0.273961,[17 22] ; [60 64],[18.42331288 20.57668712] ; [58.57668712 65.42331288],0
b2,1,0.663767,0.18898,[11 17] ; [26 49],[10.05825243 17.94174757] ; [26.94174757 48.05825243],0
b3,1,0.663767,0.18898,[11 17] ; [26 49],[10.05825243 17.94174757] ; [26.94174757 48.05825243],0
a3,1,0.678952,0.171308,[23 15] ; [79 44],[24.07453416 13.92546584] ; [77.92546584 45.07453416],0
n5,1,0.761051,0.092477,[24 15] ; [79 44],[24.7962963 14.2037037] ; [78.2037037 44.7962963],0
u4,1,0.834433,0.043689,[ 1 38] ; [  4 120],[ 1.19631902 37.80368098] ; [  3.80368098 120.19631902],0
b1,1,0.958672,0.002685,[19 20] ; [61 63],[19.14110429 19.85889571] ; [60.85889571 63.14110429],0
