Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.003379,8.590672,[56 27] ; [ 5 12],[50.63 32.37] ; [10.37  6.63],0
s2,1,0.006192,7.493588,[15 67] ; [8 8],[19.24489796 62.75510204] ; [ 3.75510204 12.24489796],0
s6,1,0.009402,6.744854,[26 57] ; [11  6],[30.71 52.29] ; [ 6.29 10.71],0
b5,1,0.016577,5.740609,[37 46] ; [13  4],[41.5 41.5] ; [8.5 8.5],0
d4,1,0.032278,4.583659,[64 18] ; [9 8],[60.46464646 21.53535354] ; [12.53535354  4.46464646],0
u3,1,0.063305,3.44861,[13 18] ; [5 1],[15.08108108 15.91891892] ; [2.91891892 3.08108108],0
s3,1,0.105751,2.616593,[24 58] ; [8 8],[26.7755102 55.2244898] ; [ 5.2244898 10.7755102],0
s1,1,0.111794,2.528674,[ 5 77] ; [ 3 14],[ 6.62626263 75.37373737] ; [ 1.37373737 15.62626263],0
r3,1,0.124694,2.357348,[63 19] ; [10  7],[60.46464646 21.53535354] ; [12.53535354  4.46464646],0
r1,1,0.269691,1.218319,[60 23] ; [10  7],[58.1 24.9] ; [11.9  5.1],0
n6,1,0.286282,1.137024,[47 36] ; [12  5],[48.97 34.03] ; [10.03  6.97],0
a2,1,0.304819,1.052994,[19 64] ; [ 2 15],[17.43 65.57] ; [ 3.57 13.43],0
p3,1,0.310987,1.026479,[15 66] ; [ 5 12],[16.53061224 64.46938776] ; [ 3.46938776 13.53061224],0
b3,1,0.32484,0.969359,[22 34] ; [2 7],[20.67692308 35.32307692] ; [3.32307692 5.67692308],0
b2,1,0.32484,0.969359,[22 34] ; [2 7],[20.67692308 35.32307692] ; [3.32307692 5.67692308],0
p11,1,0.328002,0.956768,[35 48] ; [ 5 12],[33.2 49.8] ; [ 6.8 10.2],0
a7,1,0.36444,0.822535,[53 29] ; [9 8],[51.35353535 30.64646465] ; [10.64646465  6.35353535],0
s7,1,0.415228,0.663781,[18 59] ; [ 5 10],[19.25 57.75] ; [ 3.75 11.25],0
p8,1,0.459163,0.547935,[10 73] ; [ 1 16],[ 9.13 73.87] ; [ 1.87 15.13],0
v1,1,0.46221,0.540538,[22 61] ; [ 6 11],[23.24 59.76] ; [ 4.76 12.24],0
d2,1,0.478995,0.50115,[40 41] ; [10  7],[41.32653061 39.67346939] ; [8.67346939 8.32653061],0
n2,1,0.497225,0.460853,[20 15] ; [5 6],[19.02173913 15.97826087] ; [5.97826087 5.02173913],0
p2,1,0.514339,0.42523,[32 51] ; [8 9],[33.2 49.8] ; [ 6.8 10.2],0
a5,1,0.514339,0.42523,[51 32] ; [9 8],[49.8 33.2] ; [10.2  6.8],0
r4,1,0.514339,0.42523,[51 32] ; [9 8],[49.8 33.2] ; [10.2  6.8],0
u1,1,0.531733,0.391079,[10 73] ; [ 3 14],[10.79 72.21] ; [ 2.21 14.79],0
v2,1,0.550822,0.355846,[30 51] ; [ 5 12],[28.92857143 52.07142857] ; [ 6.07142857 10.92857143],0
v3,1,0.572955,0.317763,[24 55] ; [ 4 13],[23.04166667 55.95833333] ; [ 4.95833333 12.04166667],0
n1,1,0.623743,0.240642,[12 22] ; [3 8],[11.33333333 22.66666667] ; [3.66666667 7.33333333],0
b1,1,0.654439,0.200349,[44 39] ; [8 9],[43.16 39.84] ; [8.84 8.16],0
a1,1,0.661957,0.191155,[ 7 76] ; [ 2 15],[ 7.47 75.53] ; [ 1.53 15.47],0
u2,1,0.694443,0.154317,[13 18] ; [2 4],[12.56756757 18.43243243] ; [2.43243243 3.56756757],0
d3,1,0.710612,0.137666,[48 35] ; [9 8],[47.31 35.69] ; [9.69 7.31],0
a4,1,0.740437,0.109743,[35 47] ; [8 9],[35.61616162 46.38383838] ; [7.38383838 9.61616162],0
p10,1,0.757314,0.095487,[12 70] ; [ 2 15],[11.5959596 70.4040404] ; [ 2.4040404 14.5959596],0
v4,1,0.773491,0.082835,[60 23] ; [11  5],[59.52525253 23.47474747] ; [11.47474747  4.52525253],0
n3,1,0.79473,0.06769,[16 16] ; [6 5],[16.37209302 15.62790698] ; [5.62790698 5.37209302],0
d1,1,0.860499,0.030884,[41 42] ; [8 9],[40.67 42.33] ; [8.33 8.67],0
d5,1,0.877846,0.023624,[62 21] ; [13  4],[62.25 20.75] ; [12.75  4.25],0
n4,1,0.901603,0.015286,[55 28] ; [11  6],[54.78 28.22] ; [11.22  5.78],0
p4,1,0.909585,0.012896,[23 59] ; [ 5 12],[23.19191919 58.80808081] ; [ 4.80808081 12.19191919],0
a3,1,0.919769,0.010146,[52 30] ; [11  6],[52.18181818 29.81818182] ; [10.81818182  6.18181818],0
p1,1,0.924935,0.008877,[ 9 73] ; [ 2 15],[ 9.11111111 72.88888889] ; [ 1.88888889 15.11111111],0
s8,1,0.937861,0.006078,[14 69] ; [ 3 14],[14.11 68.89] ; [ 2.89 14.11],0
r2,1,0.948688,0.004142,[68 15] ; [13  3],[67.90909091 15.09090909] ; [13.09090909  2.90909091],0
s5,1,0.954465,0.003261,[14 68] ; [ 3 14],[14.08080808 67.91919192] ; [ 2.91919192 14.08080808],0
b4,1,0.977736,0.000779,[54 29] ; [11  6],[53.95 29.05] ; [11.05  5.95],0
n5,1,0.995744,2.8e-05,[44 39] ; [9 8],[43.99 39.01] ; [9.01 7.99],0
