Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,1e-06,24.394668,[33 23] ; [ 6 43],[20.8 35.2] ; [18.2 30.8],1
p10,1,0.000378,12.639815,[43 13] ; [21 28],[34.13333333 21.86666667] ; [29.86666667 19.13333333],1
p4,1,0.000441,12.350514,[34 22] ; [13 36],[25.06666667 30.93333333] ; [21.93333333 27.06666667],1
d3,1,0.001021,10.789295,[48  9] ; [27 22],[40.33018868 16.66981132] ; [34.66981132 14.33018868],0
p2,1,0.003108,8.742815,[50  7] ; [31 18],[43.55660377 13.44339623] ; [37.44339623 11.55660377],0
p3,1,0.004299,8.15281,[32 25] ; [14 35],[24.73584906 32.26415094] ; [21.26415094 27.73584906],0
p6,1,0.007972,7.039716,[23 31] ; [ 9 40],[16.77669903 37.22330097] ; [15.22330097 33.77669903],0
p9,1,0.012568,6.22888,[45 12] ; [27 21],[39.08571429 17.91428571] ; [32.91428571 15.08571429],0
v4,1,0.022131,5.235457,[55  2] ; [40  8],[51.57142857  5.42857143] ; [43.42857143  4.57142857],0
s8,1,0.042224,4.126197,[26 31] ; [13 36],[20.97169811 36.02830189] ; [18.02830189 30.97169811],0
d1,1,0.053142,3.739464,[34 23] ; [20 29],[29.03773585 27.96226415] ; [24.96226415 24.03773585],0
a2,1,0.069965,3.283839,[15 42] ; [ 6 43],[11.29245283 45.70754717] ; [ 9.70754717 39.29245283],0
p11,1,0.073053,3.213063,[46 11] ; [32 17],[41.94339623 15.05660377] ; [36.05660377 12.94339623],0
a7,1,0.074179,3.188034,[44 13] ; [30 19],[39.79245283 17.20754717] ; [34.20754717 14.79245283],0
v1,1,0.082875,3.007602,[18 38] ; [23 24],[22.29126214 33.70873786] ; [18.70873786 28.29126214],0
r4,1,0.086584,2.936764,[52  5] ; [39 10],[48.93396226  8.06603774] ; [42.06603774  6.93396226],0
s7,1,0.110685,2.544416,[28 28] ; [15 29],[24.08 31.92] ; [18.92 25.08],0
n6,1,0.111303,2.53562,[41 16] ; [28 21],[37.10377358 19.89622642] ; [31.89622642 17.10377358],0
d5,1,0.111434,2.53376,[48  9] ; [35 14],[44.63207547 12.36792453] ; [38.36792453 10.63207547],0
b2,1,0.12819,2.314286,[11 31] ; [13 17],[14. 28.] ; [10. 20.],0
b3,1,0.12819,2.314286,[11 31] ; [13 17],[14. 28.] ; [10. 20.],0
s1,1,0.134862,2.235627,[ 5 52] ; [ 1 48],[ 3.22641509 53.77358491] ; [ 2.77358491 46.22641509],0
a6,1,0.163017,1.946011,[40 17] ; [28 21],[36.56603774 20.43396226] ; [31.43396226 17.56603774],0
n2,1,0.233762,1.417824,[11  4] ; [5 5],[9.6 5.4] ; [6.4 3.6],0
s4,1,0.255578,1.292551,[ 7 50] ; [10 39],[ 9.14150943 47.85849057] ; [ 7.85849057 41.14150943],0
s3,1,0.262179,1.257214,[29 26] ; [20 28],[26.16504854 28.83495146] ; [22.83495146 25.16504854],0
n3,1,0.264616,1.244444,[14  1] ; [7 2],[13.125  1.875] ; [7.875 1.125],0
r3,1,0.301176,1.068982,[55  2] ; [45  4],[53.77358491  3.22641509] ; [46.22641509  2.77358491],0
a4,1,0.372619,0.794912,[23 34] ; [24 25],[25.27358491 31.72641509] ; [21.72641509 27.27358491],0
s6,1,0.382555,0.762475,[31 26] ; [22 26],[28.77142857 28.22857143] ; [24.22857143 23.77142857],0
p5,1,0.385383,0.753459,[ 3 54] ; [ 1 48],[ 2.1509434 54.8490566] ; [ 1.8490566 47.1509434],0
a1,1,0.385383,0.753459,[ 3 54] ; [ 1 48],[ 2.1509434 54.8490566] ; [ 1.8490566 47.1509434],0
p12,1,0.396471,0.719002,[ 3 54] ; [ 1 47],[ 2.17142857 54.82857143] ; [ 1.82857143 46.17142857],0
s5,1,0.408921,0.681935,[11 43] ; [ 6 37],[ 9.46391753 44.53608247] ; [ 7.53608247 35.46391753],0
u2,1,0.465209,0.533333,[9 7] ; [11  5],[10.  6.] ; [10.  6.],0
v2,1,0.46635,0.530612,[32 24] ; [24 24],[30.15384615 25.84615385] ; [25.84615385 22.15384615],0
b5,1,0.544086,0.36802,[37 20] ; [29 20],[35.49056604 21.50943396] ; [30.50943396 18.49056604],0
b4,1,0.560213,0.339336,[38 19] ; [30 19],[36.56603774 20.43396226] ; [31.43396226 17.56603774],0
a3,1,0.608348,0.262587,[41 16] ; [33 16],[39.79245283 17.20754717] ; [34.20754717 14.79245283],0
b1,1,0.619261,0.246908,[26 31] ; [20 29],[24.73584906 32.26415094] ; [21.26415094 27.73584906],0
p1,1,0.627508,0.235456,[ 5 52] ; [ 3 45],[ 4.34285714 52.65714286] ; [ 3.65714286 44.34285714],0
d2,1,0.641778,0.216425,[27 30] ; [21 28],[25.81132075 31.18867925] ; [22.18867925 26.81132075],0
r1,1,0.673334,0.177727,[45 12] ; [37 12],[44.09433962 12.90566038] ; [37.90566038 11.09433962],0
r2,1,0.793352,0.068623,[50  5] ; [42  5],[49.60784314  5.39215686] ; [42.39215686  4.60784314],0
a5,1,0.859294,0.031426,[41 16] ; [36 13],[41.40566038 15.59433962] ; [35.59433962 13.40566038],0
a8,1,0.889581,0.019275,[ 6 45] ; [ 5 41],[ 5.78350515 45.21649485] ; [ 5.21649485 40.78350515],0
v3,1,0.917981,0.010604,[17 40] ; [13 32],[16.76470588 40.23529412] ; [13.23529412 31.76470588],0
d4,1,0.940115,0.005644,[48  9] ; [41  8],[47.85849057  9.14150943] ; [41.14150943  7.85849057],0
s2,1,0.944589,0.004831,[21 36] ; [18 30],[21.17142857 35.82857143] ; [17.82857143 30.17142857],0
u1,1,0.99553,3.1e-05,[ 7 50] ; [ 6 43],[ 6.99056604 50.00943396] ; [ 6.00943396 42.99056604],0
n1,1,1.0,0.0,[ 3 12] ; [2 8],[ 3. 12.] ; [2. 8.],0
u3,1,1.0,0.0,[8 8] ; [8 8],[8. 8.] ; [8. 8.],0
