Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,5e-06,20.971888,[ 5 54] ; [13 11],[12.79518072 46.20481928] ; [ 5.20481928 18.79518072],1
s6,1,0.001982,9.566521,[10 49] ; [12 12],[15.63855422 43.36144578] ; [ 6.36144578 17.63855422],0
r2,1,0.005894,7.582362,[28 29] ; [19  4],[33.4875 23.5125] ; [13.5125  9.4875],0
d1,1,0.008468,6.931695,[23 36] ; [17  7],[28.43373494 30.56626506] ; [11.56626506 12.43373494],0
s7,1,0.020738,5.348648,[11 45] ; [10 12],[15.07692308 40.92307692] ; [ 5.92307692 16.07692308],0
d2,1,0.048603,3.889019,[22 35] ; [15  9],[26.03703704 30.96296296] ; [10.96296296 13.03703704],0
d3,1,0.052632,3.75556,[28 31] ; [17  7],[31.98795181 27.01204819] ; [13.01204819 10.98795181],0
d4,1,0.059731,3.54484,[36 22] ; [20  4],[39.6097561 18.3902439] ; [16.3902439  7.6097561],0
v1,1,0.064473,3.418402,[13 44] ; [10 13],[16.3875 40.6125] ; [ 6.6125 16.3875],0
p6,1,0.077603,3.114402,[ 3 55] ; [ 4 19],[ 5.01234568 52.98765432] ; [ 1.98765432 21.01234568],0
d5,1,0.085584,2.955532,[35 24] ; [19  5],[38.38554217 20.61445783] ; [15.61445783  8.38554217],0
s5,1,0.113175,2.509321,[ 7 52] ; [ 6 17],[ 9.35365854 49.64634146] ; [ 3.64634146 19.35365854],0
a3,1,0.145967,2.113904,[31 27] ; [17  7],[33.95121951 24.04878049] ; [14.04878049  9.95121951],0
p8,1,0.175146,1.838336,[ 9 50] ; [ 1 22],[ 7.19512195 51.80487805] ; [ 2.80487805 20.19512195],0
p2,1,0.186548,1.744675,[25 34] ; [14 10],[27.72289157 31.27710843] ; [11.27710843 12.72289157],0
a6,1,0.186548,1.744675,[25 34] ; [14 10],[27.72289157 31.27710843] ; [11.27710843 12.72289157],0
a4,1,0.189982,1.717759,[20 38] ; [12 12],[22.63414634 35.36585366] ; [ 9.36585366 14.63414634],0
s8,1,0.193931,1.687499,[ 6 53] ; [ 5 19],[ 7.81927711 51.18072289] ; [ 3.18072289 20.81927711],0
s4,1,0.193931,1.687499,[ 6 53] ; [ 5 19],[ 7.81927711 51.18072289] ; [ 3.18072289 20.81927711],0
r3,1,0.213297,1.548908,[27 30] ; [15  9],[29.55555556 27.44444444] ; [12.44444444 11.55555556],0
u1,1,0.236927,1.398787,[ 3 56] ; [ 3 21],[ 4.26506024 54.73493976] ; [ 1.73493976 22.26506024],0
s1,1,0.236927,1.398787,[ 3 56] ; [ 3 21],[ 4.26506024 54.73493976] ; [ 1.73493976 22.26506024],0
v2,1,0.242444,1.366324,[17 40] ; [10 13],[19.2375 37.7625] ; [ 7.7625 15.2375],0
p3,1,0.254345,1.29928,[ 9 50] ; [ 6 17],[10.79268293 48.20731707] ; [ 4.20731707 18.79268293],0
p5,1,0.340402,0.908916,[ 2 57] ; [ 2 22],[ 2.84337349 56.15662651] ; [ 1.15662651 22.84337349],0
u2,1,0.349575,0.875,[ 7 21] ; [3 4],[ 8. 20.] ; [2. 5.],0
n1,1,0.355168,0.854906,[ 9 21] ; [5 6],[10.24390244 19.75609756] ; [3.75609756 7.24390244],0
p11,1,0.356809,0.849092,[23 36] ; [12 12],[24.87951807 34.12048193] ; [10.12048193 13.87951807],0
n3,1,0.360709,0.835422,[13 17] ; [6 4],[14.25 15.75] ; [4.75 5.25],0
p9,1,0.365831,0.817776,[26 29] ; [14 10],[27.84810127 27.15189873] ; [12.15189873 11.84810127],0
b1,1,0.368926,0.807278,[31 28] ; [10 14],[29.14457831 29.85542169] ; [11.85542169 12.14457831],0
p10,1,0.388841,0.742564,[23 35] ; [12 12],[24.75609756 33.24390244] ; [10.24390244 13.75609756],0
u3,1,0.466479,0.530303,[ 8 20] ; [3 4],[ 8.8 19.2] ; [2.2 4.8],0
p4,1,0.479065,0.50099,[14 45] ; [ 4 20],[12.79518072 46.20481928] ; [ 5.20481928 18.79518072],0
v4,1,0.491049,0.474227,[32 27] ; [15  9],[33.40963855 25.59036145] ; [13.59036145 10.40963855],0
r1,1,0.571268,0.320566,[16 43] ; [ 8 16],[17.06024096 41.93975904] ; [ 6.93975904 17.06024096],0
n6,1,0.591157,0.288541,[35 23] ; [16  8],[36.07317073 21.92682927] ; [14.92682927  9.07317073],0
b4,1,0.604047,0.268935,[38 21] ; [14 10],[36.96385542 22.03614458] ; [15.03614458  8.96385542],0
n5,1,0.629516,0.232718,[36 23] ; [16  8],[36.96385542 22.03614458] ; [15.03614458  8.96385542],0
b5,1,0.783798,0.07528,[29 30] ; [11 13],[28.43373494 30.56626506] ; [11.56626506 12.43373494],0
n4,1,0.788536,0.071938,[35 24] ; [15  9],[35.54216867 23.45783133] ; [14.45783133  9.54216867],0
n2,1,0.796415,0.066558,[15 15] ; [5 6],[14.63414634 15.36585366] ; [5.36585366 5.63414634],0
b3,1,0.837881,0.041863,[15 20] ; [6 7],[15.3125 19.6875] ; [5.6875 7.3125],0
