Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000459,12.274265,[68  5] ; [108  40],[58.13574661 14.86425339] ; [117.86425339  30.13574661],1
s7,1,0.000529,12.010983,[54 17] ; [74 70],[42.26976744 28.73023256] ; [85.73023256 58.26976744],1
s2,1,0.000635,11.670968,[64 10] ; [97 53],[53.1875 20.8125] ; [107.8125  42.1875],1
p9,1,0.006759,7.335987,[65  7] ; [112  38],[57.40540541 14.59459459] ; [119.59459459  30.40540541],0
s4,1,0.007302,7.197234,[26 46] ; [ 29 120],[17.91855204 54.08144796] ; [ 37.08144796 111.91855204],0
r2,1,0.018034,5.592858,[72  1] ; [133  15],[67.71493213  5.28506787] ; [137.28506787  10.71493213],0
n6,1,0.019758,5.433192,[64  9] ; [111  39],[57.28699552 15.71300448] ; [117.71300448  32.28699552],0
p6,1,0.02662,4.915315,[30 44] ; [ 39 111],[22.79464286 51.20535714] ; [ 46.20535714 103.79464286],0
p10,1,0.05298,3.744549,[62 11] ; [110  40],[56.30493274 16.69506726] ; [115.69506726  34.30493274],0
b2,1,0.056602,3.634253,[18 25] ; [21 62],[13.30952381 29.69047619] ; [25.69047619 57.30952381],0
b3,1,0.056602,3.634253,[18 25] ; [21 62],[13.30952381 29.69047619] ; [25.69047619 57.30952381],0
p5,1,0.066957,3.356084,[ 9 64] ; [  8 141],[ 5.59009009 67.40990991] ; [ 11.40990991 137.59009009],0
a4,1,0.105428,2.621456,[36 38] ; [56 94],[30.39285714 43.60714286] ; [61.60714286 88.39285714],0
p3,1,0.14133,2.163423,[39 35] ; [63 86],[33.84753363 40.15246637] ; [68.15246637 80.84753363],0
d5,1,0.152364,2.048424,[61 13] ; [110  39],[56.74439462 17.25560538] ; [114.25560538  34.74439462],0
p2,1,0.157043,2.002474,[64  9] ; [120  30],[60.23318386 12.76681614] ; [123.76681614  26.23318386],0
a5,1,0.179288,1.803519,[54 20] ; [96 54],[49.55357143 24.44642857] ; [100.44642857  49.55357143],0
p4,1,0.195252,1.677536,[46 28] ; [79 70],[41.47982063 32.52017937] ; [83.52017937 65.47982063],0
a8,1,0.208003,1.585269,[ 6 60] ; [ 22 120],[ 8.88461538 57.11538462] ; [ 19.11538462 122.88461538],0
b4,1,0.236311,1.402469,[49 25] ; [87 63],[44.92857143 29.07142857] ; [91.07142857 58.92857143],0
p7,1,0.262173,1.257245,[49 22] ; [90 57],[45.2706422 25.7293578] ; [93.7293578 53.2706422],0
p12,1,0.288026,1.128827,[ 6 67] ; [  7 143],[ 4.25560538 68.74439462] ; [  8.74439462 141.25560538],0
d1,1,0.291692,1.111798,[44 30] ; [78 72],[40.30357143 33.69642857] ; [81.69642857 68.30357143],0
n2,1,0.306048,1.047653,[15  3] ; [29 12],[13.42372881  4.57627119] ; [30.57627119 10.42372881],0
p11,1,0.314515,1.011619,[57 17] ; [106  44],[53.84821429 20.15178571] ; [109.15178571  40.84821429],0
p1,1,0.315419,1.007846,[ 7 65] ; [  9 141],[ 5.18918919 66.81081081] ; [ 10.81081081 139.18918919],0
a2,1,0.324182,0.972001,[18 56] ; [ 28 122],[15.19642857 58.80357143] ; [ 30.80357143 119.19642857],0
b1,1,0.327232,0.959821,[27 47] ; [65 85],[30.39285714 43.60714286] ; [61.60714286 88.39285714],0
n1,1,0.371203,0.799632,[9 9] ; [15 25],[ 7.44827586 10.55172414] ; [16.55172414 23.44827586],0
u3,1,0.406068,0.690284,[14  8] ; [26 23],[12.3943662  9.6056338] ; [27.6056338 21.3943662],0
d4,1,0.41242,0.671813,[61 13] ; [115  33],[58.66666667 15.33333333] ; [117.33333333  30.66666667],0
n3,1,0.429175,0.625056,[14  3] ; [29 11],[12.8245614  4.1754386] ; [30.1754386  9.8245614],0
r4,1,0.503669,0.447197,[66  8] ; [129  21],[64.41964286  9.58035714] ; [130.58035714  19.41964286],0
v3,1,0.520719,0.412469,[21 49] ; [ 38 109],[19.03225806 50.96774194] ; [ 39.96774194 107.03225806],0
a3,1,0.521299,0.411322,[52 22] ; [99 51],[49.88392857 24.11607143] ; [101.11607143  48.88392857],0
a6,1,0.521495,0.410935,[48 26] ; [103  46],[50.10762332 23.89237668] ; [100.89237668  48.10762332],0
a7,1,0.566867,0.327952,[55 19] ; [106  44],[53.1875 20.8125] ; [107.8125  42.1875],0
s8,1,0.573819,0.316335,[36 38] ; [67 83],[34.02678571 39.97321429] ; [68.97321429 81.02678571],0
u4,1,0.608391,0.262524,[ 1 73] ; [  1 149],[ 0.66071429 73.33928571] ; [  1.33928571 148.66071429],0
r3,1,0.6213,0.244045,[68  4] ; [139  11],[67.13513514  4.86486486] ; [139.86486486  10.13513514],0
d3,1,0.638381,0.220865,[51 23] ; [98 51],[49.44394619 24.55605381] ; [99.55605381 49.44394619],0
s1,1,0.668247,0.18366,[ 5 69] ; [  8 142],[ 4.29464286 69.70535714] ; [  8.70535714 141.29464286],0
p8,1,0.675666,0.175046,[35 38] ; [67 82],[33.54054054 39.45945946] ; [68.45945946 80.54054054],0
v4,1,0.68039,0.169688,[66  6] ; [134  15],[65.15837104  6.84162896] ; [134.84162896  14.15837104],0
