Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,2.3e-05,17.891541,[ 4 10] ; [55 11],[10.325  3.675] ; [48.675 17.325],1
p5,1,0.461928,0.541219,[ 1 13] ; [ 2 64],[ 0.525 13.475] ; [ 2.475 63.525],0
p6,1,0.685208,0.164322,[ 4 10] ; [15 49],[ 3.41025641 10.58974359] ; [15.58974359 48.41025641],0
p7,1,0.731989,0.117293,[9 4] ; [48 17],[9.5 3.5] ; [47.5 17.5],0
b1,1,0.976257,0.000886,[6 8] ; [28 38],[5.95 8.05] ; [28.05 37.95],0
