Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,48.854994,[ 10 108] ; [25 16],[25.97484277 92.02515723] ; [ 9.02515723 31.97484277],1
p11,1,0.000859,11.108309,[70 48] ; [36  5],[78.66666667 39.33333333] ; [27.33333333 13.66666667],1
p3,1,0.001004,10.819678,[32 84] ; [23 18],[40.63694268 75.36305732] ; [14.36305732 26.63694268],0
s6,1,0.001342,10.283957,[38 79] ; [25 16],[46.65189873 70.34810127] ; [16.34810127 24.65189873],0
s2,1,0.001925,9.619708,[25 93] ; [19 22],[32.65408805 85.34591195] ; [11.34591195 29.65408805],0
s3,1,0.008015,7.030093,[35 80] ; [22 19],[42.01923077 72.98076923] ; [14.98076923 26.01923077],0
p4,1,0.012782,6.198998,[42 74] ; [24 17],[48.76433121 67.23566879] ; [17.23566879 23.76433121],0
v3,1,0.017214,5.674459,[26 91] ; [17 24],[31.84177215 85.15822785] ; [11.15822785 29.84177215],0
p2,1,0.019602,5.447006,[70 46] ; [33  8],[76.10191083 39.89808917] ; [26.89808917 14.10191083],0
a5,1,0.020145,5.399271,[50 68] ; [26 15],[56.40251572 61.59748428] ; [19.59748428 21.40251572],0
n1,1,0.025212,5.009276,[13 29] ; [8 4],[16.33333333 25.66666667] ; [4.66666667 7.33333333],0
a3,1,0.027139,4.88195,[60 58] ; [29 12],[66.05031447 51.94968553] ; [22.94968553 18.05031447],0
p9,1,0.02925,4.752853,[77 38] ; [34  6],[82.35483871 32.64516129] ; [28.64516129 11.35483871],0
r2,1,0.037713,4.317931,[81 34] ; [34  5],[85.87662338 29.12337662] ; [29.12337662  9.87662338],0
p10,1,0.044404,4.04114,[66 48] ; [31 10],[71.34193548 42.65806452] ; [25.65806452 15.34193548],0
n4,1,0.050399,3.828144,[69 49] ; [31 10],[74.21383648 43.78616352] ; [25.78616352 15.21383648],0
v1,1,0.057131,3.618766,[34 83] ; [17 20],[38.74675325 78.25324675] ; [12.25324675 24.74675325],0
p6,1,0.068859,3.310003,[21 92] ; [13 27],[25.11111111 87.88888889] ; [ 8.88888889 31.11111111],0
d4,1,0.077864,3.108931,[68 50] ; [30 11],[72.72955975 45.27044025] ; [25.27044025 15.72955975],0
b1,1,0.079607,3.072908,[56 62] ; [13 28],[51.20754717 66.79245283] ; [17.79245283 23.20754717],0
r3,1,0.091368,2.850104,[88 29] ; [36  5],[91.82278481 25.17721519] ; [32.17721519  8.82278481],0
n6,1,0.115788,2.473388,[79 38] ; [33  8],[82.93670886 34.06329114] ; [29.06329114 11.93670886],0
p7,1,0.139348,2.185145,[51 65] ; [23 17],[55.02564103 60.97435897] ; [18.97435897 21.02564103],0
v4,1,0.14575,2.116173,[87 31] ; [34  6],[90.36708861 27.63291139] ; [30.63291139  9.36708861],0
p8,1,0.157417,1.998868,[39 76] ; [19 22],[42.75641026 72.24358974] ; [15.24358974 25.75641026],0
n3,1,0.165719,1.921248,[27 15] ; [11  2],[29.01818182 12.98181818] ; [8.98181818 4.01818182],0
n5,1,0.177221,1.820775,[75 42] ; [31 10],[78.49367089 38.50632911] ; [27.50632911 13.49367089],0
a2,1,0.18606,1.748545,[  9 109] ; [ 6 35],[ 11.13207547 106.86792453] ; [ 3.86792453 37.13207547],0
u3,1,0.223322,1.482895,[18 39] ; [6 6],[19.82608696 37.17391304] ; [4.17391304 7.82608696],0
p1,1,0.275611,1.188605,[  8 110] ; [ 5 36],[  9.64779874 108.35220126] ; [ 3.35220126 37.64779874],0
d1,1,0.282888,1.153164,[38 80] ; [17 24],[40.81761006 77.18238994] ; [14.18238994 26.81761006],0
n2,1,0.319683,0.990243,[26 16] ; [10  3],[27.49090909 14.50909091] ; [8.50909091 4.49090909],0
a4,1,0.350285,0.872426,[31 86] ; [14 27],[33.32278481 83.67721519] ; [11.67721519 29.32278481],0
v2,1,0.367942,0.810604,[36 79] ; [16 25],[38.33333333 76.66666667] ; [13.66666667 27.33333333],0
d5,1,0.38608,0.751252,[71 46] ; [28 13],[73.31012658 43.68987342] ; [25.68987342 15.31012658],0
u2,1,0.395963,0.720551,[21 36] ; [6 6],[22.30434783 34.69565217] ; [4.69565217 7.30434783],0
a6,1,0.399952,0.708471,[63 55] ; [25 16],[65.3081761 52.6918239] ; [22.6918239 18.3081761],0
