Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,46.26996,[37  7] ; [17 64],[19.008 24.992] ; [34.992 46.008],1
s6,1,0.0,36.090474,[34  9] ; [19 63],[18.232 24.768] ; [34.768 47.232],1
s7,1,2.3e-05,17.928659,[21 20] ; [12 68],[11.18181818 29.81818182] ; [21.81818182 58.18181818],1
s4,1,3.8e-05,16.969275,[18 26] ; [ 8 74],[ 9.07936508 34.92063492] ; [16.92063492 65.07936508],1
s8,1,5.6e-05,16.222425,[21 23] ; [12 70],[11.52380952 32.47619048] ; [21.47619048 60.52380952],1
v1,1,9.8e-05,15.169745,[23 20] ; [16 66],[13.416 29.584] ; [25.584 56.416],1
r3,1,0.000229,13.579831,[42  2] ; [55 28],[33.60629921 10.39370079] ; [63.39370079 19.60629921],1
p9,1,0.000428,12.405193,[32 11] ; [32 46],[22.74380165 20.25619835] ; [41.25619835 36.74380165],1
p10,1,0.000551,11.934097,[31 12] ; [32 49],[21.84677419 21.15322581] ; [41.15322581 39.84677419],1
p7,1,0.000771,11.310152,[23 20] ; [19 62],[14.56451613 28.43548387] ; [27.43548387 53.56451613],1
v4,1,0.000779,11.291381,[41  3] ; [55 28],[33.25984252 10.74015748] ; [62.74015748 20.25984252],1
r4,1,0.001234,10.438439,[37  7] ; [46 37],[28.75590551 15.24409449] ; [54.24409449 28.75590551],0
p6,1,0.001651,9.901467,[14 29] ; [ 8 73],[ 7.62903226 35.37096774] ; [14.37096774 66.62903226],0
p4,1,0.00212,9.443016,[20 24] ; [16 66],[12.57142857 31.42857143] ; [23.42857143 58.57142857],0
s5,1,0.004266,8.166975,[15 26] ; [11 68],[ 8.88333333 32.11666667] ; [17.11666667 61.88333333],0
v2,1,0.009982,6.638186,[23 19] ; [25 56],[16.3902439 25.6097561] ; [31.6097561 49.3902439],0
n2,1,0.018454,5.552572,[16  2] ; [23 17],[12.10344828  5.89655172] ; [26.89655172 13.10344828],0
p11,1,0.040901,4.180097,[28 16] ; [37 46],[22.51968504 21.48031496] ; [42.48031496 40.51968504],0
a3,1,0.043875,4.061376,[31 13] ; [42 39],[25.696 18.304] ; [47.304 33.696],0
b5,1,0.075695,3.154994,[31 13] ; [45 38],[26.33070866 17.66929134] ; [49.66929134 33.33070866],0
r2,1,0.126882,2.330247,[39  5] ; [62 18],[35.83870968  8.16129032] ; [65.16129032 14.83870968],0
d5,1,0.15925,1.981335,[33 11] ; [52 31],[29.4488189 14.5511811] ; [55.5511811 27.4488189],0
r1,1,0.203557,1.616669,[29 15] ; [45 38],[25.63779528 18.36220472] ; [48.36220472 34.63779528],0
u3,1,0.205916,1.599912,[8 5] ; [17 24],[6.01851852 6.98148148] ; [18.98148148 22.01851852],0
p3,1,0.206396,1.596525,[16 28] ; [21 61],[12.92063492 31.07936508] ; [24.07936508 57.92063492],0
b1,1,0.230137,1.440016,[20 24] ; [47 36],[23.21259843 20.78740157] ; [43.78740157 39.21259843],0
a6,1,0.230137,1.440016,[20 24] ; [47 36],[23.21259843 20.78740157] ; [43.78740157 39.21259843],0
b2,1,0.2343,1.414567,[ 8 22] ; [21 32],[10.48192771 19.51807229] ; [18.51807229 34.48192771],0
b3,1,0.2343,1.414567,[ 8 22] ; [21 32],[10.48192771 19.51807229] ; [18.51807229 34.48192771],0
n4,1,0.257747,1.280816,[23 21] ; [52 31],[25.98425197 18.01574803] ; [49.01574803 33.98425197],0
d3,1,0.291738,1.111582,[25 19] ; [39 44],[22.17322835 21.82677165] ; [41.82677165 41.17322835],0
n3,1,0.300994,1.069786,[13  5] ; [22 16],[11.25  6.75] ; [23.75 14.25],0
a2,1,0.323332,0.975419,[ 5 39] ; [15 68],[ 6.92913386 37.07086614] ; [13.07086614 69.92913386],0
n5,1,0.389096,0.741765,[25 19] ; [53 29],[27.23809524 16.76190476] ; [50.76190476 31.23809524],0
d4,1,0.453564,0.56173,[34 10] ; [59 24],[32.22047244 11.77952756] ; [60.77952756 22.22047244],0
u1,1,0.493647,0.468568,[ 6 38] ; [ 8 75],[ 4.8503937 39.1496063] ; [ 9.1496063 73.8503937],0
p12,1,0.496224,0.463003,[ 2 41] ; [ 2 81],[ 1.36507937 41.63492063] ; [ 2.63492063 80.36507937],0
n6,1,0.50376,0.447007,[30 14] ; [51 31],[28.28571429 15.71428571] ; [52.71428571 29.28571429],0
a4,1,0.536086,0.382842,[21 23] ; [34 47],[19.36 24.64] ; [35.64 45.36],0
b4,1,0.548269,0.360428,[23 21] ; [48 35],[24.5984252 19.4015748] ; [46.4015748 36.5984252],0
p8,1,0.582738,0.301829,[11 33] ; [17 65],[ 9.77777778 34.22222222] ; [18.22222222 63.77777778],0
