Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,47.538002,[185  65] ; [52 84],[153.49740933  96.50259067] ; [83.50259067 52.49740933],1
d3,1,0.0,34.489484,[177  72] ; [55 81],[150.04675325  98.95324675] ; [81.95324675 54.04675325],1
r4,1,3e-06,21.794994,[218  33] ; [91 45],[200.41085271  50.58914729] ; [108.58914729  27.41085271],1
d5,1,5e-06,20.683733,[199  51] ; [78 57],[179.87012987  70.12987013] ; [97.12987013 37.87012987],1
r3,1,8.1e-05,15.526853,[228  21] ; [105  31],[215.36883117  33.63116883] ; [117.63116883  18.36883117],1
d4,1,0.000104,15.065073,[201  49] ; [84 51],[185.06493506  64.93506494] ; [99.93506494 35.06493506],1
a2,1,0.000124,14.729214,[ 60 191] ; [ 11 125],[ 46.04909561 204.95090439] ; [ 24.95090439 111.04909561],1
b5,1,0.000175,14.083561,[169  82] ; [65 71],[151.76744186  99.23255814] ; [82.23255814 53.76744186],1
d1,1,0.000683,11.535544,[132 119] ; [47 89],[116.09560724 134.90439276] ; [62.90439276 73.09560724],1
r2,1,0.001007,10.814967,[230  17] ; [111  24],[220.4895288  26.5104712] ; [120.5104712  14.4895288],0
v4,1,0.001416,10.184231,[233  18] ; [111  24],[223.68911917  27.31088083] ; [120.31088083  14.68911917],0
u3,1,0.002403,9.212798,[56 31] ; [22 35],[47.125 39.875] ; [30.875 26.125],0
u1,1,0.003157,8.714355,[ 41 210] ; [  8 128],[ 31.78036176 219.21963824] ; [ 17.21963824 118.78036176],0
p2,1,0.003514,8.519152,[203  48] ; [92 44],[191.33074935  59.66925065] ; [103.66925065  32.33074935],0
r1,1,0.006371,7.44229,[182  67] ; [81 55],[170.0961039  78.9038961] ; [92.9038961 43.0961039],0
p4,1,0.009776,6.675311,[135 116] ; [54 81],[122.89896373 128.10103627] ; [66.10103627 68.89896373],0
p9,1,0.012067,6.301006,[190  57] ; [87 47],[179.57742782  67.42257218] ; [97.42257218 36.57742782],0
p10,1,0.013593,6.090209,[181  67] ; [82 53],[170.29765013  77.70234987] ; [92.70234987 42.29765013],0
p8,1,0.013674,6.079767,[117 133] ; [46 90],[105.56994819 144.43005181] ; [57.43005181 78.56994819],0
n3,1,0.071209,3.254922,[44 18] ; [29 24],[39.35652174 22.64347826] ; [33.64347826 19.35652174],0
b1,1,0.071417,3.250149,[ 98 153] ; [66 70],[106.36692506 144.63307494] ; [57.63307494 78.36692506],0
s2,1,0.08655,2.937401,[111 138] ; [48 87],[103.1015625 145.8984375] ; [55.8984375 79.1015625],0
p7,1,0.146295,2.110467,[137 108] ; [65 70],[130.23684211 114.76315789] ; [71.76315789 63.23684211],0
u2,1,0.187001,1.741087,[50 38] ; [26 31],[46.12413793 41.87586207] ; [29.87586207 27.12413793],0
a3,1,0.187816,1.734664,[162  86] ; [79 56],[156.05221932  91.94778068] ; [84.94778068 50.05221932],0
s6,1,0.193507,1.690714,[147 103] ; [69 64],[140.9921671 109.0078329] ; [75.0078329 57.9921671],0
a1,1,0.203578,1.616516,[  8 243] ; [  8 128],[ 10.37726098 240.62273902] ; [  5.62273902 130.37726098],0
a5,1,0.234641,1.412507,[163  88] ; [80 56],[157.60465116  93.39534884] ; [85.39534884 50.60465116],0
p3,1,0.32925,0.951844,[ 99 151] ; [47 89],[ 94.55958549 155.44041451] ; [51.44041451 84.55958549],0
b4,1,0.335565,0.927301,[142 109] ; [70 66],[137.49870801 113.50129199] ; [74.50129199 61.49870801],0
n6,1,0.349645,0.874747,[193  58] ; [98 37],[189.2253886  61.7746114] ; [101.7746114  33.2253886],0
s7,1,0.350557,0.871439,[ 86 152] ; [53 76],[ 90.14168937 147.85831063] ; [48.85831063 80.14168937],0
s5,1,0.351166,0.869238,[ 62 185] ; [39 93],[ 65.823219 181.176781] ; [35.176781 96.823219],0
n4,1,0.357444,0.846853,[175  75] ; [89 47],[170.98445596  79.01554404] ; [93.01554404 42.98445596],0
p1,1,0.386505,0.749909,[ 16 233] ; [ 12 124],[ 18.10909091 230.89090909] ; [  9.89090909 126.10909091],0
n5,1,0.426294,0.632899,[166  84] ; [95 40],[169.48051948  80.51948052] ; [91.51948052 43.48051948],0
b2,1,0.449577,0.571718,[48 96] ; [34 55],[50.67811159 93.32188841] ; [31.32188841 57.67811159],0
b3,1,0.449577,0.571718,[48 96] ; [34 55],[50.67811159 93.32188841] ; [31.32188841 57.67811159],0
v1,1,0.456376,0.554768,[ 89 159] ; [43 91],[ 85.69633508 162.30366492] ; [46.30366492 87.69633508],0
s1,1,0.526863,0.400438,[ 11 236] ; [  8 127],[ 12.28534031 234.71465969] ; [  6.71465969 128.28534031],0
s4,1,0.534123,0.386541,[ 50 197] ; [ 31 104],[ 52.37434555 194.62565445] ; [ 28.62565445 106.37434555],0
a4,1,0.568246,0.325626,[ 97 153] ; [56 78],[ 99.609375 150.390625] ; [53.390625 80.609375],0
p11,1,0.569248,0.323943,[175  76] ; [91 45],[172.52196382  78.47803618] ; [93.47803618 42.52196382],0
n1,1,0.606805,0.264854,[25 37] ; [20 36],[23.6440678 38.3559322] ; [21.3559322 34.6440678],0
p12,1,0.626322,0.237081,[  7 243] ; [  5 130],[  7.79220779 242.20779221] ; [  4.20779221 130.79220779],0
a8,1,0.711713,0.136572,[ 29 206] ; [ 14 113],[ 27.91436464 207.08563536] ; [ 15.08563536 111.91436464],0
s8,1,0.719171,0.129288,[ 81 170] ; [46 89],[ 82.58290155 168.41709845] ; [44.41709845 90.58290155],0
p6,1,0.742849,0.107638,[ 73 177] ; [37 97],[ 71.61458333 178.38541667] ; [38.38541667 95.61458333],0
d2,1,0.79999,0.064191,[103 147] ; [57 77],[104.16666667 145.83333333] ; [55.83333333 78.16666667],0
s3,1,0.801224,0.063385,[123 126] ; [68 66],[124.17493473 124.82506527] ; [66.82506527 67.17493473],0
v3,1,0.848966,0.036267,[ 39 208] ; [ 22 111],[ 39.65 207.35] ; [ 21.35 111.65],0
n2,1,0.963035,0.002148,[43 20] ; [38 18],[42.88235294 20.11764706] ; [38.11764706 17.88235294],0
