Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.001529,10.043077,[14  3] ; [12 22],[8.66666667 8.33333333] ; [17.33333333 16.66666667],0
b4,1,0.009686,6.69177,[ 5 12] ; [23 11],[9.33333333 7.66666667] ; [18.66666667 15.33333333],0
n4,1,0.015768,5.828571,[ 6 11] ; [24 10],[10.  7.] ; [20. 14.],0
n5,1,0.015768,5.828571,[ 6 11] ; [24 10],[10.  7.] ; [20. 14.],0
p2,1,0.050493,3.825,[9 8] ; [27  7],[12.  5.] ; [24. 10.],0
p7,1,0.074203,3.1875,[12  5] ; [15 19],[9. 8.] ; [18. 16.],0
p11,1,0.091957,2.839773,[11  6] ; [29  5],[13.33333333  3.66666667] ; [26.66666667  7.33333333],0
p6,1,0.125202,2.351006,[ 6 10] ; [ 6 28],[ 3.84 12.16] ; [ 8.16 25.84],0
p9,1,0.136387,2.218261,[10  7] ; [26  7],[12.24  4.76] ; [23.76  9.24],0
p4,1,0.163645,1.940217,[ 7 10] ; [21 13],[9.33333333 7.66666667] ; [18.66666667 15.33333333],0
b3,1,0.165167,1.926268,[1 9] ; [ 7 14],[2.58064516 7.41935484] ; [ 5.41935484 15.58064516],0
b2,1,0.165167,1.926268,[1 9] ; [ 7 14],[2.58064516 7.41935484] ; [ 5.41935484 15.58064516],0
a1,1,0.206791,1.59375,[ 2 15] ; [ 1 33],[ 1. 16.] ; [ 2. 32.],0
s1,1,0.206791,1.59375,[ 2 15] ; [ 1 33],[ 1. 16.] ; [ 2. 32.],0
p8,1,0.233953,1.416667,[10  7] ; [14 20],[8. 9.] ; [16. 18.],0
s4,1,0.276128,1.186047,[ 4 13] ; [ 4 30],[ 2.66666667 14.33333333] ; [ 5.33333333 28.66666667],0
s8,1,0.293622,1.102941,[ 4 13] ; [13 21],[ 5.66666667 11.33333333] ; [11.33333333 22.66666667],0
d5,1,0.305848,1.04852,[9 8] ; [23 11],[10.66666667  6.33333333] ; [21.33333333 12.66666667],0
u2,1,0.346912,0.884722,[6 2] ; [10  8],[4.92307692 3.07692308] ; [11.07692308  6.92307692],0
v3,1,0.363458,0.825911,[ 3 14] ; [10 24],[ 4.33333333 12.66666667] ; [ 8.66666667 25.33333333],0
v1,1,0.400814,0.705882,[ 7 10] ; [10 24],[ 5.66666667 11.33333333] ; [11.33333333 22.66666667],0
s5,1,0.435866,0.607143,[ 2 15] ; [ 7 27],[ 3. 14.] ; [ 6. 28.],0
s3,1,0.441971,0.591159,[ 7 10] ; [10 23],[ 5.78 11.22] ; [11.22 21.78],0
a4,1,0.483756,0.490385,[ 5 12] ; [ 7 27],[ 4. 13.] ; [ 8. 26.],0
a8,1,0.499778,0.455408,[ 2 15] ; [ 6 25],[ 2.83333333 14.16666667] ; [ 5.16666667 25.83333333],0
d1,1,0.514453,0.425,[ 4 13] ; [11 23],[ 5. 12.] ; [10. 24.],0
r1,1,0.534217,0.386364,[ 7 10] ; [11 23],[ 6. 11.] ; [12. 22.],0
a2,1,0.60998,0.260204,[ 1 16] ; [ 1 33],[ 0.66666667 16.33333333] ; [ 1.33333333 32.66666667],0
s7,1,0.634134,0.226497,[ 3 11] ; [ 9 23],[ 3.65217391 10.34782609] ; [ 8.34782609 23.65217391],0
n3,1,0.636982,0.222711,[4 2] ; [10  3],[4.42105263 1.57894737] ; [9.57894737 3.42105263],0
d2,1,0.674424,0.176471,[ 5 12] ; [12 22],[ 5.66666667 11.33333333] ; [11.33333333 22.66666667],0
r4,1,0.685032,0.164516,[ 6 11] ; [14 20],[ 6.66666667 10.33333333] ; [13.33333333 20.66666667],0
b5,1,0.689272,0.159875,[9 8] ; [20 14],[9.66666667 7.33333333] ; [19.33333333 14.66666667],0
a6,1,0.690648,0.158385,[ 7 10] ; [16 18],[7.66666667 9.33333333] ; [15.33333333 18.66666667],0
a7,1,0.690648,0.158385,[10  7] ; [18 16],[9.33333333 7.66666667] ; [18.66666667 15.33333333],0
d3,1,0.692005,0.156923,[8 9] ; [18 16],[8.66666667 8.33333333] ; [17.33333333 16.66666667],0
s6,1,0.692005,0.156923,[8 9] ; [18 16],[8.66666667 8.33333333] ; [17.33333333 16.66666667],0
a3,1,0.692005,0.156923,[9 8] ; [16 18],[8.33333333 8.66666667] ; [16.66666667 17.33333333],0
v2,1,0.697051,0.151558,[8 8] ; [15 19],[7.36 8.64] ; [15.64 18.36],0
p12,1,0.712656,0.135638,[ 1 16] ; [ 3 31],[ 1.33333333 15.66666667] ; [ 2.66666667 31.33333333],0
p10,1,0.720048,0.128447,[11  6] ; [23 10],[11.56  5.44] ; [22.44 10.56],0
p3,1,0.778253,0.079296,[ 5 11] ; [12 22],[ 5.44 10.56] ; [11.56 22.44],0
d4,1,0.831022,0.045536,[12  5] ; [23 11],[11.66666667  5.33333333] ; [23.33333333 10.66666667],0
u3,1,0.836701,0.042484,[3 5] ; [ 6 12],[2.76923077 5.23076923] ; [ 6.23076923 11.76923077],0
a5,1,0.842992,0.039231,[9 8] ; [17 17],[8.66666667 8.33333333] ; [17.33333333 16.66666667],0
n2,1,0.911008,0.012492,[4 2] ; [9 4],[4.10526316 1.89473684] ; [8.89473684 4.10526316],0
n1,1,0.911008,0.012492,[2 4] ; [4 9],[1.89473684 4.10526316] ; [4.10526316 8.89473684],0
s2,1,0.948057,0.004244,[ 5 12] ; [10 23],[ 5.1 11.9] ; [ 9.9 23.1],0
p1,1,1.0,0.0,[ 1 16] ; [ 2 32],[ 1. 16.] ; [ 2. 32.],0
v4,1,1.0,0.0,[12  5] ; [24 10],[12.  5.] ; [24. 10.],0
