Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.003626,8.462289,[18 10] ; [ 3 13],[13.36363636 14.63636364] ; [7.63636364 8.36363636],0
p6,1,0.011889,6.327311,[ 3 25] ; [7 9],[ 6.36363636 21.63636364] ; [ 3.63636364 12.36363636],0
d5,1,0.012866,6.1875,[14 14] ; [14  2],[17.81818182 10.18181818] ; [10.18181818  5.81818182],0
s7,1,0.027248,4.875,[ 5 21] ; [7 6],[ 8. 18.] ; [4. 9.],0
p5,1,0.035456,4.423056,[ 2 26] ; [ 5 11],[ 4.45454545 23.54545455] ; [ 2.54545455 13.45454545],0
p7,1,0.065686,3.387669,[13 15] ; [12  4],[15.90909091 12.09090909] ; [9.09090909 6.90909091],0
s4,1,0.07713,3.12437,[ 4 24] ; [ 6 10],[ 6.36363636 21.63636364] ; [ 3.63636364 12.36363636],0
p8,1,0.086068,2.946429,[10 18] ; [10  6],[12.72727273 15.27272727] ; [7.27272727 8.72727273],0
b5,1,0.086068,2.946429,[18 10] ; [ 6 10],[15.27272727 12.72727273] ; [8.72727273 7.27272727],0
n4,1,0.098099,2.736173,[12 16] ; [11  5],[14.63636364 13.36363636] ; [8.36363636 7.63636364],0
n1,1,0.109984,2.554444,[ 2 13] ; [2 2],[ 3.15789474 11.84210526] ; [0.84210526 3.15789474],0
d3,1,0.11769,2.447802,[19  9] ; [7 9],[16.54545455 11.45454545] ; [9.45454545 6.54545455],0
v3,1,0.147759,2.095238,[ 5 23] ; [ 6 10],[ 7. 21.] ; [ 4. 12.],0
u2,1,0.16962,1.886299,[13  3] ; [5 4],[11.52  4.48] ; [6.48 2.52],0
s5,1,0.179603,1.800907,[ 4 24] ; [ 5 11],[ 5.72727273 22.27272727] ; [ 3.27272727 12.72727273],0
a4,1,0.179603,1.800907,[ 4 24] ; [ 5 11],[ 5.72727273 22.27272727] ; [ 3.27272727 12.72727273],0
p2,1,0.22106,1.497479,[20  8] ; [14  2],[21.63636364  6.36363636] ; [12.36363636  3.63636364],0
s3,1,0.249537,1.325893,[ 6 22] ; [ 6 10],[ 7.63636364 20.36363636] ; [ 4.36363636 11.63636364],0
s2,1,0.249537,1.325893,[ 6 22] ; [ 6 10],[ 7.63636364 20.36363636] ; [ 4.36363636 11.63636364],0
p12,1,0.258349,1.277584,[ 1 27] ; [ 2 14],[ 1.90909091 26.09090909] ; [ 1.09090909 14.90909091],0
r3,1,0.322748,0.977778,[21  7] ; [14  2],[22.27272727  5.72727273] ; [12.72727273  3.27272727],0
b2,1,0.323727,0.97383,[ 3 11] ; [4 6],[4.08333333 9.91666667] ; [2.91666667 7.08333333],0
b3,1,0.323727,0.97383,[ 3 11] ; [4 6],[4.08333333 9.91666667] ; [2.91666667 7.08333333],0
n6,1,0.336219,0.924795,[17 11] ; [12  4],[18.45454545  9.54545455] ; [10.54545455  5.45454545],0
r4,1,0.353855,0.859585,[10 18] ; [8 8],[11.45454545 16.54545455] ; [6.54545455 9.45454545],0
a5,1,0.353855,0.859585,[10 18] ; [8 8],[11.45454545 16.54545455] ; [6.54545455 9.45454545],0
d1,1,0.381996,0.764268,[ 7 21] ; [ 6 10],[ 8.27272727 19.72727273] ; [ 4.72727273 11.27272727],0
u3,1,0.382677,0.762085,[ 6 10] ; [5 4],[7.04 8.96] ; [3.96 5.04],0
n5,1,0.446867,0.578587,[16 12] ; [11  5],[17.18181818 10.81818182] ; [9.81818182 6.18181818],0
d4,1,0.462941,0.538776,[18 10] ; [12  4],[19.09090909  8.90909091] ; [10.90909091  5.09090909],0
s8,1,0.469221,0.52381,[ 8 20] ; [ 3 13],[ 7. 21.] ; [ 4. 12.],0
v1,1,0.540751,0.37415,[ 8 20] ; [ 6 10],[ 8.90909091 19.09090909] ; [ 5.09090909 10.90909091],0
p10,1,0.594014,0.28412,[17 11] ; [11  5],[17.81818182 10.18181818] ; [10.18181818  5.81818182],0
p11,1,0.617387,0.249557,[19  9] ; [12  4],[19.72727273  8.27272727] ; [11.27272727  4.72727273],0
a1,1,0.620236,0.245536,[ 3 25] ; [ 1 15],[ 2.54545455 25.45454545] ; [ 1.45454545 14.54545455],0
a8,1,0.635714,0.224392,[ 2 23] ; [ 2 14],[ 2.43902439 22.56097561] ; [ 1.56097561 14.43902439],0
a6,1,0.689691,0.15942,[14 14] ; [9 7],[14.63636364 13.36363636] ; [8.36363636 7.63636364],0
b1,1,0.718381,0.130049,[19  9] ; [10  6],[18.45454545  9.54545455] ; [10.54545455  5.45454545],0
n3,1,0.718904,0.129545,[9 6] ; [2 2],[8.68421053 6.31578947] ; [2.31578947 1.68421053],0
a7,1,0.819524,0.052056,[15 13] ; [8 8],[14.63636364 13.36363636] ; [8.36363636 7.63636364],0
v2,1,0.856366,0.032762,[12 16] ; [6 9],[11.72093023 16.27906977] ; [6.27906977 8.72093023],0
r1,1,0.90571,0.014031,[10 18] ; [ 6 10],[10.18181818 17.81818182] ; [ 5.81818182 10.18181818],0
p9,1,0.910958,0.012506,[19  8] ; [11  5],[18.8372093  8.1627907] ; [11.1627907  4.8372093],0
a3,1,0.954133,0.003308,[12 16] ; [7 9],[12.09090909 15.90909091] ; [6.90909091 9.09090909],0
s6,1,1.0,0.0,[14 14] ; [8 8],[14. 14.] ; [8. 8.],0
d2,1,1.0,0.0,[ 7 21] ; [ 4 12],[ 7. 21.] ; [ 4. 12.],0
