Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.003216,8.680556,[ 4 11] ; [41 19],[9. 6.] ; [36. 24.],0
v4,1,0.004961,7.893476,[10  5] ; [55  4],[13.17567568  1.82432432] ; [51.82432432  7.17567568],0
p9,1,0.009306,6.763163,[8 5] ; [54  6],[11.04109589  1.95890411] ; [50.95890411  9.04109589],0
p10,1,0.014562,5.968651,[8 7] ; [49 10],[11.55405405  3.44594595] ; [45.44594595 13.55405405],0
p7,1,0.016747,5.722647,[ 5 10] ; [39 19],[9.04109589 5.95890411] ; [34.95890411 23.04109589],0
p8,1,0.020621,5.358535,[ 3 12] ; [31 27],[6.98630137 8.01369863] ; [27.01369863 30.98630137],0
p3,1,0.04801,3.909632,[ 5 10] ; [37 23],[8.4 6.6] ; [33.6 26.4],0
p1,1,0.050661,3.819444,[ 4 11] ; [ 5 55],[ 1.8 13.2] ; [ 7.2 52.8],0
b1,1,0.057842,3.598201,[9 6] ; [20 40],[5.8 9.2] ; [23.2 36.8],0
n6,1,0.073022,3.213742,[9 6] ; [49 11],[11.6  3.4] ; [46.4 13.6],0
n4,1,0.099246,2.717624,[8 7] ; [45 15],[10.6  4.4] ; [42.4 17.6],0
n5,1,0.099246,2.717624,[8 7] ; [45 15],[10.6  4.4] ; [42.4 17.6],0
a3,1,0.128081,2.315609,[13  2] ; [40 20],[10.6  4.4] ; [42.4 17.6],0
b4,1,0.130524,2.286255,[11  4] ; [31 29],[8.4 6.6] ; [33.6 26.4],0
p11,1,0.148915,2.083333,[10  5] ; [50 10],[12.  3.] ; [48. 12.],0
s8,1,0.152039,2.051672,[7 8] ; [40 20],[9.4 5.6] ; [37.6 22.4],0
b2,1,0.235043,1.41008,[7 6] ; [16 29],[5.15517241 7.84482759] ; [17.84482759 27.15517241],0
b3,1,0.235043,1.41008,[7 6] ; [16 29],[5.15517241 7.84482759] ; [17.84482759 27.15517241],0
d2,1,0.238593,1.388889,[8 7] ; [22 38],[6. 9.] ; [24. 36.],0
n3,1,0.242908,1.363636,[6 4] ; [16  4],[7.33333333 2.66666667] ; [14.66666667  5.33333333],0
d1,1,0.24716,1.339286,[9 6] ; [26 34],[7. 8.] ; [28. 32.],0
n2,1,0.332922,0.9375,[9 1] ; [15  5],[8. 2.] ; [16.  4.],0
s2,1,0.335924,0.925926,[8 7] ; [40 20],[9.6 5.4] ; [38.4 21.6],0
u1,1,0.394627,0.724638,[ 2 13] ; [ 4 56],[ 1.2 13.8] ; [ 4.8 55.2],0
a2,1,0.395766,0.721154,[ 3 12] ; [ 7 53],[ 2. 13.] ; [ 8. 52.],0
a5,1,0.399805,0.708912,[11  4] ; [37 23],[9.6 5.4] ; [38.4 21.6],0
n1,1,0.403755,0.697115,[6 3] ; [10 10],[4.96551724 4.03448276] ; [11.03448276  8.96551724],0
a6,1,0.413856,0.667696,[10  5] ; [33 27],[8.6 6.4] ; [34.4 25.6],0
v1,1,0.418956,0.653242,[5 8] ; [29 28],[6.31428571 6.68571429] ; [27.68571429 29.31428571],0
r4,1,0.476877,0.505997,[8 7] ; [38 22],[9.2 5.8] ; [36.8 23.2],0
p6,1,0.528879,0.396546,[6 9] ; [28 29],[7.08333333 7.91666667] ; [26.91666667 30.08333333],0
v3,1,0.53491,0.385055,[4 9] ; [24 36],[4.98630137 8.01369863] ; [23.01369863 36.98630137],0
a8,1,0.538167,0.378947,[ 1 14] ; [ 7 50],[ 1.66666667 13.33333333] ; [ 6.33333333 50.66666667],0
r2,1,0.550097,0.357143,[12  2] ; [51  5],[12.6  1.4] ; [50.4  5.6],0
b5,1,0.55569,0.347222,[8 7] ; [37 23],[9. 6.] ; [36. 24.],0
s6,1,0.589262,0.291498,[10  5] ; [42 15],[10.83333333  4.16666667] ; [41.16666667 15.83333333],0
s3,1,0.627491,0.235479,[9 6] ; [40 20],[9.8 5.2] ; [39.2 20.8],0
a4,1,0.627491,0.235479,[6 9] ; [20 40],[5.2 9.8] ; [20.8 39.2],0
u3,1,0.67415,0.176786,[1 1] ; [13  7],[1.27272727 0.72727273] ; [12.72727273  7.27272727],0
a7,1,0.726191,0.122638,[8 7] ; [35 25],[8.6 6.4] ; [34.4 25.6],0
d4,1,0.782703,0.076065,[12  3] ; [46 14],[11.6  3.4] ; [46.4 13.6],0
u2,1,0.783892,0.075214,[1 1] ; [12  8],[1.18181818 0.81818182] ; [11.81818182  8.18181818],0
s5,1,0.786836,0.073128,[6 8] ; [21 33],[5.55882353 8.44117647] ; [21.44117647 32.55882353],0
s1,1,0.797221,0.066021,[ 1 14] ; [ 3 57],[ 0.8 14.2] ; [ 3.2 56.8],0
p12,1,0.808833,0.058531,[ 1 14] ; [ 3 56],[ 0.81081081 14.18918919] ; [ 3.18918919 55.81081081],0
r3,1,0.858984,0.031566,[13  2] ; [53  7],[13.2  1.8] ; [52.8  7.2],0
v2,1,0.886602,0.020336,[6 7] ; [29 31],[6.23287671 6.76712329] ; [28.76712329 31.23287671],0
d5,1,0.894392,0.017622,[11  4] ; [45 15],[11.2  3.8] ; [44.8 15.2],0
s4,1,0.901499,0.015319,[ 5 10] ; [19 41],[ 4.8 10.2] ; [19.2 40.8],0
d3,1,0.907671,0.013451,[8 7] ; [33 27],[8.2 6.8] ; [32.8 27.2],0
