Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,48.338005,[80 43] ; [26 97],[53. 70.] ; [53. 70.],1
p8,1,0.0,28.144387,[81 42] ; [39 83],[60.24489796 62.75510204] ; [59.75510204 62.24489796],1
p7,1,0.0,26.631583,[93 31] ; [51 69],[73.18032787 50.81967213] ; [70.81967213 49.18032787],1
p6,1,1e-06,23.397744,[49 74] ; [ 15 105],[32.39506173 90.60493827] ; [31.60493827 88.39506173],1
v1,1,3.8e-05,16.95457,[74 47] ; [42 79],[58. 63.] ; [58. 63.],1
p10,1,0.000112,14.917698,[108  15] ; [82 40],[95.3877551 27.6122449] ; [94.6122449 27.3877551],1
p2,1,0.000376,12.647983,[112  11] ; [90 32],[101.4122449  21.5877551] ; [100.5877551  21.4122449],1
p9,1,0.003905,8.327339,[107  16] ; [88 34],[97.89795918 25.10204082] ; [97.10204082 24.89795918],0
n5,1,0.004944,7.899925,[94 30] ; [72 50],[83.67479675 40.32520325] ; [82.32520325 39.67479675],0
p5,1,0.005675,7.650687,[ 14 108] ; [  3 119],[  8.5 113.5] ; [  8.5 113.5],0
a5,1,0.005719,7.636795,[94 30] ; [73 50],[83.83805668 40.16194332] ; [83.16194332 39.83805668],0
n4,1,0.005816,7.606358,[100  24] ; [80 43],[90.36437247 33.63562753] ; [89.63562753 33.36437247],0
d5,1,0.010936,6.475698,[102  22] ; [84 39],[93.37651822 30.62348178] ; [92.62348178 30.37651822],0
a2,1,0.025032,5.021675,[26 98] ; [ 13 110],[ 19.57894737 104.42105263] ; [ 19.42105263 103.57894737],0
v3,1,0.026358,4.932376,[50 68] ; [34 85],[41.82278481 76.17721519] ; [42.17721519 76.82278481],0
p12,1,0.033857,4.501915,[  7 117] ; [  1 120],[  4.04897959 119.95102041] ; [  3.95102041 117.04897959],0
s8,1,0.033869,4.501302,[34 90] ; [ 20 103],[27.10931174 96.89068826] ; [26.89068826 96.10931174],0
s7,1,0.043539,4.074332,[35 81] ; [22 95],[28.3776824 87.6223176] ; [28.6223176 88.3776824],0
a4,1,0.043974,4.057546,[59 65] ; [43 80],[51.20647773 72.79352227] ; [50.79352227 72.20647773],0
d1,1,0.048623,3.888323,[73 51] ; [57 66],[65.26315789 58.73684211] ; [64.73684211 58.26315789],0
v4,1,0.084032,2.985138,[118   6] ; [108  13],[114.38367347   9.61632653] ; [111.61632653   9.38367347],0
a7,1,0.107843,2.585548,[92 32] ; [79 43],[86.19512195 37.80487805] ; [84.80487805 37.19512195],0
r3,1,0.167646,1.903869,[115   9] ; [117   4],[117.42040816   6.57959184] ; [114.57959184   6.42040816],0
a3,1,0.206132,1.598387,[88 36] ; [78 45],[83.33603239 40.66396761] ; [82.66396761 40.33603239],0
a6,1,0.208525,1.581637,[87 37] ; [77 46],[82.33198381 41.66801619] ; [81.66801619 41.33198381],0
d2,1,0.211942,1.558108,[59 65] ; [48 73],[54.15510204 69.84489796] ; [52.84489796 68.15510204],0
d3,1,0.216546,1.527112,[83 41] ; [73 50],[78.31578947 45.68421053] ; [77.68421053 45.31578947],0
p1,1,0.220024,1.504215,[ 15 109] ; [  9 112],[ 12.14693878 111.85306122] ; [ 11.85306122 109.14693878],0
r1,1,0.225967,1.466071,[97 27] ; [88 35],[92.87449393 31.12550607] ; [92.12550607 30.87449393],0
b3,1,0.247374,1.338074,[37 46] ; [24 44],[33.52980132 49.47019868] ; [27.47019868 40.52980132],0
b2,1,0.247374,1.338074,[37 46] ; [24 44],[33.52980132 49.47019868] ; [27.47019868 40.52980132],0
b1,1,0.25743,1.282525,[51 73] ; [42 81],[46.68825911 77.31174089] ; [46.31174089 76.68825911],0
