Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,42.215385,[12 27] ; [44  1],[26. 13.] ; [30. 15.],1
r1,1,0.0,30.624147,[12 27] ; [41  5],[24.31764706 14.68235294] ; [28.68235294 17.31764706],1
v4,1,1e-06,24.02931,[16 23] ; [41  4],[26.46428571 12.53571429] ; [30.53571429 14.46428571],1
r2,1,1.5e-05,18.776047,[23 15] ; [45  1],[30.76190476  7.23809524] ; [37.23809524  8.76190476],1
p2,1,0.000174,14.097902,[10 29] ; [30 15],[18.57142857 20.42857143] ; [21.42857143 23.57142857],1
u3,1,0.000366,12.698413,[ 4 14] ; [12  2],[9. 9.] ; [7. 7.],1
s6,1,0.000401,12.529586,[ 7 32] ; [25 20],[14.85714286 24.14285714] ; [17.14285714 27.85714286],1
n3,1,0.002592,9.074799,[ 9 13] ; [15  2],[13.53846154  8.46153846] ; [10.46153846  6.53846154],0
p8,1,0.003548,8.50153,[ 3 35] ; [15 28],[ 8.44444444 29.55555556] ; [ 9.55555556 33.44444444],0
s2,1,0.00379,8.381853,[ 7 32] ; [22 24],[13.30588235 25.69411765] ; [15.69411765 30.30588235],0
p4,1,0.005335,7.762136,[ 5 34] ; [18 27],[10.67857143 28.32142857] ; [12.32142857 32.67857143],0
s7,1,0.007984,7.037037,[ 4 32] ; [15 25],[ 9. 27.] ; [10. 30.],0
d3,1,0.007997,7.034217,[17 21] ; [33 12],[22.89156627 15.10843373] ; [27.10843373 17.89156627],0
v2,1,0.010046,6.626725,[ 8 30] ; [20 21],[13.46835443 24.53164557] ; [14.53164557 26.46835443],0
d4,1,0.010722,6.510829,[23 16] ; [37  7],[28.19277108 10.80722892] ; [31.80722892 12.19277108],0
p3,1,0.015356,5.875156,[ 6 32] ; [18 27],[10.98795181 27.01204819] ; [13.01204819 31.98795181],0
u2,1,0.024782,5.039053,[ 7 11] ; [11  3],[10.125  7.875] ; [7.875 6.125],0
s8,1,0.028408,4.803136,[ 2 37] ; [10 36],[ 5.50588235 33.49411765] ; [ 6.49411765 39.50588235],0
b3,1,0.037922,4.308513,[10 11] ; [ 5 21],[ 6.70212766 14.29787234] ; [ 8.29787234 17.70212766],0
b2,1,0.037922,4.308513,[10 11] ; [ 5 21],[ 6.70212766 14.29787234] ; [ 8.29787234 17.70212766],0
a2,1,0.038653,4.276059,[ 4 35] ; [13 33],[ 7.8 31.2] ; [ 9.2 36.8],0
s4,1,0.062813,3.461498,[ 4 35] ; [12 34],[ 7.34117647 31.65882353] ; [ 8.65882353 37.34117647],0
b5,1,0.062987,3.456941,[15 24] ; [27 19],[19.27058824 19.72941176] ; [22.72941176 23.27058824],0
d5,1,0.063006,3.456437,[23 16] ; [35 10],[26.92857143 12.07142857] ; [31.07142857 13.92857143],0
s3,1,0.064948,3.406291,[13 25] ; [25 21],[17.19047619 20.80952381] ; [20.80952381 25.19047619],0
p9,1,0.06502,3.404471,[13 25] ; [23 19],[17.1 20.9] ; [18.9 23.1],0
d1,1,0.080846,3.047803,[13 26] ; [24 22],[16.97647059 22.02352941] ; [20.02352941 25.97647059],0
a6,1,0.101964,2.674545,[21 18] ; [32 13],[24.60714286 14.39285714] ; [28.39285714 16.60714286],0
v3,1,0.103738,2.647109,[ 7 32] ; [13 25],[10.12987013 28.87012987] ; [ 9.87012987 28.12987013],0
a5,1,0.118611,2.435568,[18 21] ; [29 17],[21.56470588 17.43529412] ; [25.43529412 20.56470588],0
b4,1,0.118611,2.435568,[18 21] ; [29 17],[21.56470588 17.43529412] ; [25.43529412 20.56470588],0
p6,1,0.13051,2.286424,[ 4 34] ; [10 33],[ 6.56790123 31.43209877] ; [ 7.43209877 35.56790123],0
n2,1,0.155252,2.019874,[ 9 13] ; [12  7],[11.26829268 10.73170732] ; [9.73170732 9.26829268],0
a8,1,0.178606,1.809183,[ 2 37] ; [ 6 37],[ 3.80487805 35.19512195] ; [ 4.19512195 38.80487805],0
s5,1,0.1847,1.759398,[ 5 33] ; [10 30],[ 7.30769231 30.69230769] ; [ 7.69230769 32.30769231],0
b1,1,0.191293,1.707633,[25 14] ; [23 23],[22.02352941 16.97647059] ; [25.97647059 20.02352941],0
a7,1,0.209281,1.576395,[22 17] ; [32 14],[24.77647059 14.22352941] ; [29.22352941 16.77647059],0
n5,1,0.222336,1.489231,[19 20] ; [16 29],[16.25 22.75] ; [18.75 26.25],0
a3,1,0.254589,1.297945,[21 17] ; [31 15],[23.52380952 14.47619048] ; [28.47619048 17.52380952],0
p1,1,0.321671,0.982138,[ 5 34] ; [ 3 43],[ 3.67058824 35.32941176] ; [ 4.32941176 41.67058824],0
s1,1,0.337943,0.918219,[ 5 34] ; [ 3 42],[ 3.71428571 35.28571429] ; [ 4.28571429 40.71428571],0
n4,1,0.357626,0.846214,[20 19] ; [19 27],[17.89411765 21.10588235] ; [21.10588235 24.89411765],0
p7,1,0.386232,0.750772,[11 28] ; [16 27],[12.84146341 26.15853659] ; [14.15853659 28.84146341],0
a4,1,0.503778,0.446969,[15 24] ; [21 25],[16.51764706 22.48235294] ; [19.48235294 26.51764706],0
p10,1,0.541721,0.372359,[12 26] ; [16 26],[13.3 24.7] ; [14.7 27.3],0
d2,1,0.627198,0.23588,[17 22] ; [22 23],[18.10714286 20.89285714] ; [20.89285714 24.10714286],0
v1,1,0.727605,0.121322,[13 26] ; [17 29],[13.76470588 25.23529412] ; [16.23529412 29.76470588],0
n1,1,0.986903,0.000269,[ 7 15] ; [ 6 13],[ 6.97560976 15.02439024] ; [ 6.02439024 12.97560976],0
