Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1.1e-05,19.375415,[26 82] ; [18  8],[35.46268657 72.53731343] ; [ 8.53731343 17.46268657],1
s6,1,0.000147,14.406423,[35 73] ; [19  7],[43.52238806 64.47761194] ; [10.47761194 15.52238806],1
b4,1,0.00207,9.486048,[51 57] ; [21  5],[58.02985075 49.97014925] ; [13.97014925 12.02985075],0
s4,1,0.002778,8.947907,[17 91] ; [11 15],[22.56716418 85.43283582] ; [ 5.43283582 20.56716418],0
p5,1,0.009635,6.701162,[  5 101] ; [ 5 20],[ 8.09160305 97.90839695] ; [ 1.90839695 23.09160305],0
v4,1,0.013759,6.068757,[79 29] ; [24  1],[83.63909774 24.36090226] ; [19.36090226  5.63909774],0
d4,1,0.014706,5.951358,[59 49] ; [21  5],[64.47761194 43.52238806] ; [15.52238806 10.47761194],0
s7,1,0.017384,5.657218,[25 79] ; [12 13],[29.82945736 74.17054264] ; [ 7.17054264 17.82945736],0
s3,1,0.025955,4.95901,[36 70] ; [15 11],[40.95454545 65.04545455] ; [10.04545455 15.95454545],0
n5,1,0.056459,3.638472,[71 36] ; [12 14],[66.77443609 40.22556391] ; [16.22556391  9.77443609],0
u2,1,0.083974,2.986266,[20 32] ; [9 5],[22.84848485 29.15151515] ; [6.15151515 7.84848485],0
v1,1,0.087923,2.912,[21 84] ; [ 9 16],[24.23076923 80.76923077] ; [ 5.76923077 19.23076923],0
r4,1,0.11439,2.492505,[52 56] ; [17  9],[55.6119403 52.3880597] ; [13.3880597 12.6119403],0
p2,1,0.136172,2.22069,[69 38] ; [20  5],[72.14393939 34.85606061] ; [16.85606061  8.14393939],0
d1,1,0.137322,2.207709,[26 82] ; [10 16],[29.01492537 78.98507463] ; [ 6.98507463 19.01492537],0
a1,1,0.137618,2.204398,[  7 101] ; [ 4 22],[ 8.86567164 99.13432836] ; [ 2.13432836 23.86567164],0
d2,1,0.13883,2.19088,[33 74] ; [12 14],[36.20300752 70.79699248] ; [ 8.79699248 17.20300752],0
a4,1,0.144888,2.125263,[26 81] ; [10 16],[28.96240602 78.03759398] ; [ 7.03759398 18.96240602],0
u3,1,0.149289,2.079499,[15 36] ; [7 7],[17.26153846 33.73846154] ; [4.73846154 9.26153846],0
a6,1,0.165133,1.926579,[62 46] ; [11 15],[58.8358209 49.1641791] ; [14.1641791 11.8358209],0
n2,1,0.166091,1.917873,[20 14] ; [9 2],[21.91111111 12.08888889] ; [7.08888889 3.91111111],0
p6,1,0.183444,1.769502,[20 86] ; [ 8 18],[22.48484848 83.51515152] ; [ 5.51515152 20.48484848],0
d3,1,0.220549,1.500793,[43 63] ; [14 12],[45.77272727 60.22727273] ; [11.22727273 14.77272727],0
s1,1,0.235225,1.408984,[  3 105] ; [ 2 24],[  4.02985075 103.97014925] ; [ 0.97014925 25.02985075],0
p1,1,0.244751,1.353019,[ 9 99] ; [ 4 21],[10.55639098 97.44360902] ; [ 2.44360902 22.55639098],0
a8,1,0.260906,1.263942,[12 92] ; [ 1 24],[10.48062016 93.51937984] ; [ 2.51937984 22.48062016],0
