Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.000937,10.948853,[19 59] ; [22 18],[27.10169492 50.89830508] ; [13.89830508 26.10169492],1
s2,1,0.00184,9.70228,[25 52] ; [25 15],[32.90598291 44.09401709] ; [17.09401709 22.90598291],0
s6,1,0.00624,7.479563,[38 40] ; [30 10],[44.94915254 33.05084746] ; [23.05084746 16.94915254],0
s4,1,0.008062,7.019571,[ 7 71] ; [11 29],[11.89830508 66.10169492] ; [ 6.10169492 33.89830508],0
s5,1,0.011407,6.400745,[10 63] ; [13 25],[15.12612613 57.87387387] ; [ 7.87387387 30.12612613],0
s3,1,0.015298,5.881846,[35 42] ; [27 12],[41.15517241 35.84482759] ; [20.84482759 18.15517241],0
p9,1,0.026457,4.9259,[50 27] ; [33  6],[55.09482759 21.90517241] ; [27.90517241 11.09482759],0
v1,1,0.053273,3.735335,[29 46] ; [23 17],[33.91304348 41.08695652] ; [18.08695652 21.91304348],0
b4,1,0.078883,3.087762,[52 26] ; [20 20],[47.59322034 30.40677966] ; [24.40677966 15.59322034],0
p10,1,0.124434,2.360602,[44 33] ; [28 11],[47.79310345 29.20689655] ; [24.20689655 14.79310345],0
u2,1,0.137916,2.201064,[19 10] ; [9 1],[20.82051282  8.17948718] ; [7.17948718 2.82051282],0
n1,1,0.138011,2.2,[ 8 14] ; [7 4],[10. 12.] ; [5. 6.],0
b5,1,0.166511,1.914081,[53 25] ; [22 18],[49.57627119 28.42372881] ; [25.42372881 14.57627119],0
b3,1,0.189051,1.725,[11 35] ; [ 9 14],[13.33333333 32.66666667] ; [ 6.66666667 16.33333333],0
b2,1,0.189051,1.725,[11 35] ; [ 9 14],[13.33333333 32.66666667] ; [ 6.66666667 16.33333333],0
p5,1,0.201804,1.629268,[ 2 75] ; [ 3 36],[ 3.31896552 73.68103448] ; [ 1.68103448 37.31896552],0
p7,1,0.21113,1.56366,[34 39] ; [23 16],[37.15178571 35.84821429] ; [19.84821429 19.15178571],0
v2,1,0.220671,1.5,[33 39] ; [21 15],[36. 36.] ; [18. 18.],0
a5,1,0.230435,1.438175,[50 28] ; [30 10],[52.88135593 25.11864407] ; [27.11864407 12.88135593],0
