Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,3e-06,21.959075,[331  65] ; [47 31],[315.79746835  80.20253165] ; [62.20253165 15.79746835],1
p8,1,3e-06,21.748141,[230 156] ; [24 54],[211.30172414 174.69827586] ; [42.69827586 35.30172414],1
p9,1,4e-06,21.30093,[351  40] ; [54 23],[338.36538462  52.63461538] ; [66.63461538 10.36538462],1
p4,1,6e-06,20.575812,[261 132] ; [30 47],[243.32553191 149.67446809] ; [47.67446809 29.32553191],1
p7,1,1.8e-05,18.388529,[276 111] ; [35 41],[259.95032397 127.04967603] ; [51.04967603 24.95032397],1
v1,1,7e-05,15.798357,[265 122] ; [35 43],[249.67741935 137.32258065] ; [50.32258065 27.67741935],1
n5,1,0.002087,9.471575,[305  86] ; [48 30],[294.29211087  96.70788913] ; [58.70788913 19.29211087],0
p10,1,0.002539,9.112091,[336  57] ; [55 22],[326.94255319  66.05744681] ; [64.05744681 12.94255319],0
p3,1,0.00458,8.038325,[229 167] ; [31 46],[217.6744186 178.3255814] ; [42.3255814 34.6744186],0
r4,1,0.004605,8.028185,[378  18] ; [68 10],[372.60759494  23.39240506] ; [73.39240506  4.60759494],0
s4,1,0.005362,7.753065,[ 49 344] ; [19 58],[ 56.85957447 336.14042553] ; [11.14042553 65.85957447],0
n3,1,0.00573,7.633441,[59 11] ; [13 10],[54.19354839 15.80645161] ; [17.80645161  5.19354839],0
a3,1,0.010625,6.527009,[307  88] ; [50 28],[298.12896406  96.87103594] ; [58.87103594 19.12896406],0
n4,1,0.014198,6.013344,[317  77] ; [53 25],[308.8559322  85.1440678] ; [61.1440678 16.8559322],0
n6,1,0.014961,5.921003,[346  46] ; [60 17],[339.34328358  52.65671642] ; [66.65671642 10.34328358],0
d3,1,0.015766,5.828823,[295 101] ; [47 30],[286.3255814 109.6744186] ; [55.6744186 21.3255814],0
