Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,1e-06,23.930602,[57 34] ; [ 45 103],[38.83682008 52.16317992] ; [63.16317992 84.83682008],1
p10,1,2e-06,22.688485,[36 51] ; [107  40],[53.16666667 33.83333333] ; [89.83333333 57.16666667],1
r3,1,4e-06,21.092256,[65 25] ; [137   9],[77.03389831 12.96610169] ; [124.96610169  21.03389831],1
r4,1,6e-05,16.108737,[56 35] ; [125  23],[68.91631799 22.08368201] ; [112.08368201  35.91631799],1
v4,1,0.000137,14.537251,[68 22] ; [135  10],[77.74468085 12.25531915] ; [125.25531915  19.74468085],1
n6,1,0.000149,14.385737,[51 38] ; [118  29],[63.73305085 25.26694915] ; [105.26694915  41.73305085],1
p9,1,0.000505,12.096996,[46 41] ; [111  37],[58.12340426 28.87659574] ; [98.87659574 49.12340426],1
p2,1,0.011532,6.38149,[52 39] ; [108  40],[60.92050209 30.07949791] ; [99.07949791 48.92050209],0
r2,1,0.021291,5.302813,[71 19] ; [131  15],[77.03389831 12.96610169] ; [124.96610169  21.03389831],0
u2,1,0.022906,5.175625,[15 27] ; [33 23],[20.57142857 21.42857143] ; [27.42857143 28.57142857],0
n3,1,0.026522,4.921672,[19 13] ; [37  8],[23.27272727  8.72727273] ; [32.72727273 12.27272727],0
n2,1,0.042107,4.1309,[22 12] ; [38  7],[25.82278481  8.17721519] ; [34.17721519 10.82278481],0
r1,1,0.045938,3.98385,[51 38] ; [103  44],[58.07627119 30.92372881] ; [95.92372881 51.07627119],0
v2,1,0.053013,3.74351,[28 60] ; [63 78],[34.96943231 53.03056769] ; [56.03056769 84.96943231],0
b4,1,0.068077,3.328777,[45 46] ; [91 57],[51.78242678 39.21757322] ; [84.21757322 63.78242678],0
a1,1,0.070865,3.262876,[ 9 82] ; [  6 142],[ 5.71129707 85.28870293] ; [  9.28870293 138.71129707],0
d3,1,0.088656,2.898618,[28 61] ; [63 85],[34.17299578 54.82700422] ; [56.82700422 91.17299578],0
