Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,1e-06,24.651201,[11 62] ; [40 34],[25.32653061 47.67346939] ; [25.67346939 48.32653061],1
p6,1,8e-06,19.979352,[ 5 66] ; [28 45],[16.27083333 54.72916667] ; [16.72916667 56.27083333],1
p2,1,0.000882,11.060349,[37 36] ; [57 17],[46.68027211 26.31972789] ; [47.31972789 26.68027211],1
a4,1,0.001865,9.677578,[35 38] ; [17 56],[26. 47.] ; [26. 47.],0
a3,1,0.005498,7.708003,[51 22] ; [35 39],[42.70748299 30.29251701] ; [43.29251701 30.70748299],0
a2,1,0.008482,6.928674,[19 54] ; [ 7 67],[12.91156463 60.08843537] ; [13.08843537 60.91156463],0
p3,1,0.014046,6.03235,[17 54] ; [32 42],[23.99310345 47.00689655] ; [25.00689655 48.99310345],0
p10,1,0.01519,5.894285,[12 60] ; [25 48],[18.37241379 53.62758621] ; [18.62758621 54.37241379],0
s3,1,0.018783,5.521597,[25 47] ; [40 34],[32.05479452 39.94520548] ; [32.94520548 41.05479452],0
p4,1,0.028591,4.7921,[25 47] ; [39 35],[31.56164384 40.43835616] ; [32.43835616 41.56164384],0
a6,1,0.032759,4.558321,[51 22] ; [39 35],[44.69387755 28.30612245] ; [45.30612245 28.69387755],0
s2,1,0.06316,3.452404,[19 51] ; [31 43],[24.30555556 45.69444444] ; [25.69444444 48.30555556],0
d5,1,0.066472,3.368051,[59 14] ; [50 24],[54.1292517 18.8707483] ; [54.8707483 19.1292517],0
a7,1,0.073711,3.198384,[52 20] ; [43 31],[46.84931507 25.15068493] ; [48.15068493 25.84931507],0
d1,1,0.083146,3.002315,[38 35] ; [28 46],[32.7755102 40.2244898] ; [33.2244898 40.7755102],0
p11,1,0.083493,2.99557,[34 39] ; [45 29],[39.23129252 33.76870748] ; [39.76870748 34.23129252],0
u1,1,0.092254,2.834598,[14 59] ; [ 7 67],[10.42857143 62.57142857] ; [10.57142857 63.42857143],0
a8,1,0.134569,2.238984,[ 3 62] ; [ 8 60],[ 5.37593985 59.62406015] ; [ 5.62406015 62.37593985],0
r4,1,0.135764,2.225328,[55 18] ; [63 11],[58.59863946 14.40136054] ; [59.40136054 14.59863946],0
r3,1,0.155885,2.013693,[62 10] ; [69  5],[64.60273973  7.39726027] ; [66.39726027  7.60273973],0
s6,1,0.156346,2.009217,[30 42] ; [39 34],[34.26206897 37.73793103] ; [34.73793103 38.26206897],0
d4,1,0.166676,1.912584,[56 16] ; [50 24],[52.2739726 19.7260274] ; [53.7260274 20.2739726],0
v1,1,0.18716,1.739836,[22 51] ; [30 44],[25.82312925 47.17687075] ; [26.17687075 47.82312925],0
a5,1,0.199329,1.647284,[48 25] ; [41 33],[44.19727891 28.80272109] ; [44.80272109 29.19727891],0
b4,1,0.262998,1.252904,[48 25] ; [42 32],[44.69387755 28.30612245] ; [45.30612245 28.69387755],0
r1,1,0.269659,1.218479,[58 15] ; [53 21],[55.12244898 17.87755102] ; [55.87755102 18.12244898],0
