Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.00072,11.43757,[ 45 231] ; [5 3],[ 48.5915493 227.4084507] ; [1.4084507 6.5915493],1
p8,1,0.002295,9.297159,[ 73 206] ; [6 2],[ 76.79790941 202.20209059] ; [2.20209059 5.79790941],0
s7,1,0.019322,5.472112,[ 47 222] ; [4 4],[ 49.52707581 219.47292419] ; [1.47292419 6.52707581],0
p6,1,0.032296,4.58272,[ 33 243] ; [3 5],[ 34.98591549 241.01408451] ; [1.01408451 6.98591549],0
s6,1,0.033598,4.515028,[106 174] ; [6 2],[108.88888889 171.11111111] ; [3.11111111 4.88888889],0
p12,1,0.084962,2.967338,[  8 274] ; [1 6],[  8.78200692 273.21799308] ; [0.21799308 6.78200692],0
b4,1,0.097636,2.743747,[165 118] ; [7 1],[167.27147766 115.72852234] ; [4.72852234 3.27147766],0
n4,1,0.137387,2.206987,[174 108] ; [7 1],[176.00689655 105.99310345] ; [4.99310345 3.00689655],0
p11,1,0.159009,1.983622,[179 104] ; [7 1],[180.88659794 102.11340206] ; [5.11340206 2.88659794],0
s3,1,0.186596,1.74429,[108 170] ; [1 6],[106.32280702 171.67719298] ; [2.67719298 4.32280702],0
v1,1,0.256238,1.288969,[101 178] ; [4 3],[102.43006993 176.56993007] ; [2.56993007 4.43006993],0
s1,1,0.273274,1.20024,[ 12 266] ; [1 7],[ 12.63636364 265.36363636] ; [0.36363636 7.63636364],0
v2,1,0.317946,0.997378,[114 153] ; [2 6],[112.62545455 154.37454545] ; [3.37454545 4.62545455],0
r4,1,0.335524,0.92746,[204  79] ; [7 1],[205.19931271  77.80068729] ; [5.80068729 2.19931271],0
p1,1,0.382421,0.762905,[ 15 266] ; [1 7],[ 15.55709343 265.44290657] ; [0.44290657 7.55709343],0
n5,1,0.396514,0.718872,[169 112] ; [6 2],[170.15570934 110.84429066] ; [4.84429066 3.15570934],0
v3,1,0.415265,0.663678,[ 68 206] ; [3 5],[ 68.9858156 205.0141844] ; [2.0141844 5.9858156],0
b5,1,0.437675,0.602371,[174 109] ; [6 2],[175.05154639 107.94845361] ; [4.94845361 3.05154639],0
u2,1,0.485529,0.486419,[50 58] ; [2 1],[50.59459459 57.40540541] ; [1.40540541 1.59459459],0
d2,1,0.490198,0.476091,[103 176] ; [2 6],[102.07317073 176.92682927] ; [2.92682927 5.07317073],0
b3,1,0.493814,0.468204,[48 95] ; [2 2],[48.63945578 94.36054422] ; [1.36054422 2.63945578],0
b2,1,0.493814,0.468204,[48 95] ; [2 2],[48.63945578 94.36054422] ; [1.36054422 2.63945578],0
b1,1,0.495868,0.46377,[104 179] ; [2 6],[103.08591065 179.91408935] ; [2.91408935 5.08591065],0
a6,1,0.503598,0.447347,[179 103] ; [6 2],[179.89655172 102.10344828] ; [5.10344828 2.89655172],0
p3,1,0.514392,0.425123,[ 46 236] ; [2 6],[ 46.67586207 235.32413793] ; [1.32413793 6.67586207],0
p2,1,0.532966,0.388734,[182 101] ; [6 2],[182.83161512 100.16838488] ; [5.16838488 2.83161512],0
a4,1,0.549529,0.358161,[ 99 182] ; [2 6],[ 98.20415225 182.79584775] ; [2.79584775 5.20415225],0
s2,1,0.549751,0.357764,[ 78 202] ; [3 5],[ 78.75 201.25] ; [2.25 5.75],0
d1,1,0.638784,0.220336,[118 165] ; [4 4],[118.64604811 164.35395189] ; [3.35395189 4.64604811],0
d3,1,0.642555,0.215416,[163 117] ; [4 4],[162.36111111 117.63888889] ; [4.63888889 3.36111111],0
a2,1,0.757533,0.095309,[ 47 236] ; [1 7],[ 46.68041237 236.31958763] ; [1.31958763 6.68041237],0
u3,1,0.768617,0.086544,[46 64] ; [1 2],[45.75221239 64.24778761] ; [1.24778761 1.75221239],0
d5,1,0.794263,0.068005,[188  93] ; [5 3],[187.65743945  93.34256055] ; [5.34256055 2.65743945],0
a8,1,0.80447,0.061289,[ 30 236] ; [1 6],[ 30.20512821 235.79487179] ; [0.79487179 6.20512821],0
r3,1,0.838766,0.041401,[236  42] ; [7 1],[236.2027972  41.7972028] ; [6.7972028 1.2027972],0
r1,1,0.844553,0.038445,[185  96] ; [5 3],[184.74048443  96.25951557] ; [5.25951557 2.74048443],0
p7,1,0.851267,0.035157,[109 168] ; [3 4],[109.23943662 167.76056338] ; [2.76056338 4.23943662],0
a7,1,0.86708,0.028012,[183  97] ; [5 3],[182.77777778  97.22222222] ; [5.22222222 2.77777778],0
d4,1,0.910408,0.012662,[205  75] ; [6 2],[205.13888889  74.86111111] ; [5.86111111 2.13888889],0
r2,1,0.959751,0.002547,[244  33] ; [7 1],[243.95438596  33.04561404] ; [7.04561404 0.95438596],0
a3,1,0.967296,0.001681,[173 107] ; [5 3],[173.05555556 106.94444444] ; [4.94444444 3.05555556],0
