Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a2,1,0.13457,2.23898,[10 46] ; [ 4 46],[ 7.39622642 48.60377358] ; [ 6.60377358 43.39622642],0
b4,1,0.138171,2.198212,[29 27] ; [33 17],[32.75471698 23.24528302] ; [29.24528302 20.75471698],0
v1,1,0.147241,2.100605,[12 44] ; [17 33],[15.32075472 40.67924528] ; [13.67924528 36.32075472],0
p6,1,0.193298,1.692304,[ 6 48] ; [10 39],[ 8.38834951 45.61165049] ; [ 7.61165049 41.38834951],0
p1,1,0.208468,1.582031,[ 3 53] ; [ 6 43],[ 4.8 51.2] ; [ 4.2 44.8],0
s8,1,0.220635,1.500236,[ 3 53] ; [ 6 44],[ 4.75471698 51.24528302] ; [ 4.24528302 45.75471698],0
p8,1,0.231468,1.431818,[10 45] ; [14 36],[12.57142857 42.42857143] ; [11.42857143 38.57142857],0
n2,1,0.259328,1.272341,[13 15] ; [12  7],[14.89361702 13.10638298] ; [10.10638298  8.89361702],0
a3,1,0.303388,1.059244,[33 22] ; [25 25],[30.38095238 24.61904762] ; [27.61904762 22.38095238],0
a8,1,0.305986,1.047924,[ 2 51] ; [ 4 42],[ 3.21212121 49.78787879] ; [ 2.78787879 43.21212121],0
p4,1,0.338413,0.916433,[13 42] ; [16 34],[15.19047619 39.80952381] ; [13.80952381 36.19047619],0
s1,1,0.386134,0.751083,[ 6 49] ; [ 3 46],[ 4.75961538 50.24038462] ; [ 4.24038462 44.75961538],0
a5,1,0.395425,0.722194,[29 27] ; [30 20],[31.16981132 24.83018868] ; [27.83018868 22.16981132],0
d4,1,0.437351,0.603222,[33 22] ; [33 16],[34.90384615 20.09615385] ; [31.09615385 17.90384615],0
u2,1,0.453699,0.561395,[ 9 14] ; [12 12],[10.27659574 12.72340426] ; [10.72340426 13.27659574],0
a6,1,0.47119,0.519184,[32 24] ; [32 18],[33.81132075 22.18867925] ; [30.18867925 19.81132075],0
n5,1,0.491082,0.474156,[29 26] ; [23 27],[27.23809524 27.76190476] ; [24.76190476 25.23809524],0
a7,1,0.508132,0.437912,[29 26] ; [29 20],[30.67307692 24.32692308] ; [27.32692308 21.67307692],0
n4,1,0.52511,0.403846,[33 22] ; [33 17],[34.57142857 20.42857143] ; [31.42857143 18.57142857],0
v3,1,0.564069,0.332707,[11 41] ; [13 37],[12.23529412 39.76470588] ; [11.76470588 38.23529412],0
b5,1,0.581256,0.304209,[25 31] ; [25 25],[26.41509434 29.58490566] ; [23.58490566 26.41509434],0
s3,1,0.602872,0.270686,[14 41] ; [15 35],[15.19047619 39.80952381] ; [13.80952381 36.19047619],0
u1,1,0.633179,0.227774,[ 6 50] ; [ 4 46],[ 5.28301887 50.71698113] ; [ 4.71698113 45.28301887],0
d5,1,0.707582,0.140704,[35 21] ; [33 17],[35.9245283 20.0754717] ; [32.0754717 17.9245283],0
d2,1,0.719232,0.12923,[25 30] ; [24 25],[25.91346154 29.08653846] ; [23.08653846 25.91346154],0
p3,1,0.733668,0.11577,[13 42] ; [13 36],[13.75 41.25] ; [12.25 36.75],0
d1,1,0.776328,0.080717,[22 34] ; [21 29],[22.71698113 33.28301887] ; [20.28301887 29.71698113],0
a4,1,0.817247,0.053401,[21 34] ; [18 32],[20.42857143 34.57142857] ; [18.57142857 31.42857143],0
n1,1,0.827662,0.047394,[10 18] ; [ 7 11],[10.34782609 17.65217391] ; [ 6.65217391 11.34782609],0
b2,1,0.869093,0.027162,[12 22] ; [10 20],[11.6875 22.3125] ; [10.3125 19.6875],0
b3,1,0.869093,0.027162,[12 22] ; [10 20],[11.6875 22.3125] ; [10.3125 19.6875],0
p12,1,0.923994,0.009102,[ 1 55] ; [ 1 48],[ 1.06666667 54.93333333] ; [ 0.93333333 48.06666667],0
d3,1,0.982414,0.000486,[29 27] ; [26 24],[29.05660377 26.94339623] ; [25.94339623 24.05660377],0
