Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,66.356502,[249  80] ; [40 78],[212.70917226 116.29082774] ; [76.29082774 41.70917226],1
d3,1,0.0,36.143967,[259  71] ; [58 60],[233.50446429  96.49553571] ; [83.49553571 34.50446429],1
b5,1,3e-06,21.846607,[222 110] ; [50 68],[200.67555556 131.32444444] ; [71.32444444 46.67555556],1
a2,1,5e-06,20.964501,[109 223] ; [ 13 105],[ 90.00888889 241.99111111] ; [31.99111111 86.00888889],1
u1,1,7e-06,20.173178,[ 92 240] ; [  9 109],[ 74.51555556 257.48444444] ; [26.48444444 91.51555556],1
s8,1,0.001936,9.609648,[190 140] ; [87 31],[204.04017857 125.95982143] ; [72.95982143 45.04017857],0
d1,1,0.009386,6.747778,[227 105] ; [65 53],[215.43111111 116.56888889] ; [76.56888889 41.43111111],0
p2,1,0.011091,6.450715,[284  46] ; [88 28],[275.24663677  54.75336323] ; [96.75336323 19.24663677],0
b1,1,0.027567,4.85493,[122 210] ; [57 61],[132.06222222 199.93777778] ; [46.93777778 71.06222222],0
s7,1,0.032754,4.558587,[216 101] ; [89 24],[224.84883721  92.15116279] ; [80.15116279 32.84883721],0
p10,1,0.033028,4.54435,[286  41] ; [92 24],[279.02031603  47.97968397] ; [98.97968397 17.02031603],0
p9,1,0.033994,4.495001,[293  32] ; [96 20],[286.67800454  38.32199546] ; [102.32199546  13.67800454],0
r1,1,0.05077,3.815846,[282  47] ; [92 26],[275.27069351  53.72930649] ; [98.72930649 19.27069351],0
a1,1,0.054721,3.690562,[ 15 317] ; [ 11 107],[ 19.18222222 312.81777778] ; [  6.81777778 111.18222222],0
n1,1,0.069181,3.302355,[23 42] ; [18 15],[27.19387755 37.80612245] ; [13.80612245 19.19387755],0
d4,1,0.072369,3.228455,[290  40] ; [95 22],[284.22818792  45.77181208] ; [100.77181208  16.22818792],0
r4,1,0.076884,3.129576,[316  16] ; [107  11],[312.08  19.92] ; [110.92   7.08],0
p4,1,0.081828,3.028219,[218 111] ; [67 50],[210.23542601 118.76457399] ; [74.76457399 42.23542601],0
b4,1,0.115753,2.473869,[202 130] ; [62 56],[194.77333333 137.22666667] ; [69.22666667 48.77333333],0
v1,1,0.137086,2.210365,[181 140] ; [74 41],[187.74082569 133.25917431] ; [67.25917431 47.74082569],0
r3,1,0.153989,2.032281,[322   8] ; [112   6],[319.6875  10.3125] ; [114.3125   3.6875],0
b3,1,0.207872,1.586186,[ 71 120] ; [38 46],[ 75.70545455 115.29454545] ; [33.29454545 50.70545455],0
b2,1,0.207872,1.586186,[ 71 120] ; [38 46],[ 75.70545455 115.29454545] ; [33.29454545 50.70545455],0
n3,1,0.228504,1.450148,[50 15] ; [23 12],[47.45 17.55] ; [25.55  9.45],0
p1,1,0.231586,1.431094,[ 35 294] ; [  8 109],[ 31.71973094 297.28026906] ; [ 11.28026906 105.71973094],0
p12,1,0.238232,1.391024,[ 39 292] ; [  9 106],[ 35.62331839 295.37668161] ; [ 12.37668161 102.62331839],0
n6,1,0.27304,1.201408,[285  43] ; [96 20],[281.45945946  46.54054054] ; [99.54054054 16.45945946],0
s5,1,0.292563,1.107787,[151 165] ; [60 52],[155.78504673 160.21495327] ; [55.21495327 56.78504673],0
a3,1,0.299839,1.07491,[245  86] ; [93 25],[249.1714922  81.8285078] ; [88.8285078 29.1714922],0
v3,1,0.362539,0.82908,[132 182] ; [54 61],[136.13986014 177.86013986] ; [49.86013986 65.13986014],0
a4,1,0.410761,0.676596,[157 175] ; [61 57],[160.83555556 171.16444444] ; [57.16444444 60.83555556],0
p8,1,0.431543,0.618667,[176 151] ; [57 58],[172.37782805 154.62217195] ; [60.62217195 54.37782805],0
a8,1,0.458746,0.548952,[ 49 253] ; [15 98],[ 46.57349398 255.42650602] ; [17.42650602 95.57349398],0
d2,1,0.470215,0.521471,[180 149] ; [60 58],[176.6442953 152.3557047] ; [63.3557047 54.6442953],0
a5,1,0.50124,0.452311,[255  77] ; [87 31],[252.32  79.68] ; [89.68 28.32],0
p11,1,0.563655,0.333415,[253  79] ; [93 25],[255.27111111  76.72888889] ; [90.72888889 27.27111111],0
v2,1,0.596549,0.280232,[188 128] ; [64 49],[185.62237762 130.37762238] ; [66.37762238 46.62237762],0
u4,1,0.641512,0.21677,[ 11 321] ; [  5 113],[ 11.80444444 320.19555556] ; [  4.19555556 113.80444444],0
u2,1,0.642347,0.215686,[52 33] ; [14 11],[51. 34.] ; [15. 10.],0
p3,1,0.652251,0.203074,[172 157] ; [64 53],[174.0896861 154.9103139] ; [61.9103139 55.0896861],0
n4,1,0.678397,0.171936,[257  74] ; [93 24],[258.59375  72.40625] ; [91.40625 25.59375],0
u3,1,0.691568,0.157393,[58 27] ; [16  9],[57.18181818 27.81818182] ; [16.81818182  8.18181818],0
s4,1,0.787338,0.072775,[ 77 250] ; [29 88],[ 78.06756757 248.93243243] ; [27.93243243 89.06756757],0
s3,1,0.814499,0.05505,[289  39] ; [103  15],[288.28699552  39.71300448] ; [103.71300448  14.28699552],0
p7,1,0.839052,0.041252,[208 109] ; [76 38],[208.88167053 108.11832947] ; [75.11832947 38.88167053],0
p5,1,0.852583,0.03453,[ 42 285] ; [ 14 101],[ 41.42986425 285.57013575] ; [ 14.57013575 100.42986425],0
n5,1,0.898609,0.016236,[257  73] ; [91 25],[257.48878924  72.51121076] ; [90.51121076 25.48878924],0
d5,1,0.902513,0.015003,[278  52] ; [98 19],[277.58389262  52.41610738] ; [98.41610738 18.58389262],0
v4,1,0.943267,0.005064,[322   8] ; [115   3],[321.89732143   8.10267857] ; [115.10267857   2.89732143],0
n2,1,0.944814,0.004792,[52 13] ; [27  7],[51.86868687 13.13131313] ; [27.13131313  6.86868687],0
p6,1,0.955592,0.003101,[140 188] ; [49 65],[140.25339367 187.74660633] ; [48.74660633 65.25339367],0
s6,1,0.961107,0.002378,[283  44] ; [98 15],[283.15227273  43.84772727] ; [97.84772727 15.15227273],0
s1,1,0.976419,0.000874,[ 17 310] ; [  6 111],[ 16.93918919 310.06081081] ; [  6.06081081 110.93918919],0
