Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.020385,5.378656,[ 2 20] ; [3 3],[ 3.92857143 18.07142857] ; [1.07142857 4.92857143],0
v2,1,0.04733,3.933611,[ 4 31] ; [5 9],[ 6.42857143 28.57142857] ; [ 2.57142857 11.42857143],0
p10,1,0.056686,3.631788,[14 21] ; [11  5],[17.15686275 17.84313725] ; [7.84313725 8.15686275],0
p9,1,0.068909,3.308824,[14 20] ; [11  5],[17. 17.] ; [8. 8.],0
s4,1,0.079365,3.077852,[10 26] ; [ 1 15],[ 7.61538462 28.38461538] ; [ 3.38461538 12.61538462],0
n3,1,0.097899,2.739448,[10 10] ; [6 1],[11.85185185  8.14814815] ; [4.14814815 2.85185185],0
a3,1,0.135244,2.23125,[14 21] ; [10  6],[16.47058824 18.52941176] ; [7.52941176 8.47058824],0
n2,1,0.14753,2.097605,[11  9] ; [6 1],[12.59259259  7.40740741] ; [4.40740741 2.59259259],0
b4,1,0.150652,2.065642,[19 17] ; [ 5 11],[16.61538462 19.38461538] ; [7.38461538 8.61538462],0
b3,1,0.186923,1.741707,[ 7 16] ; [5 4],[ 8.625 14.375] ; [3.375 5.625],0
b2,1,0.186923,1.741707,[ 7 16] ; [5 4],[ 8.625 14.375] ; [3.375 5.625],0
a4,1,0.200132,1.641414,[ 4 32] ; [ 4 12],[ 5.53846154 30.46153846] ; [ 2.46153846 13.53846154],0
b1,1,0.208947,1.578711,[18 18] ; [11  5],[20.07692308 15.92307692] ; [8.92307692 7.07692308],0
b5,1,0.229421,1.444444,[20 16] ; [ 6 10],[18. 18.] ; [8. 8.],0
v3,1,0.238687,1.388333,[ 3 33] ; [ 3 12],[ 4.23529412 31.76470588] ; [ 1.76470588 13.23529412],0
s1,1,0.238687,1.388333,[ 3 33] ; [ 3 12],[ 4.23529412 31.76470588] ; [ 1.76470588 13.23529412],0
p6,1,0.294211,1.100249,[ 6 29] ; [ 1 15],[ 4.80392157 30.19607843] ; [ 2.19607843 13.80392157],0
r3,1,0.324198,0.971935,[15 21] ; [8 6],[16.56 19.44] ; [6.44 7.56],0
p7,1,0.384088,0.757576,[14 21] ; [8 7],[15.4 19.6] ; [6.6 8.4],0
p8,1,0.393347,0.728571,[13 22] ; [ 4 12],[11.66666667 23.33333333] ; [ 5.33333333 10.66666667],0
d2,1,0.411635,0.674074,[ 8 28] ; [ 2 14],[ 6.92307692 29.07692308] ; [ 3.07692308 12.92307692],0
p1,1,0.426165,0.633253,[ 5 31] ; [ 1 15],[ 4.15384615 31.84615385] ; [ 1.84615385 14.15384615],0
d4,1,0.47155,0.518341,[12 24] ; [7 9],[13.15384615 22.84615385] ; [ 5.84615385 10.15384615],0
p3,1,0.4816,0.495238,[ 6 30] ; [ 4 12],[ 6.92307692 29.07692308] ; [ 3.07692308 12.92307692],0
p11,1,0.514723,0.424454,[17 19] ; [ 6 10],[15.92307692 20.07692308] ; [7.07692308 8.92307692],0
n6,1,0.528733,0.396825,[19 17] ; [6 8],[18. 18.] ; [7. 7.],0
s8,1,0.541243,0.373241,[ 7 29] ; [ 2 14],[ 6.23076923 29.76923077] ; [ 2.76923077 13.23076923],0
u2,1,0.573714,0.316507,[ 6 16] ; [2 3],[ 6.51851852 15.48148148] ; [1.48148148 3.51851852],0
r2,1,0.594032,0.284091,[15 21] ; [7 7],[15.84 20.16] ; [6.16 7.84],0
a1,1,0.638069,0.221277,[ 3 33] ; [ 2 14],[ 3.46153846 32.53846154] ; [ 1.53846154 14.46153846],0
s2,1,0.639097,0.219925,[ 9 27] ; [ 5 11],[ 9.69230769 26.30769231] ; [ 4.30769231 11.69230769],0
s6,1,0.639097,0.219925,[ 9 27] ; [ 5 11],[ 9.69230769 26.30769231] ; [ 4.30769231 11.69230769],0
a5,1,0.639097,0.219925,[ 9 27] ; [ 5 11],[ 9.69230769 26.30769231] ; [ 4.30769231 11.69230769],0
a7,1,0.640131,0.218571,[12 24] ; [ 4 11],[11.29411765 24.70588235] ; [ 4.70588235 10.29411765],0
s3,1,0.640131,0.218571,[11 24] ; [ 4 12],[10.29411765 24.70588235] ; [ 4.70588235 11.29411765],0
n5,1,0.649873,0.206061,[24 12] ; [9 6],[23.29411765 12.70588235] ; [9.70588235 5.29411765],0
a6,1,0.683181,0.166567,[11 25] ; [ 4 12],[10.38461538 25.61538462] ; [ 4.61538462 11.38461538],0
n1,1,0.711011,0.137269,[ 7 13] ; [3 4],[ 7.40740741 12.59259259] ; [2.59259259 4.40740741],0
p4,1,0.798662,0.065065,[10 26] ; [ 5 11],[10.38461538 25.61538462] ; [ 4.61538462 11.38461538],0
s7,1,0.82315,0.04995,[ 8 27] ; [ 3 12],[ 7.7 27.3] ; [ 3.3 11.7],0
v4,1,0.859882,0.031161,[17 19] ; [7 7],[17.28 18.72] ; [6.72 7.28],0
r1,1,0.860443,0.030909,[ 8 28] ; [ 3 12],[ 7.76470588 28.23529412] ; [ 3.23529412 11.76470588],0
p2,1,0.888387,0.019697,[21 15] ; [9 7],[20.76923077 15.23076923] ; [9.23076923 6.76923077],0
n4,1,0.971109,0.001312,[19 17] ; [8 7],[19.05882353 16.94117647] ; [7.94117647 7.05882353],0
d3,1,1.0,0.0,[ 9 27] ; [ 4 12],[ 9. 27.] ; [ 4. 12.],0
