Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,3.4e-05,17.185587,[ 8 21] ; [21  4],[15.57407407 13.42592593] ; [13.42592593 11.57407407],1
r1,1,0.005603,7.673891,[16 14] ; [22  3],[20.72727273  9.27272727] ; [17.27272727  7.72727273],0
n4,1,0.012714,6.208486,[19 11] ; [23  2],[22.90909091  7.09090909] ; [19.09090909  5.90909091],0
v3,1,0.01303,6.165033,[ 7 23] ; [14 11],[11.45454545 18.54545455] ; [ 9.54545455 15.45454545],0
s8,1,0.05416,3.70775,[ 8 22] ; [13 12],[11.45454545 18.54545455] ; [ 9.54545455 15.45454545],0
n1,1,0.067278,3.348214,[3 7] ; [4 1],[4.66666667 5.33333333] ; [2.33333333 2.66666667],0
b5,1,0.097254,2.75,[15 15] ; [18  7],[18. 12.] ; [15. 10.],0
p1,1,0.101226,2.686121,[ 5 25] ; [ 9 16],[ 7.63636364 22.36363636] ; [ 6.36363636 18.63636364],0
a2,1,0.103724,2.647333,[ 1 29] ; [ 4 21],[ 2.72727273 27.27272727] ; [ 2.27272727 22.72727273],0
a5,1,0.112176,2.523297,[14 16] ; [17  8],[16.90909091 13.09090909] ; [14.09090909 10.90909091],0
a7,1,0.127514,2.322508,[15 14] ; [18  7],[17.72222222 11.27777778] ; [15.27777778  9.72222222],0
d3,1,0.141512,2.161438,[ 6 22] ; [10 15],[ 8.45283019 19.54716981] ; [ 7.54716981 17.45283019],0
b2,1,0.154248,2.029727,[ 5 11] ; [10  8],[7.05882353 8.94117647] ; [ 7.94117647 10.05882353],0
b3,1,0.154248,2.029727,[ 5 11] ; [10  8],[7.05882353 8.94117647] ; [ 7.94117647 10.05882353],0
p4,1,0.175389,1.836271,[19 11] ; [20  5],[21.27272727  8.72727273] ; [17.72727273  7.27272727],0
r4,1,0.175734,1.833333,[22  8] ; [22  3],[24.  6.] ; [20.  5.],0
b4,1,0.177802,1.815897,[15 15] ; [17  8],[17.45454545 12.54545455] ; [14.54545455 10.45454545],0
s7,1,0.197251,1.662616,[12 15] ; [15  9],[14.29411765 12.70588235] ; [12.70588235 11.29411765],0
d1,1,0.217803,1.518791,[ 1 29] ; [ 3 22],[ 2.18181818 27.81818182] ; [ 1.81818182 23.18181818],0
b1,1,0.218279,1.515653,[13 17] ; [15 10],[15.27272727 14.72727273] ; [12.72727273 12.27272727],0
r2,1,0.230571,1.437333,[26  4] ; [24  1],[27.27272727  2.72727273] ; [22.72727273  2.27272727],0
u3,1,0.262871,1.253571,[ 6 10] ; [6 4],[7.38461538 8.61538462] ; [4.61538462 5.38461538],0
s6,1,0.30042,1.072328,[14 15] ; [15  9],[15.86792453 13.13207547] ; [13.13207547 10.86792453],0
p5,1,0.310909,1.026809,[ 5 25] ; [ 7 18],[ 6.54545455 23.45454545] ; [ 5.45454545 19.54545455],0
a3,1,0.324035,0.972591,[14 16] ; [15 10],[15.81818182 14.18181818] ; [13.18181818 11.81818182],0
p12,1,0.336918,0.922123,[ 5 25] ; [ 2 23],[ 3.81818182 26.18181818] ; [ 3.18181818 21.81818182],0
p11,1,0.39659,0.718641,[21  9] ; [20  5],[22.36363636  7.63636364] ; [18.63636364  6.36363636],0
a8,1,0.419216,0.652511,[ 4 26] ; [ 5 18],[ 5.09433962 24.90566038] ; [ 3.90566038 19.09433962],0
n2,1,0.438578,0.6,[6 4] ; [4 1],[6.66666667 3.33333333] ; [3.33333333 1.66666667],0
u1,1,0.447942,0.575855,[ 1 29] ; [ 2 23],[ 1.63636364 28.36363636] ; [ 1.36363636 23.63636364],0
d5,1,0.474401,0.511706,[10 19] ; [11 14],[11.27777778 17.72222222] ; [ 9.72222222 15.27777778],0
u2,1,0.483231,0.491562,[9 7] ; [7 3],[9.84615385 6.15384615] ; [6.15384615 3.84615385],0
n5,1,0.545562,0.365328,[23  7] ; [20  4],[23.88888889  6.11111111] ; [19.11111111  4.88888889],0
a4,1,0.593955,0.284211,[ 8 22] ; [ 8 16],[ 8.88888889 21.11111111] ; [ 7.11111111 16.88888889],0
p10,1,0.618333,0.248218,[22  8] ; [19  5],[22.77777778  7.22222222] ; [18.22222222  5.77777778],0
d2,1,0.618841,0.2475,[ 9 21] ; [ 6 19],[ 8.18181818 21.81818182] ; [ 6.81818182 18.18181818],0
s3,1,0.713303,0.135,[14 16] ; [10 14],[13.33333333 16.66666667] ; [10.66666667 13.33333333],0
a6,1,0.717052,0.131335,[19 11] ; [17  8],[19.63636364 10.36363636] ; [16.36363636  8.63636364],0
n6,1,0.749619,0.101852,[25  5] ; [20  5],[24.54545455  5.45454545] ; [20.45454545  4.54545455],0
p2,1,0.749619,0.101852,[25  5] ; [20  5],[24.54545455  5.45454545] ; [20.45454545  4.54545455],0
p9,1,0.765677,0.088824,[23  7] ; [20  5],[23.45454545  6.54545455] ; [19.54545455  5.45454545],0
p7,1,0.780007,0.078014,[26  4] ; [21  4],[25.63636364  4.36363636] ; [21.36363636  3.63636364],0
v4,1,0.797252,0.066,[27  3] ; [23  2],[27.27272727  2.72727273] ; [22.72727273  2.27272727],0
p3,1,0.802938,0.062274,[17 13] ; [15 10],[17.45454545 12.54545455] ; [14.54545455 10.45454545],0
r3,1,0.812733,0.056122,[27  3] ; [22  3],[26.72727273  3.27272727] ; [22.27272727  2.72727273],0
s1,1,0.891334,0.018664,[ 1 28] ; [ 1 23],[ 1.09433962 27.90566038] ; [ 0.90566038 23.09433962],0
a1,1,0.89537,0.017296,[ 1 29] ; [ 1 24],[ 1.09090909 28.90909091] ; [ 0.90909091 24.09090909],0
s2,1,0.960409,0.002464,[13 17] ; [11 14],[13.09090909 16.90909091] ; [10.90909091 14.09090909],0
s5,1,0.981991,0.00051,[10 19] ; [ 8 15],[10.03846154 18.96153846] ; [ 7.96153846 15.03846154],0
p8,1,1.0,0.0,[18 12] ; [15 10],[18. 12.] ; [15. 10.],0
