Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.000336,12.857143,[4 4] ; [31  1],[7. 1.] ; [28.  4.],1
r1,1,0.002264,9.322064,[3 6] ; [27  5],[6.58536585 2.41463415] ; [23.41463415  8.58536585],0
n3,1,0.015013,5.915,[1 3] ; [9 1],[2.85714286 1.14285714] ; [7.14285714 2.85714286],0
v4,1,0.028265,4.811806,[6 3] ; [30  2],[7.90243902 1.09756098] ; [28.09756098  3.90243902],0
s7,1,0.030019,4.708201,[2 7] ; [19 11],[4.84615385 4.15384615] ; [16.15384615 13.84615385],0
s6,1,0.037294,4.336918,[5 4] ; [27  4],[7.2 1.8] ; [24.8  6.2],0
a3,1,0.037617,4.322251,[2 6] ; [21 11],[4.6 3.4] ; [18.4 13.6],0
d2,1,0.054974,3.682864,[7 1] ; [16 16],[4.6 3.4] ; [18.4 13.6],0
s2,1,0.082353,3.017846,[3 6] ; [21 11],[5.26829268 3.73170732] ; [18.73170732 13.26829268],0
v3,1,0.087864,2.913073,[1 8] ; [13 18],[3.15 5.85] ; [10.85 20.15],0
d5,1,0.112786,2.51474,[5 4] ; [26  6],[6.80487805 2.19512195] ; [24.19512195  7.80487805],0
a7,1,0.113846,2.5,[2 6] ; [18 14],[4. 4.] ; [16. 16.],0
s8,1,0.119661,2.421755,[1 8] ; [12 19],[2.925 6.075] ; [10.075 20.925],0
n4,1,0.141936,2.15684,[4 5] ; [22  9],[5.85 3.15] ; [20.15 10.85],0
s3,1,0.141936,2.15684,[4 5] ; [22  9],[5.85 3.15] ; [20.15 10.85],0
p9,1,0.143389,2.141204,[2 7] ; [14 14],[3.89189189 5.10810811] ; [12.10810811 15.89189189],0
p1,1,0.16503,1.927519,[2 7] ; [ 2 29],[0.9 8.1] ; [ 3.1 27.9],0
a5,1,0.181092,1.78864,[4 5] ; [22 10],[5.70731707 3.29268293] ; [20.29268293 11.70731707],0
v2,1,0.190891,1.710728,[3 6] ; [18 13],[4.725 4.275] ; [16.275 14.725],0
p7,1,0.190891,1.710728,[3 6] ; [18 13],[4.725 4.275] ; [16.275 14.725],0
p8,1,0.193824,1.688312,[1 8] ; [10 20],[2.53846154 6.46153846] ; [ 8.46153846 21.53846154],0
n6,1,0.195945,1.672341,[5 4] ; [24  7],[6.525 2.475] ; [22.475  8.525],0
p3,1,0.24214,1.36809,[2 7] ; [14 18],[3.51219512 5.48780488] ; [12.48780488 19.51219512],0
v1,1,0.262943,1.253197,[2 6] ; [15 17],[3.4 4.6] ; [13.6 18.4],0
p4,1,0.293989,1.101265,[3 6] ; [17 15],[4.3902439 4.6097561] ; [15.6097561 16.3902439],0
b1,1,0.293989,1.101265,[3 6] ; [17 15],[4.3902439 4.6097561] ; [15.6097561 16.3902439],0
a1,1,0.325805,0.9655,[1 8] ; [ 1 31],[0.43902439 8.56097561] ; [ 1.56097561 30.43902439],0
n2,1,0.468717,0.525,[3 1] ; [9 1],[3.42857143 0.57142857] ; [8.57142857 1.42857143],0
d3,1,0.530357,0.393707,[4 5] ; [18 14],[4.82926829 4.17073171] ; [17.17073171 14.82926829],0
d4,1,0.532504,0.38961,[6 2] ; [27  5],[6.6 1.4] ; [26.4  5.6],0
b5,1,0.579534,0.306989,[5 4] ; [21 11],[5.70731707 3.29268293] ; [20.29268293 11.70731707],0
u2,1,0.585106,0.298052,[3 4] ; [3 7],[2.47058824 4.52941176] ; [3.52941176 6.47058824],0
p6,1,0.590536,0.289507,[1 8] ; [ 6 26],[1.53658537 7.46341463] ; [ 5.46341463 26.53658537],0
s4,1,0.618144,0.248485,[3 6] ; [ 8 24],[2.41463415 6.58536585] ; [ 8.58536585 23.41463415],0
a6,1,0.645324,0.211847,[4 5] ; [17 15],[4.6097561 4.3902439] ; [16.3902439 15.6097561],0
n5,1,0.7572,0.095579,[5 4] ; [19 12],[5.4 3.6] ; [18.6 12.4],0
b4,1,0.761595,0.092044,[6 3] ; [23  9],[6.36585366 2.63414634] ; [22.63414634  9.36585366],0
p11,1,0.837201,0.04222,[5 4] ; [19 13],[5.26829268 3.73170732] ; [18.73170732 13.26829268],0
d1,1,0.897213,0.016688,[4 5] ; [15 17],[4.17073171 4.82926829] ; [14.82926829 17.17073171],0
a4,1,0.897213,0.016688,[4 5] ; [15 17],[4.17073171 4.82926829] ; [14.82926829 17.17073171],0
u3,1,0.913906,0.011688,[3 4] ; [5 6],[3.11111111 3.88888889] ; [4.88888889 6.11111111],0
p2,1,0.953574,0.00339,[6 3] ; [21 11],[5.92682927 3.07317073] ; [21.07317073 10.92682927],0
n1,1,1.0,0.0,[2 2] ; [5 5],[2. 2.] ; [5. 5.],0
