Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,34.619449,[190  72] ; [79 98],[160.54214123 101.45785877] ; [108.45785877  68.54214123],1
v3,1,0.0,27.140432,[146 114] ; [ 55 123],[119.31506849 140.68493151] ; [81.68493151 96.31506849],1
n5,1,6e-06,20.343316,[248  18] ; [141  38],[232.5258427  33.4741573] ; [156.4741573  22.5258427],1
s8,1,7.6e-05,15.647166,[155 110] ; [ 70 108],[134.59367946 130.40632054] ; [90.40632054 87.59367946],1
p4,1,0.000507,12.090027,[206  59] ; [112  67],[189.7972973  75.2027027] ; [128.2027027  50.7972973],1
p6,1,0.000583,11.829237,[155 110] ; [ 74 103],[137.29638009 127.70361991] ; [91.70361991 85.29638009],1
p10,1,0.001061,10.717264,[241  22] ; [146  34],[229.75395034  33.24604966] ; [157.24604966  22.75395034],0
s5,1,0.005774,7.619409,[117 143] ; [ 56 120],[103.16513761 156.83486239] ; [ 69.83486239 106.16513761],0
p9,1,0.006359,7.445769,[244  21] ; [149  29],[235.09029345  29.90970655] ; [157.90970655  20.09029345],0
n1,1,0.008242,6.980057,[20 16] ; [10 29],[14.4 21.6] ; [15.6 23.4],0
r3,1,0.014245,6.007585,[263   4] ; [167  10],[258.58108108   8.41891892] ; [171.41891892   5.58108108],0
n6,1,0.017695,5.626084,[246  19] ; [153  25],[238.67945824  26.32054176] ; [160.32054176  17.67945824],0
p8,1,0.017814,5.614383,[195  69] ; [112  65],[183.78231293  80.21768707] ; [123.21768707  53.78231293],0
p3,1,0.024365,5.068449,[178  87] ; [102  78],[166.74157303  98.25842697] ; [113.25842697  66.74157303],0
d1,1,0.028302,4.809593,[180  87] ; [103  77],[169.04026846  97.95973154] ; [113.95973154  66.04026846],0
u1,1,0.032787,4.556851,[ 62 205] ; [ 27 153],[ 53.16107383 213.83892617] ; [ 35.83892617 144.16107383],0
r4,1,0.036238,4.385861,[254  13] ; [162  18],[248.48322148  18.51677852] ; [167.51677852  12.48322148],0
d4,1,0.036376,4.379405,[230  35] ; [142  37],[222.02702703  42.97297297] ; [149.97297297  29.02702703],0
p5,1,0.051593,3.788922,[ 51 215] ; [ 22 158],[ 43.53811659 222.46188341] ; [ 29.46188341 150.53811659],0
b2,1,0.059495,3.551399,[ 79 104] ; [36 76],[ 71.33898305 111.66101695] ; [43.66101695 68.33898305],0
b3,1,0.059495,3.551399,[ 79 104] ; [36 76],[ 71.33898305 111.66101695] ; [43.66101695 68.33898305],0
p11,1,0.070651,3.267826,[232  35] ; [145  35],[225.18791946  41.81208054] ; [151.81208054  28.18791946],0
d5,1,0.08215,3.021851,[232  33] ; [146  33],[225.60810811  39.39189189] ; [152.39189189  26.60810811],0
p12,1,0.083241,3.000456,[ 29 236] ; [ 11 168],[ 23.87387387 241.12612613] ; [ 16.12612613 162.87387387],0
a3,1,0.092853,2.824211,[207  58] ; [128  52],[199.49438202  65.50561798] ; [135.50561798  44.49438202],0
r2,1,0.105241,2.624269,[254   9] ; [165  12],[250.44772727  12.55227273] ; [168.55227273   8.44772727],0
b5,1,0.106851,2.600193,[160 107] ; [94 86],[151.71812081 115.28187919] ; [102.28187919  77.71812081],0
r1,1,0.123257,2.375438,[228  37] ; [145  35],[222.12359551  42.87640449] ; [150.87640449  29.12359551],0
d2,1,0.126222,2.33836,[143 123] ; [83 96],[135.09213483 130.90786517] ; [90.90786517 88.09213483],0
a4,1,0.167215,1.907732,[131 134] ; [ 77 103],[123.86516854 141.13483146] ; [84.13483146 95.86516854],0
v4,1,0.181738,1.783354,[258   7] ; [169   9],[255.42889391   9.57110609] ; [171.57110609   6.42889391],0
d3,1,0.192945,1.694989,[195  71] ; [121  58],[188.88988764  77.11011236] ; [127.11011236  51.88988764],0
p2,1,0.240975,1.374884,[245  21] ; [159  20],[241.49213483  24.50786517] ; [162.50786517  16.49213483],0
n2,1,0.257795,1.280558,[30  6] ; [29 11],[27.94736842  8.05263158] ; [31.05263158  8.94736842],0
n3,1,0.288646,1.125926,[29  7] ; [28 12],[27.  9.] ; [30. 10.],0
s6,1,0.302599,1.062704,[189  72] ; [118  56],[184.2  76.8] ; [122.8  51.2],0
a1,1,0.308839,1.035634,[ 18 249] ; [  8 172],[ 15.53020134 251.46979866] ; [ 10.46979866 169.53020134],0
p1,1,0.344762,0.892645,[ 28 239] ; [ 14 165],[ 25.14349776 241.85650224] ; [ 16.85650224 162.14349776],0
a5,1,0.346929,0.884658,[209  58] ; [134  46],[204.87919463  62.12080537] ; [138.12080537  41.87919463],0
a6,1,0.35507,0.855256,[177  88] ; [127  52],[181.44144144  83.55855856] ; [122.55855856  56.44144144],0
s2,1,0.355771,0.852767,[148 117] ; [92 87],[143.24324324 121.75675676] ; [96.75675676 82.24324324],0
