Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,2.4e-05,17.877374,[ 6 35] ; [23 15],[15.05063291 25.94936709] ; [13.94936709 24.05063291],1
p4,1,3.7e-05,17.003122,[ 8 34] ; [25 14],[17.11111111 24.88888889] ; [15.88888889 23.11111111],1
p6,1,7.9e-05,15.572324,[ 3 38] ; [18 21],[10.7625 30.2375] ; [10.2375 28.7625],1
p3,1,0.02212,5.236292,[ 9 32] ; [18 21],[13.8375 27.1625] ; [13.1625 25.8375],0
p2,1,0.024216,5.079082,[21 21] ; [29 10],[25.92592593 16.07407407] ; [24.07407407 14.92592593],0
n3,1,0.030896,4.658729,[ 7 12] ; [13  5],[10.27027027  8.72972973] ; [9.72972973 8.27027027],0
u2,1,0.058522,3.578781,[ 6 14] ; [13  9],[ 9.04761905 10.95238095] ; [ 9.95238095 12.04761905],0
n1,1,0.089552,2.882401,[ 3 16] ; [ 7 10],[ 5.27777778 13.72222222] ; [ 4.72222222 12.27777778],0
s8,1,0.13448,2.240009,[ 7 35] ; [12 27],[ 9.85185185 32.14814815] ; [ 9.14814815 29.85185185],0
d1,1,0.157014,2.002747,[17 25] ; [10 29],[14. 28.] ; [13. 26.],0
b3,1,0.167064,1.909091,[10 12] ; [ 5 15],[ 7.85714286 14.14285714] ; [ 7.14285714 12.85714286],0
b2,1,0.167064,1.909091,[10 12] ; [ 5 15],[ 7.85714286 14.14285714] ; [ 7.14285714 12.85714286],0
s6,1,0.191864,1.703248,[16 26] ; [20 18],[18.9 23.1] ; [17.1 20.9],0
a2,1,0.193442,1.691209,[ 4 38] ; [ 1 38],[ 2.59259259 39.40740741] ; [ 2.40740741 36.59259259],0
r2,1,0.194911,1.6801,[28 14] ; [31  8],[30.59259259 11.40740741] ; [28.40740741 10.59259259],0
s7,1,0.201831,1.629073,[ 8 31] ; [13 26],[10.5 28.5] ; [10.5 28.5],0
r4,1,0.22283,1.486049,[18 24] ; [22 17],[20.74074074 21.25925926] ; [19.25925926 19.74074074],0
d3,1,0.227499,1.456431,[25 17] ; [17 20],[22.32911392 19.67088608] ; [19.67088608 17.32911392],0
p9,1,0.234043,1.416122,[28 11] ; [23 16],[25.5 13.5] ; [25.5 13.5],0
p1,1,0.278128,1.176217,[ 5 37] ; [ 2 37],[ 3.62962963 38.37037037] ; [ 3.37037037 35.62962963],0
a7,1,0.283779,1.148904,[26 16] ; [19 19],[23.625 18.375] ; [21.375 16.625],0
s1,1,0.341948,0.903115,[ 3 39] ; [ 1 38],[ 2.07407407 39.92592593] ; [ 1.92592593 37.07407407],0
b4,1,0.455747,0.556319,[25 17] ; [20 19],[23.33333333 18.66666667] ; [21.66666667 17.33333333],0
s3,1,0.47379,0.513122,[14 28] ; [16 23],[15.55555556 26.44444444] ; [14.44444444 24.55555556],0
d4,1,0.47379,0.513122,[28 14] ; [23 16],[26.44444444 15.55555556] ; [24.55555556 14.44444444],0
v4,1,0.484123,0.48956,[33  9] ; [33  6],[34.22222222  7.77777778] ; [31.77777778  7.22222222],0
r3,1,0.484123,0.48956,[33  9] ; [33  6],[34.22222222  7.77777778] ; [31.77777778  7.22222222],0
a3,1,0.494564,0.466582,[22 20] ; [17 21],[20.475 21.525] ; [18.525 19.475],0
n5,1,0.505949,0.442437,[17 25] ; [13 26],[15.55555556 26.44444444] ; [14.44444444 24.55555556],0
v1,1,0.518726,0.416426,[15 27] ; [11 27],[13.65 28.35] ; [12.35 25.65],0
b5,1,0.522041,0.409859,[24 18] ; [25 14],[25.40740741 16.59259259] ; [23.59259259 15.40740741],0
a8,1,0.541175,0.373367,[ 1 39] ; [ 2 37],[ 1.51898734 38.48101266] ; [ 1.48101266 37.51898734],0
a4,1,0.546806,0.363071,[11 31] ; [ 8 31],[ 9.85185185 32.14814815] ; [ 9.14814815 29.85185185],0
n2,1,0.58239,0.302386,[11  8] ; [12  6],[11.81081081  7.18918919] ; [11.18918919  6.81081081],0
a1,1,0.583991,0.299826,[ 2 40] ; [ 3 36],[ 2.59259259 39.40740741] ; [ 2.40740741 36.59259259],0
n6,1,0.67184,0.179458,[25 17] ; [25 14],[25.92592593 16.07407407] ; [24.07407407 14.92592593],0
v2,1,0.697137,0.151468,[11 30] ; [12 27],[11.7875 29.2125] ; [11.2125 27.7875],0
p11,1,0.702162,0.146232,[23 19] ; [23 16],[23.85185185 18.14814815] ; [22.14814815 16.85185185],0
b1,1,0.741801,0.10855,[20 22] ; [20 19],[20.74074074 21.25925926] ; [19.25925926 19.74074074],0
s2,1,0.7875,0.072662,[16 26] ; [16 23],[16.59259259 25.40740741] ; [15.40740741 23.59259259],0
d2,1,0.837834,0.041888,[16 26] ; [14 25],[15.55555556 26.44444444] ; [14.44444444 24.55555556],0
p10,1,0.847507,0.03698,[24 17] ; [22 17],[23.575 17.425] ; [22.425 16.575],0
v3,1,0.886332,0.020434,[ 6 35] ; [ 6 32],[ 6.2278481 34.7721519] ; [ 5.7721519 32.2278481],0
d5,1,0.899433,0.015971,[26 16] ; [23 15],[25.725 16.275] ; [23.275 14.725],0
