Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,0.0,28.122913,[401  37] ; [52 22],[387.52734375  50.47265625] ; [65.47265625  8.52734375],1
p10,1,3.5e-05,17.138098,[373  63] ; [48 25],[360.62082515  75.37917485] ; [60.37917485 12.62082515],1
n1,1,0.002582,9.081516,[39 36] ; [ 2 15],[33.42391304 41.57608696] ; [7.57608696 9.42391304],0
s6,1,0.00408,8.248023,[302 127] ; [39 34],[291.4123506 137.5876494] ; [49.5876494 23.4123506],0
p9,1,0.004565,8.044153,[375  57] ; [54 19],[366.98613861  65.01386139] ; [62.01386139 10.98613861],0
v3,1,0.005157,7.823598,[187 234] ; [20 54],[176.05454545 244.94545455] ; [30.94545455 43.05454545],0
p8,1,0.005754,7.625914,[243 187] ; [29 45],[232.06349206 197.93650794] ; [39.93650794 34.06349206],0
v1,1,0.007925,7.05029,[253 175] ; [30 41],[242.73346693 185.26653307] ; [40.26653307 30.73346693],0
p4,1,0.011825,6.336941,[290 146] ; [38 36],[280.40784314 155.59215686] ; [47.59215686 26.40784314],0
p5,1,0.012173,6.285519,[ 64 371] ; [ 3 71],[ 57.25933202 377.74066798] ; [ 9.74066798 64.25933202],0
s5,1,0.012991,6.170365,[144 276] ; [13 55],[135.12295082 284.87704918] ; [21.87704918 46.12295082],0
d1,1,0.020814,5.342326,[293 147] ; [39 35],[284.20233463 155.79766537] ; [47.79766537 26.20233463],0
s2,1,0.044054,4.054484,[232 199] ; [30 43],[224.0515873 206.9484127] ; [37.9484127 35.0515873],0
s3,1,0.0501,3.838106,[249 179] ; [34 40],[241.28286853 186.71713147] ; [41.71713147 32.28286853],0
a6,1,0.050198,3.834826,[351  86] ; [52 22],[344.63992172  92.36007828] ; [58.36007828 15.63992172],0
u1,1,0.067166,3.350959,[115 325] ; [12 62],[108.71595331 331.28404669] ; [18.28404669 55.71595331],0
p3,1,0.0738,3.196403,[238 199] ; [32 42],[230.90019569 206.09980431] ; [39.09980431 34.90019569],0
r1,1,0.079206,3.081113,[372  65] ; [57 17],[366.87475538  70.12524462] ; [62.12524462 11.87475538],0
n2,1,0.081891,3.026961,[65 13] ; [11  6],[62.4 15.6] ; [13.6  3.4],0
r3,1,0.156765,2.005154,[414  22] ; [73  1],[416.3372549  19.6627451] ; [70.6627451  3.3372549],0
a2,1,0.164731,1.93025,[149 291] ; [19 55],[143.81322957 296.18677043] ; [24.18677043 49.81322957],0
d2,1,0.212221,1.556207,[235 202] ; [34 40],[230.04500978 206.95499022] ; [38.95499022 35.04500978],0
p12,1,0.213856,1.545129,[ 44 393] ; [ 4 69],[ 41.12941176 395.87058824] ; [ 6.87058824 66.12941176],0
d4,1,0.234353,1.414247,[367  71] ; [66  8],[370.41796875  67.58203125] ; [62.58203125 11.41796875],0
n3,1,0.247407,1.337887,[58 19] ; [15  2],[59.79787234 17.20212766] ; [13.20212766  3.79787234],0
p1,1,0.286335,1.136772,[ 48 390] ; [ 5 68],[ 45.42857143 392.57142857] ; [ 7.57142857 65.42857143],0
p7,1,0.322287,0.979642,[280 148] ; [44 30],[276.23904382 151.76095618] ; [47.76095618 26.23904382],0
s7,1,0.329687,0.950126,[212 201] ; [32 39],[208.20661157 204.79338843] ; [35.79338843 35.20661157],0
s8,1,0.349396,0.875648,[195 238] ; [29 45],[191.30571992 241.69428008] ; [32.69428008 41.30571992],0
r2,1,0.366827,0.814384,[421  15] ; [67  4],[419.66074951  16.33925049] ; [68.33925049  2.66074951],0
b4,1,0.367284,0.812834,[261 179] ; [48 26],[264.51361868 175.48638132] ; [44.48638132 29.51361868],0
a4,1,0.369961,0.803795,[220 218] ; [33 41],[216.43359375 221.56640625] ; [36.56640625 37.43359375],0
b3,1,0.388837,0.742576,[100 170] ; [15 34],[ 97.3354232 172.6645768] ; [17.6645768 31.3354232],0
b2,1,0.388837,0.742576,[100 170] ; [15 34],[ 97.3354232 172.6645768] ; [17.6645768 31.3354232],0
v2,1,0.407704,0.685486,[253 169] ; [40 33],[249.78989899 172.21010101] ; [43.21010101 29.78989899],0
r4,1,0.416017,0.661539,[410  30] ; [67  7],[408.32684825  31.67315175] ; [68.67315175  5.32684825],0
s1,1,0.421388,0.646442,[ 15 416] ; [ 4 70],[ 16.21584158 414.78415842] ; [ 2.78415842 71.21584158],0
p11,1,0.436811,0.604646,[356  84] ; [57 17],[353.54085603  86.45914397] ; [59.45914397 14.54085603],0
a8,1,0.475161,0.509948,[ 72 316] ; [10 57],[ 69.92527473 318.07472527] ; [12.07472527 54.92527473],0
p6,1,0.475996,0.508022,[176 258] ; [26 46],[173.256917 260.743083] ; [28.743083 43.256917],0
p2,1,0.489073,0.478565,[370  69] ; [60 14],[367.97270955  71.02729045] ; [62.02729045 11.97270955],0
b1,1,0.540247,0.375083,[162 278] ; [30 44],[164.35797665 275.64202335] ; [27.64202335 46.35797665],0
d5,1,0.545931,0.364657,[373  65] ; [61 13],[371.2734375  66.7265625] ; [62.7265625 11.2734375],0
a5,1,0.589111,0.291734,[351  89] ; [57 17],[349.26070039  90.73929961] ; [58.73929961 15.26070039],0
u3,1,0.589898,0.290503,[69 46] ; [12  6],[70.03759398 44.96240602] ; [10.96240602  7.03759398],0
b5,1,0.688224,0.161014,[290 150] ; [47 27],[288.48249027 151.51750973] ; [48.51750973 25.48249027],0
u2,1,0.743993,0.106648,[65 49] ; [11  7],[65.63636364 48.36363636] ; [10.36363636  7.63636364],0
v4,1,0.752086,0.099786,[418  20] ; [70  4],[417.46875  20.53125] ; [70.53125  3.46875],0
d3,1,0.770358,0.08521,[344  94] ; [57 17],[343.04296875  94.95703125] ; [57.95703125 16.04296875],0
a1,1,0.806938,0.059721,[ 27 413] ; [ 4 70],[ 26.53696498 413.46303502] ; [ 4.46303502 69.53696498],0
a3,1,0.83557,0.043082,[325 111] ; [56 18],[325.71764706 110.28235294] ; [55.28235294 18.71764706],0
s4,1,0.955914,0.003056,[ 59 370] ; [10 64],[ 58.84890656 370.15109344] ; [10.15109344 63.84890656],0
