Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,1e-06,24.935065,[ 8 24] ; [25  3],[17.6 14.4] ; [15.4 12.6],1
a4,1,6e-06,20.4713,[ 2 30] ; [17 11],[10.13333333 21.86666667] ; [ 8.86666667 19.13333333],1
d2,1,1.2e-05,19.090909,[ 6 26] ; [21  7],[14.4 17.6] ; [12.6 15.4],1
d5,1,5.7e-05,16.193878,[11 21] ; [24  4],[18.66666667 13.33333333] ; [16.33333333 11.66666667],1
d1,1,0.000253,13.392857,[ 4 28] ; [16 12],[10.66666667 21.33333333] ; [ 9.33333333 18.66666667],1
a6,1,0.007347,7.186086,[13 19] ; [21  7],[18.13333333 13.86666667] ; [15.86666667 12.13333333],0
p2,1,0.009546,6.717627,[22 10] ; [ 9 17],[17.10344828 14.89655172] ; [13.89655172 12.10344828],0
n4,1,0.076972,3.127706,[11 21] ; [16 12],[14.4 17.6] ; [12.6 15.4],0
b1,1,0.079399,3.077153,[17 15] ; [21  7],[20.26666667 11.73333333] ; [17.73333333 10.26666667],0
s4,1,0.12115,2.402396,[10 22] ; [ 4 24],[ 7.46666667 24.53333333] ; [ 6.53333333 21.46666667],0
v2,1,0.135916,2.223603,[ 7 24] ; [11 16],[ 9.62068966 21.37931034] ; [ 8.37931034 18.62068966],0
r3,1,0.161601,1.959184,[16 16] ; [19  9],[18.66666667 13.33333333] ; [16.33333333 11.66666667],0
s3,1,0.162292,1.952739,[11 20] ; [15 13],[13.66101695 17.33898305] ; [12.33898305 15.66101695],0
p8,1,0.221289,1.495992,[ 9 22] ; [ 4 22],[ 7.07017544 23.92982456] ; [ 5.92982456 20.07017544],0
d4,1,0.2452,1.350446,[17 15] ; [19  9],[19.2 12.8] ; [16.8 11.2],0
p3,1,0.287417,1.131681,[ 6 26] ; [ 8 18],[ 7.72413793 24.27586207] ; [ 6.27586207 19.72413793],0
a7,1,0.300623,1.071429,[14 18] ; [16 12],[16. 16.] ; [14. 14.],0
p4,1,0.307786,1.040152,[ 9 23] ; [11 16],[10.84745763 21.15254237] ; [ 9.15254237 17.84745763],0
a1,1,0.334922,0.929773,[ 3 29] ; [ 5 23],[ 4.26666667 27.73333333] ; [ 3.73333333 24.26666667],0
p1,1,0.334922,0.929773,[ 3 29] ; [ 5 23],[ 4.26666667 27.73333333] ; [ 3.73333333 24.26666667],0
r4,1,0.369575,0.805093,[ 7 25] ; [ 9 19],[ 8.53333333 23.46666667] ; [ 7.46666667 20.53333333],0
d3,1,0.383064,0.760847,[12 19] ; [14 14],[13.66101695 17.33898305] ; [12.33898305 15.66101695],0
s1,1,0.455691,0.556458,[ 1 31] ; [ 2 25],[ 1.62711864 30.37288136] ; [ 1.37288136 25.62711864],0
p6,1,0.479477,0.500052,[ 9 23] ; [ 5 20],[ 7.85964912 24.14035088] ; [ 6.14035088 18.85964912],0
v3,1,0.481384,0.495726,[ 4 28] ; [ 5 21],[ 4.96551724 27.03448276] ; [ 4.03448276 21.96551724],0
b2,1,0.495628,0.464286,[ 8 13] ; [ 5 13],[ 7. 14.] ; [ 6. 12.],0
b3,1,0.495628,0.464286,[ 8 13] ; [ 5 13],[ 7. 14.] ; [ 6. 12.],0
u2,1,0.495947,0.463599,[13 11] ; [1 2],[12.44444444 11.55555556] ; [1.55555556 1.44444444],0
u3,1,0.495947,0.463599,[11 13] ; [2 1],[11.55555556 12.44444444] ; [1.44444444 1.55555556],0
s2,1,0.52839,0.397488,[ 9 23] ; [10 18],[10.13333333 21.86666667] ; [ 8.86666667 19.13333333],0
s8,1,0.557702,0.343699,[ 6 26] ; [ 7 21],[ 6.93333333 25.06666667] ; [ 6.06666667 21.93333333],0
b5,1,0.580069,0.306122,[16 16] ; [16 12],[17.06666667 14.93333333] ; [14.93333333 13.06666667],0
n5,1,0.580069,0.306122,[16 16] ; [16 12],[17.06666667 14.93333333] ; [14.93333333 13.06666667],0
p10,1,0.585783,0.296979,[16 15] ; [12 15],[14.96551724 16.03448276] ; [13.03448276 13.96551724],0
b4,1,0.628299,0.234375,[14 18] ; [14 14],[14.93333333 17.06666667] ; [13.06666667 14.93333333],0
p11,1,0.628299,0.234375,[14 18] ; [14 14],[14.93333333 17.06666667] ; [13.06666667 14.93333333],0
p5,1,0.657372,0.196732,[ 2 30] ; [ 1 26],[ 1.62711864 30.37288136] ; [ 1.37288136 25.62711864],0
n3,1,0.68017,0.169935,[8 5] ; [9 4],[8.5 4.5] ; [8.5 4.5],0
n2,1,0.68017,0.169935,[8 5] ; [9 4],[8.5 4.5] ; [8.5 4.5],0
n1,1,0.682046,0.167832,[6 7] ; [6 5],[6.5 6.5] ; [5.5 5.5],0
s6,1,0.693732,0.155075,[11 21] ; [11 17],[11.73333333 20.26666667] ; [10.26666667 17.73333333],0
r2,1,0.706854,0.141439,[20 11] ; [18  8],[20.66666667 10.33333333] ; [17.33333333  8.66666667],0
s5,1,0.735789,0.113862,[ 6 26] ; [ 4 22],[ 5.51724138 26.48275862] ; [ 4.48275862 21.51724138],0
p7,1,0.770657,0.084982,[14 16] ; [12 16],[13.44827586 16.55172414] ; [12.55172414 15.44827586],0
u1,1,0.923436,0.009236,[ 1 31] ; [ 1 27],[ 1.06666667 30.93333333] ; [ 0.93333333 27.06666667],0
s7,1,0.960238,0.002485,[ 9 22] ; [ 8 19],[ 9.0862069 21.9137931] ; [ 7.9137931 19.0862069],0
p9,1,0.963866,0.002052,[19 12] ; [17 11],[18.91525424 12.08474576] ; [17.08474576 10.91525424],0
v1,1,0.984718,0.000367,[11 21] ; [ 9 17],[11.03448276 20.96551724] ; [ 8.96551724 17.03448276],0
v4,1,0.985273,0.000341,[20 11] ; [18 10],[19.96610169 11.03389831] ; [18.03389831  9.96610169],0
